timestamp,Q_surf_room_west_W,Q_surf_room_east_W,Q_surf_room_south/op_room_south_window_W,Q_surf_room_south/op_room_south_door_W,Q_surf_room_south_W,Q_surf_room_north_W,Q_surf_room_floor_W,Q_surf_room_roof_W
2026-01-24T12:00:00+05:30,4385.228,4385.242,284.841,488.166,4850.522,6577.861,6665.998,9145.117
2026-01-24T13:00:00+05:30,3713.259,3713.399,240.03,371.603,4085.883,5570.074,5245.634,7552.894
2026-01-24T14:00:00+05:30,3591.515,3592.006,222.405,314.021,3931.025,5387.923,4593.008,7226.589
2026-01-24T15:00:00+05:30,3734.997,3736.094,213.452,283.084,4066.197,5603.95,4153.363,7451.358
2026-01-24T16:00:00+05:30,3667.144,3668.902,205.455,262.861,3979.406,5503.054,3794.77,7223.954
2026-01-24T17:00:00+05:30,3764.083,3766.443,213.047,272.591,4081.021,5649.274,3470.427,7333.693
2026-01-24T18:00:00+05:30,3876.98,3879.843,224.771,289.775,4203.542,5819.301,3161.372,7478.115
2026-01-24T19:00:00+05:30,3868.091,3871.406,229.044,292.724,4191.385,5806.581,2867.222,7368.769
2026-01-24T20:00:00+05:30,3829.563,3833.324,229.647,289.038,4145.315,5749.391,2598.36,7204.268
2026-01-24T21:00:00+05:30,3809.491,3813.671,231.015,287.574,4120.054,5719.843,2357.704,7088.982
2026-01-24T22:00:00+05:30,3795.9,3800.435,233.825,289.551,4103.586,5699.932,2143.008,6997.821
2026-01-24T23:00:00+05:30,3749.053,3753.916,234.19,287.516,4050.462,5630.104,1950.493,6840.492
2026-01-25T00:00:00+05:30,3647.369,3652.514,231.461,280.788,3937.639,5477.968,1776.501,6578.186
2026-01-25T01:00:00+05:30,3485.92,3491.312,224.855,268.228,3759.452,5236.146,1617.75,6200.429
2026-01-25T02:00:00+05:30,3305.864,3311.508,215.521,251.82,3560.099,4966.434,1471.551,5788.579
2026-01-25T03:00:00+05:30,3168.066,3173.961,207.483,238.666,3406.963,4760.124,1335.882,5471.241
2026-01-25T04:00:00+05:30,3048.48,3054.619,199.576,226.368,3273.438,4581.141,1209.119,5196.378
2026-01-25T05:00:00+05:30,2860.395,2866.729,187.561,207.648,3064.801,4299.36,1090.089,4788.646
2026-01-25T06:00:00+05:30,2598.242,2604.692,171.658,183.358,2775.896,3906.387,978.073,4243.04
2026-01-25T07:00:00+05:30,2347.244,2353.764,156.246,161.09,2500.117,3530.103,872.487,3733.054
2026-01-25T08:00:00+05:30,2058.57,2065.141,137.938,134.431,2182.689,3097.297,775.957,3150.258
2026-01-25T09:00:00+05:30,1304.755,1311.196,92.26,61.869,1354.513,1966.539,697.506,1627.634
2026-01-25T10:00:00+05:30,557.353,563.614,45.9,-8.322,535.21,845.349,649.036,145.844
2026-01-25T11:00:00+05:30,-218.431,-212.382,-3.918,-80.838,-314.825,-318.431,633.81,-1380.615
2026-01-25T12:00:00+05:30,-589.317,-583.952,-31.058,-111.799,-713.18,-875.553,643.082,-1977.084
2026-01-25T13:00:00+05:30,-565.637,-561.03,-33.939,-101.186,-676.53,-840.935,663.984,-1756.316
2026-01-25T14:00:00+05:30,-475.239,-471.209,-30.36,-82.552,-569.281,-705.944,684.873,-1447.535
2026-01-25T15:00:00+05:30,-382.887,-379.311,-24.833,-63.9,-461.798,-567.812,698.593,-1163.936
2026-01-25T16:00:00+05:30,-294.685,-291.37,-18.301,-45.781,-360.946,-435.55,695.212,-916.88
2026-01-25T17:00:00+05:30,-28.632,-25.269,-0.637,-10.66,-67.065,-35.868,666.959,-327.975
2026-01-25T18:00:00+05:30,320.038,323.136,20.244,26.359,319.039,487.102,614.444,453.149
2026-01-25T19:00:00+05:30,514.685,517.47,32.203,44.99,534.743,778.854,548.225,902.747
2026-01-25T20:00:00+05:30,668.278,670.807,41.929,58.503,704.741,1009.044,483.052,1254.708
2026-01-25T21:00:00+05:30,846.62,848.938,53.303,74.377,902.062,1276.341,425.1,1647.231
2026-01-25T22:00:00+05:30,1045.185,1047.329,66.377,92.686,1121.826,1573.936,375.142,2069.049
2026-01-25T23:00:00+05:30,1230.18,1232.177,79.784,111.095,1327.126,1851.127,332.03,2449.082
2026-01-26T00:00:00+05:30,1441.523,1443.412,95.998,133.902,1561.937,2167.846,294.263,2872.414
2026-01-26T01:00:00+05:30,1651.508,1653.358,112.244,155.89,1794.467,2482.639,260.222,3281.366
2026-01-26T02:00:00+05:30,1820.842,1822.732,125.064,171.08,1980.582,2736.61,228.41,3596.902
2026-01-26T03:00:00+05:30,1997.159,1999.104,139.964,190.269,2175.508,3001.039,197.596,3923.468
2026-01-26T04:00:00+05:30,2058.257,2060.287,148.045,197.566,2243.138,3092.685,166.594,4002.908
2026-01-26T05:00:00+05:30,1982.958,1985.118,146.419,188.531,2159.389,2979.83,134.579,3798.116
2026-01-26T06:00:00+05:30,1862.76,1865.113,139.457,171.61,2024.727,2799.778,100.861,3502.877
2026-01-26T07:00:00+05:30,1741.032,1743.598,131.269,154.661,1888.262,2617.493,65.236,3210.293
2026-01-26T08:00:00+05:30,1490.067,1492.848,114.269,124.15,1608.975,2241.387,29.629,2652.827
2026-01-26T09:00:00+05:30,700.203,703.118,64.029,38.845,736.048,1056.799,2.047,990.508
2026-01-26T10:00:00+05:30,-101.203,-98.283,11.939,-43.887,-146.297,-145.308,-8.971,-647.764
2026-01-26T11:00:00+05:30,-805.636,-802.686,-35.158,-112.644,-920.705,-1201.786,-3.671,-2075.672
