timestamp,T_surf_room_west_C,T_surf_room_east_C,T_surf_room_south_C,T_surf_room_north_C,T_surf_room_floor_C,T_surf_room_roof_C
2026-01-24T12:00:00+05:30,9.9508,9.9787,9.9234,9.9754,11.4223,9.5526
2026-01-24T13:00:00+05:30,9.6523,9.6972,9.5634,9.6922,11.2255,8.2913
2026-01-24T14:00:00+05:30,9.0149,9.0675,8.8487,9.0621,9.8305,6.7512
2026-01-24T15:00:00+05:30,8.1622,8.2186,7.9261,8.2134,8.2889,5.3386
2026-01-24T16:00:00+05:30,7.2326,7.2914,6.9385,7.2865,6.5719,4.1303
2026-01-24T17:00:00+05:30,6.2895,6.3516,5.9445,6.3467,4.8108,2.9981
2026-01-24T18:00:00+05:30,5.3283,5.3948,4.9347,5.3894,3.0121,1.8047
2026-01-24T19:00:00+05:30,4.3312,4.402,3.8905,4.3962,1.6422,0.5019
2026-01-24T20:00:00+05:30,3.279,3.3535,2.7942,3.3476,0.4645,-0.8854
2026-01-24T21:00:00+05:30,2.1693,2.2471,1.6447,2.2413,-0.5881,-2.3147
2026-01-24T22:00:00+05:30,1.0096,1.0905,0.4499,1.0849,-1.5467,-3.7684
2026-01-24T23:00:00+05:30,-0.193,-0.1095,-0.7834,-0.1145,-2.4307,-5.2424
2026-01-25T00:00:00+05:30,-1.4318,-1.3461,-2.0482,-1.3504,-3.2542,-6.7233
2026-01-25T01:00:00+05:30,-2.6976,-2.6106,-3.3348,-2.6139,-4.0274,-8.1909
2026-01-25T02:00:00+05:30,-3.9772,-3.89,-4.6294,-3.892,-4.7574,-9.6156
2026-01-25T03:00:00+05:30,-5.2539,-5.167,-5.9146,-5.1675,-5.4487,-10.9692
2026-01-25T04:00:00+05:30,-6.5098,-6.4237,-7.1735,-6.4227,-6.1039,-12.2366
2026-01-25T05:00:00+05:30,-7.7295,-7.645,-8.3909,-7.6422,-6.7243,-13.4081
2026-01-25T06:00:00+05:30,-8.8995,-8.8175,-9.5536,-8.8128,-7.3102,-14.4724
2026-01-25T07:00:00+05:30,-10.0086,-9.9298,-10.6502,-9.9231,-7.8615,-15.4207
2026-01-25T08:00:00+05:30,-11.0417,-10.9669,-11.6652,-10.958,-8.2205,-16.2393
2026-01-25T09:00:00+05:30,-11.9733,-11.9059,-12.5702,-11.894,-8.2487,-16.8705
2026-01-25T10:00:00+05:30,-12.768,-12.7109,-13.326,-12.6953,-7.9195,-17.225
2026-01-25T11:00:00+05:30,-13.3921,-13.3474,-13.897,-13.3277,-7.6016,-17.2479
2026-01-25T12:00:00+05:30,-13.817,-13.7841,-14.257,-13.7609,-7.2993,-16.9353
2026-01-25T13:00:00+05:30,-14.0412,-14.017,-14.4114,-13.9913,-7.2029,-16.3777
2026-01-25T14:00:00+05:30,-14.0902,-14.0721,-14.3938,-14.0449,-7.1538,-15.7176
2026-01-25T15:00:00+05:30,-14.0179,-14.0039,-14.2633,-13.9761,-7.297,-15.0777
2026-01-25T16:00:00+05:30,-13.8848,-13.8733,-14.083,-13.8457,-7.7551,-14.5343
2026-01-25T17:00:00+05:30,-13.7386,-13.7274,-13.9016,-13.701,-8.3443,-14.1352
2026-01-25T18:00:00+05:30,-13.6171,-13.6043,-13.7572,-13.5796,-8.9931,-13.9081
2026-01-25T19:00:00+05:30,-13.5367,-13.5219,-13.6643,-13.4988,-9.3555,-13.8302
2026-01-25T20:00:00+05:30,-13.5083,-13.4915,-13.6313,-13.4699,-9.6236,-13.8667
2026-01-25T21:00:00+05:30,-13.5352,-13.5163,-13.6592,-13.4958,-9.8455,-13.9944
2026-01-25T22:00:00+05:30,-13.6175,-13.5962,-13.747,-13.5766,-10.0406,-14.2085
2026-01-25T23:00:00+05:30,-13.7578,-13.7336,-13.8967,-13.7148,-10.2199,-14.5172
2026-01-26T00:00:00+05:30,-13.9629,-13.9352,-14.1153,-13.9171,-10.3923,-14.9378
2026-01-26T01:00:00+05:30,-14.243,-14.2114,-14.4127,-14.1939,-10.5657,-15.4854
2026-01-26T02:00:00+05:30,-14.6062,-14.5706,-14.7962,-14.5535,-10.7462,-16.1533
2026-01-26T03:00:00+05:30,-15.0555,-15.0156,-15.2682,-14.9988,-10.9389,-16.9315
2026-01-26T04:00:00+05:30,-15.5912,-15.5474,-15.8278,-15.5306,-11.1474,-17.8148
2026-01-26T05:00:00+05:30,-16.2079,-16.1616,-16.4676,-16.1444,-11.3726,-18.7646
2026-01-26T06:00:00+05:30,-16.8871,-16.8398,-17.166,-16.8218,-11.613,-19.7122
2026-01-26T07:00:00+05:30,-17.5988,-17.5517,-17.8911,-17.5325,-11.8641,-20.5967
2026-01-26T08:00:00+05:30,-18.3061,-18.2607,-18.6045,-18.24,-12.0166,-21.3707
2026-01-26T09:00:00+05:30,-18.9598,-18.9208,-19.2529,-18.8975,-11.8914,-21.9403
2026-01-26T10:00:00+05:30,-19.5058,-19.4768,-19.7778,-19.4501,-11.6495,-22.1884
2026-01-26T11:00:00+05:30,-19.8906,-19.8734,-20.1244,-19.8432,-11.4422,-22.0634
