timestamp,elapsed_s,T_room_C,T_room_min_C,T_room_max_C
2026-01-24T12:00:00+05:30,3600.0,9.9337,9.0185,10.2003
2026-01-24T13:00:00+05:30,7200.0,9.3581,8.4141,9.751
2026-01-24T14:00:00+05:30,10800.0,8.3025,7.4093,8.7917
2026-01-24T15:00:00+05:30,14400.0,7.1397,6.2912,7.684
2026-01-24T16:00:00+05:30,18000.0,5.9651,5.1495,6.5241
2026-01-24T17:00:00+05:30,21600.0,4.7911,3.9576,5.3646
2026-01-24T18:00:00+05:30,25200.0,3.5802,2.7054,4.1958
2026-01-24T19:00:00+05:30,28800.0,2.4024,1.4977,3.069
2026-01-24T20:00:00+05:30,32400.0,1.2129,0.2907,1.9271
2026-01-24T21:00:00+05:30,36000.0,0.0072,-0.9324,0.7658
2026-01-24T22:00:00+05:30,39600.0,-1.2129,-2.1753,-0.4126
2026-01-24T23:00:00+05:30,43200.0,-2.4439,-3.4224,-1.6008
2026-01-25T00:00:00+05:30,46800.0,-3.6806,-4.6652,-2.7931
2026-01-25T01:00:00+05:30,50400.0,-4.9133,-5.89,-3.9784
2026-01-25T02:00:00+05:30,54000.0,-6.1282,-7.0933,-5.1528
2026-01-25T03:00:00+05:30,57600.0,-7.3114,-8.2651,-6.304
2026-01-25T04:00:00+05:30,61200.0,-8.45,-9.3926,-7.4196
2026-01-25T05:00:00+05:30,64800.0,-9.5313,-10.4927,-8.4884
2026-01-25T06:00:00+05:30,68400.0,-10.5448,-11.5141,-9.5005
2026-01-25T07:00:00+05:30,72000.0,-11.4843,-12.4524,-10.4483
2026-01-25T08:00:00+05:30,75600.0,-12.3073,-13.2712,-11.2845
2026-01-25T09:00:00+05:30,79200.0,-12.9424,-13.8885,-11.949
2026-01-25T10:00:00+05:30,82800.0,-13.3506,-14.269,-12.4019
2026-01-25T11:00:00+05:30,86400.0,-13.5661,-14.442,-12.6826
2026-01-25T12:00:00+05:30,90000.0,-13.5912,-14.4345,-12.7113
2026-01-25T13:00:00+05:30,93600.0,-13.4935,-14.2854,-12.6287
2026-01-25T14:00:00+05:30,97200.0,-13.2936,-14.063,-12.4566
2026-01-25T15:00:00+05:30,100800.0,-13.0787,-13.8012,-12.294
2026-01-25T16:00:00+05:30,104400.0,-12.9251,-13.5725,-12.2242
2026-01-25T17:00:00+05:30,108000.0,-12.8437,-13.404,-12.2341
2026-01-25T18:00:00+05:30,111600.0,-12.8444,-13.3289,-12.3213
2026-01-25T19:00:00+05:30,115200.0,-12.857,-13.3098,-12.3801
2026-01-25T20:00:00+05:30,118800.0,-12.9124,-13.3474,-12.4627
2026-01-25T21:00:00+05:30,122400.0,-13.0165,-13.4448,-12.5803
2026-01-25T22:00:00+05:30,126000.0,-13.1719,-13.6035,-12.7375
2026-01-25T23:00:00+05:30,129600.0,-13.3836,-13.8277,-12.9404
2026-01-26T00:00:00+05:30,133200.0,-13.6632,-14.1305,-13.1985
2026-01-26T01:00:00+05:30,136800.0,-14.0203,-14.5539,-13.5218
2026-01-26T02:00:00+05:30,140400.0,-14.4557,-15.0506,-13.9126
2026-01-26T03:00:00+05:30,144000.0,-14.972,-15.6373,-14.3732
2026-01-26T04:00:00+05:30,147600.0,-15.5631,-16.2836,-14.9014
2026-01-26T05:00:00+05:30,151200.0,-16.2118,-16.9714,-15.4865
2026-01-26T06:00:00+05:30,154800.0,-16.889,-17.7014,-16.1045
2026-01-26T07:00:00+05:30,158400.0,-17.5627,-18.4167,-16.726
2026-01-26T08:00:00+05:30,162000.0,-18.1756,-19.0584,-17.2882
2026-01-26T09:00:00+05:30,165600.0,-18.6253,-19.5107,-17.6797
2026-01-26T10:00:00+05:30,169200.0,-18.8918,-19.7862,-17.8916
2026-01-26T11:00:00+05:30,172800.0,-18.9672,-19.9021,-17.9359
