timestamp,Q_surf_room_west_W,Q_surf_room_east_W,Q_surf_room_south/op_room_south_window_W,Q_surf_room_south/op_room_south_door_W,Q_surf_room_south_W,Q_surf_room_north_W,Q_surf_room_floor_W,Q_surf_room_roof_W
2026-01-24T12:00:00+05:30,136.635,136.636,137.446,260.376,224.461,204.954,241.326,261.489
2026-01-24T13:00:00+05:30,128.843,128.851,123.053,188.373,205.299,193.275,242.279,237.04
2026-01-24T14:00:00+05:30,163.416,163.448,122.831,158.775,241.828,245.169,245.351,289.703
2026-01-24T15:00:00+05:30,233.258,233.347,125.662,145.087,318.63,350.015,248.96,407.476
2026-01-24T16:00:00+05:30,218.533,218.661,126.308,136.688,301.162,327.987,252.312,380.281
2026-01-24T17:00:00+05:30,203.641,203.792,133.988,144.566,287.866,305.687,254.917,356.38
2026-01-24T18:00:00+05:30,193.145,193.31,143.899,156.039,280.303,289.969,256.496,339.529
2026-01-24T19:00:00+05:30,189.266,189.451,150.961,159.944,278.168,284.187,257.089,332.427
2026-01-24T20:00:00+05:30,192.357,192.568,156.742,160.771,283.157,288.87,257.085,337.023
2026-01-24T21:00:00+05:30,195.905,196.141,162.883,163.015,288.914,294.238,256.784,342.756
2026-01-24T22:00:00+05:30,196.422,196.677,169.587,167.084,291.54,295.051,256.34,343.546
2026-01-24T23:00:00+05:30,197.819,198.095,175.264,169.057,294.631,297.187,255.822,345.658
2026-01-25T00:00:00+05:30,196.59,196.884,179.421,168.634,293.957,295.381,255.264,342.976
2026-01-25T01:00:00+05:30,193.769,194.081,181.659,165.275,290.551,291.188,254.679,337.353
2026-01-25T02:00:00+05:30,193.628,193.963,182.581,160.123,289.703,291.025,254.07,336.393
2026-01-25T03:00:00+05:30,196.449,196.812,183.927,156.843,292.636,295.314,253.444,340.964
2026-01-25T04:00:00+05:30,200.81,201.204,185.108,153.946,297.369,301.92,252.8,348.349
2026-01-25T05:00:00+05:30,200.892,201.311,183.932,147.456,296.09,302.1,252.138,347.959
2026-01-25T06:00:00+05:30,195.411,195.849,180.377,137.941,287.373,293.923,251.463,337.715
2026-01-25T07:00:00+05:30,190.735,191.191,176.672,129.572,279.672,286.956,250.773,329.171
2026-01-25T08:00:00+05:30,186.47,186.948,171.276,118.787,271.689,280.615,250.137,321.172
2026-01-25T09:00:00+05:30,157.393,157.864,151.644,83.065,228.317,237.002,249.81,267.855
2026-01-25T10:00:00+05:30,132.008,132.48,130.887,49.498,189.016,198.942,250.189,221.908
2026-01-25T11:00:00+05:30,107.496,107.975,107.495,14.644,149.86,162.207,251.536,177.895
2026-01-25T12:00:00+05:30,78.653,79.06,91.857,0.309,110.788,118.819,253.757,130.086
2026-01-25T13:00:00+05:30,66.637,66.991,87.418,6.84,96.331,100.707,256.546,112.182
2026-01-25T14:00:00+05:30,65.282,65.625,87.148,17.032,95.689,98.674,259.513,111.614
2026-01-25T15:00:00+05:30,68.673,69.022,88.622,27.057,101.08,103.8,262.345,118.522
2026-01-25T16:00:00+05:30,81.774,82.171,91.933,37.42,118.278,123.591,264.663,141.947
2026-01-25T17:00:00+05:30,132.475,133.056,102.936,58.421,180.825,200.114,266.096,232.157
2026-01-25T18:00:00+05:30,151.217,151.811,112.797,77.799,207.498,228.301,266.488,266.468
2026-01-25T19:00:00+05:30,157.444,158.024,118.47,86.877,217.649,237.644,265.987,277.077
2026-01-25T20:00:00+05:30,165.86,166.442,123.59,93.799,229.624,250.301,264.988,291.259
2026-01-25T21:00:00+05:30,171.531,172.103,129.496,102.123,238.986,258.803,263.77,301.018
2026-01-25T22:00:00+05:30,172.723,173.269,136.156,111.623,243.739,260.538,262.477,303.182
2026-01-25T23:00:00+05:30,167.937,168.443,142.926,120.968,241.678,253.26,261.169,294.81
2026-01-26T00:00:00+05:30,164.018,164.485,151.32,132.711,241.088,247.282,259.874,288.13
2026-01-26T01:00:00+05:30,166.397,166.849,160.529,144.324,247.722,250.81,258.599,292.357
2026-01-26T02:00:00+05:30,174.409,174.868,168.962,152.766,260.226,262.843,257.345,306.079
2026-01-26T03:00:00+05:30,175.383,175.828,178.193,163.266,264.94,264.262,256.113,307.697
2026-01-26T04:00:00+05:30,173.806,174.242,184.573,167.58,265.116,261.863,254.896,304.345
2026-01-26T05:00:00+05:30,172.371,172.811,186.818,163.789,263.439,259.711,253.695,300.698
2026-01-26T06:00:00+05:30,176.776,177.242,187.008,156.663,267.726,266.377,252.506,307.219
2026-01-26T07:00:00+05:30,181.469,181.966,186.383,149.844,272.12,273.486,251.328,314.595
2026-01-26T08:00:00+05:30,182.127,182.658,181.236,135.867,269.742,274.55,250.204,314.5
2026-01-26T09:00:00+05:30,156.447,156.983,158.95,92.458,228.799,236.035,249.333,266.243
2026-01-26T10:00:00+05:30,123.728,124.241,133.93,51.025,179.191,186.897,248.995,207.374
2026-01-26T11:00:00+05:30,108.019,108.57,111.456,17.983,150.651,163.431,249.276,178.741
