timestamp,T_surf_room_west_C,T_surf_room_east_C,T_surf_room_south_C,T_surf_room_north_C,T_surf_room_floor_C,T_surf_room_roof_C
2026-01-24T12:00:00+05:30,10.0199,10.037,10.0064,10.0356,11.7494,10.0251
2026-01-24T13:00:00+05:30,10.0448,10.0753,10.0024,10.0735,12.7994,10.06
2026-01-24T14:00:00+05:30,10.0476,10.086,9.9628,10.085,13.0841,10.0742
2026-01-24T15:00:00+05:30,10.0322,10.0759,9.9003,10.0763,13.2349,10.0681
2026-01-24T16:00:00+05:30,10.0007,10.0488,9.8218,10.0509,13.1191,10.0437
2026-01-24T17:00:00+05:30,9.9537,10.0065,9.7288,10.0103,12.8309,10.0019
2026-01-24T18:00:00+05:30,9.8902,9.9487,9.6192,9.9539,12.3838,9.9425
2026-01-24T19:00:00+05:30,9.8216,9.8859,9.5044,9.8927,12.2058,9.8772
2026-01-24T20:00:00+05:30,9.7504,9.8202,9.3866,9.8289,12.1012,9.8094
2026-01-24T21:00:00+05:30,9.6757,9.7509,9.2652,9.7618,12.0226,9.7384
2026-01-24T22:00:00+05:30,9.597,9.6777,9.1397,9.6908,11.9537,9.6633
2026-01-24T23:00:00+05:30,9.5141,9.6001,9.0099,9.6157,11.8878,9.584
2026-01-25T00:00:00+05:30,9.4273,9.5185,8.8764,9.5367,11.8223,9.5007
2026-01-25T01:00:00+05:30,9.3372,9.4331,8.7403,9.454,11.7561,9.4138
2026-01-25T02:00:00+05:30,9.2446,9.3446,8.603,9.3686,11.689,9.3242
2026-01-25T03:00:00+05:30,9.15,9.2537,8.4656,9.2808,11.6206,9.2323
2026-01-25T04:00:00+05:30,9.054,9.1611,8.329,9.1914,11.551,9.1386
2026-01-25T05:00:00+05:30,8.9573,9.0673,8.1942,9.1009,11.4804,9.044
2026-01-25T06:00:00+05:30,8.861,8.9732,8.0627,9.0102,11.4092,8.9494
2026-01-25T07:00:00+05:30,8.7656,8.8794,7.9356,8.92,11.3376,8.8554
2026-01-25T08:00:00+05:30,8.6761,8.7909,7.8186,8.8351,11.4049,8.7669
2026-01-25T09:00:00+05:30,8.6025,8.7158,7.724,8.7642,11.7322,8.694
2026-01-25T10:00:00+05:30,8.5523,8.662,7.6619,8.7152,12.3399,8.6448
2026-01-25T11:00:00+05:30,8.5227,8.6266,7.6307,8.685,12.8988,8.6161
2026-01-25T12:00:00+05:30,8.5096,8.6074,7.6257,8.6707,13.4037,8.6035
2026-01-25T13:00:00+05:30,8.504,8.597,7.635,8.6646,13.6883,8.5985
2026-01-25T14:00:00+05:30,8.503,8.5929,7.6525,8.6639,13.8985,8.5981
2026-01-25T15:00:00+05:30,8.5009,8.5889,7.6693,8.6625,13.9135,8.5968
2026-01-25T16:00:00+05:30,8.4896,8.5767,7.675,8.6522,13.6317,8.5863
2026-01-25T17:00:00+05:30,8.4668,8.5543,7.6656,8.6309,13.2207,8.5639
2026-01-25T18:00:00+05:30,8.4324,8.5216,7.6401,8.5988,12.7461,8.5296
2026-01-25T19:00:00+05:30,8.3952,8.4866,7.6078,8.5642,12.5142,8.4924
2026-01-25T20:00:00+05:30,8.3565,8.45,7.5701,8.5282,12.3534,8.4543
2026-01-25T21:00:00+05:30,8.3151,8.411,7.5261,8.4896,12.2207,8.4138
2026-01-25T22:00:00+05:30,8.2699,8.3686,7.4752,8.4478,12.1006,8.3698
2026-01-25T23:00:00+05:30,8.2204,8.3222,7.4166,8.4019,11.9867,8.3216
2026-01-26T00:00:00+05:30,8.1656,8.2711,7.3492,8.3513,11.8759,8.2684
2026-01-26T01:00:00+05:30,8.1048,8.2146,7.2722,8.2953,11.7667,8.2094
2026-01-26T02:00:00+05:30,8.0381,8.1523,7.1855,8.2336,11.6584,8.1447
2026-01-26T03:00:00+05:30,7.9648,8.0839,7.0889,8.1658,11.5503,8.0737
2026-01-26T04:00:00+05:30,7.8855,8.0094,6.9831,8.0921,11.4424,7.9967
2026-01-26T05:00:00+05:30,7.8013,7.9294,6.8706,8.0132,11.3349,7.9147
2026-01-26T06:00:00+05:30,7.7138,7.8451,6.7542,7.9303,11.2281,7.8291
2026-01-26T07:00:00+05:30,7.6241,7.7579,6.6367,7.8448,11.122,7.7411
2026-01-26T08:00:00+05:30,7.5369,7.6721,6.5245,7.7609,11.1079,7.6549
2026-01-26T09:00:00+05:30,7.4633,7.5968,6.4321,7.6883,11.3366,7.5817
2026-01-26T10:00:00+05:30,7.4069,7.5358,6.3662,7.6307,11.6562,7.5253
2026-01-26T11:00:00+05:30,7.3659,7.4884,6.3266,7.5869,11.923,7.4836
