timestamp,elapsed_s,T_room_C,T_room_min_C,T_room_max_C
2026-01-24T12:00:00+05:30,3600.0,10.2287,9.6383,10.4529
2026-01-24T13:00:00+05:30,7200.0,10.4369,9.7654,10.7725
2026-01-24T14:00:00+05:30,10800.0,10.494,9.8165,10.8605
2026-01-24T15:00:00+05:30,14400.0,10.5043,9.8214,10.8896
2026-01-24T16:00:00+05:30,18000.0,10.448,9.7564,10.828
2026-01-24T17:00:00+05:30,21600.0,10.3388,9.6093,10.7015
2026-01-24T18:00:00+05:30,25200.0,10.1823,9.4,10.517
2026-01-24T19:00:00+05:30,28800.0,10.0724,9.242,10.4057
2026-01-24T20:00:00+05:30,32400.0,9.9772,9.1076,10.3162
2026-01-24T21:00:00+05:30,36000.0,9.8849,8.9763,10.2326
2026-01-24T22:00:00+05:30,39600.0,9.7907,8.8394,10.1488
2026-01-24T23:00:00+05:30,43200.0,9.6947,8.7046,10.0634
2026-01-25T00:00:00+05:30,46800.0,9.5971,8.5748,9.9764
2026-01-25T01:00:00+05:30,50400.0,9.4988,8.4536,9.8881
2026-01-25T02:00:00+05:30,54000.0,9.4004,8.3413,9.7985
2026-01-25T03:00:00+05:30,57600.0,9.3008,8.2294,9.7075
2026-01-25T04:00:00+05:30,61200.0,9.2007,8.1188,9.6156
2026-01-25T05:00:00+05:30,64800.0,9.1024,8.0195,9.5239
2026-01-25T06:00:00+05:30,68400.0,9.007,7.934,9.4333
2026-01-25T07:00:00+05:30,72000.0,8.9137,7.8543,9.344
2026-01-25T08:00:00+05:30,75600.0,8.8536,7.8144,9.2971
2026-01-25T09:00:00+05:30,79200.0,8.8675,7.9016,9.338
2026-01-25T10:00:00+05:30,82800.0,8.9598,8.0834,9.4804
2026-01-25T11:00:00+05:30,86400.0,9.0668,8.2993,9.6327
2026-01-25T12:00:00+05:30,90000.0,9.1729,8.4712,9.7826
2026-01-25T13:00:00+05:30,93600.0,9.2361,8.5462,9.8716
2026-01-25T14:00:00+05:30,97200.0,9.2845,8.6066,9.9396
2026-01-25T15:00:00+05:30,100800.0,9.294,8.614,9.9498
2026-01-25T16:00:00+05:30,104400.0,9.2386,8.5594,9.8668
2026-01-25T17:00:00+05:30,108000.0,9.1427,8.4462,9.7337
2026-01-25T18:00:00+05:30,111600.0,9.0211,8.2967,9.5709
2026-01-25T19:00:00+05:30,115200.0,8.9427,8.1917,9.4765
2026-01-25T20:00:00+05:30,118800.0,8.8774,8.1,9.4021
2026-01-25T21:00:00+05:30,122400.0,8.8138,8.0065,9.3329
2026-01-25T22:00:00+05:30,126000.0,8.7476,7.9048,9.2638
2026-01-25T23:00:00+05:30,129600.0,8.6774,7.7949,9.1924
2026-01-26T00:00:00+05:30,133200.0,8.601,7.67,9.1168
2026-01-26T01:00:00+05:30,136800.0,8.5184,7.535,9.0368
2026-01-26T02:00:00+05:30,140400.0,8.4312,7.3997,8.9528
2026-01-26T03:00:00+05:30,144000.0,8.3368,7.2513,8.8637
2026-01-26T04:00:00+05:30,147600.0,8.2388,7.1089,8.7711
2026-01-26T05:00:00+05:30,151200.0,8.1404,6.9871,8.6768
2026-01-26T06:00:00+05:30,154800.0,8.0424,6.8825,8.5812
2026-01-26T07:00:00+05:30,158400.0,7.9443,6.7854,8.4847
2026-01-26T08:00:00+05:30,162000.0,7.8696,6.7309,8.4167
2026-01-26T09:00:00+05:30,165600.0,7.8663,6.8155,8.4315
2026-01-26T10:00:00+05:30,169200.0,7.902,6.9645,8.49
2026-01-26T11:00:00+05:30,172800.0,7.9436,7.1236,8.5497
