timestamp,Q_surf_airlock_west_W,Q_surf_airlock_south/op_airlock_entry_door_W,Q_surf_airlock_south_W,Q_surf_airlock_north_W,Q_surf_airlock_floor_W,Q_surf_airlock_roof_W,Q_surf_living_east_W,Q_surf_living_south/op_living_south_window_W,Q_surf_living_south_W,Q_surf_living_north_W,Q_surf_living_floor_W,Q_surf_living_roof_W,Q_surf_partition_airlock_living_W
2026-01-24T12:00:00+05:30,4377.479,360.996,571.499,1313.244,48.089,58.126,4377.662,223.521,4249.743,5253.198,199.082,232.545,-5.219
2026-01-24T13:00:00+05:30,3657.909,262.48,467.585,1097.377,47.639,53.748,3659.086,190.636,3538.855,4390.923,211.946,215.387,-17.405
2026-01-24T14:00:00+05:30,3432.201,216.729,430.321,1029.677,47.248,66.759,3435.696,179.492,3311.58,4122.889,227.017,268.856,-28.794
2026-01-24T15:00:00+05:30,3426.054,191.811,421.58,1027.859,46.83,93.604,3433.471,175.734,3299.248,4120.284,241.252,380.344,-36.78
2026-01-24T16:00:00+05:30,3224.304,175.861,392.478,967.369,46.37,86.368,3236.302,172.791,3103.998,3883.765,253.818,355.378,-42.27
2026-01-24T17:00:00+05:30,3219.756,183.097,391.693,966.043,45.871,79.767,3236.513,182.454,3103.959,3884.108,264.265,332.413,-46.809
2026-01-24T18:00:00+05:30,3259.035,195.956,397.883,977.865,45.335,75.109,3280.373,195.248,3147.87,3936.835,272.528,316.8,-51.327
2026-01-24T19:00:00+05:30,3183.467,198.294,389.29,955.233,44.765,72.853,3209.39,202.125,3080.444,3851.758,279.44,311.365,-56.037
2026-01-24T20:00:00+05:30,3073.166,196.093,376.153,922.182,44.159,73.189,3103.914,206.2,2979.532,3725.301,285.791,317.129,-60.726
2026-01-24T21:00:00+05:30,2982.092,195.911,365.964,894.899,43.515,73.731,3017.676,210.818,2897.897,3621.93,291.507,323.662,-65.157
2026-01-24T22:00:00+05:30,2906.486,198.497,358.432,872.253,42.833,73.206,2946.566,216.458,2831.799,3536.71,296.367,325.172,-69.302
2026-01-24T23:00:00+05:30,2800.356,198.181,347.034,840.448,42.112,72.944,2844.839,220.176,2736.205,3414.752,300.432,327.918,-73.206
2026-01-25T00:00:00+05:30,2646.19,194.602,329.68,794.229,41.352,71.639,2694.792,221.566,2594.162,3234.806,303.962,326.102,-76.849
2026-01-25T01:00:00+05:30,2438.209,186.955,305.53,731.863,40.554,69.66,2490.722,220.077,2400.065,2990.028,307.147,321.463,-80.178
2026-01-25T02:00:00+05:30,2210.365,176.725,278.732,663.539,39.718,68.561,2267.021,216.654,2187.018,2721.697,310.053,321.167,-83.099
2026-01-25T03:00:00+05:30,2025.449,169.179,257.48,608.094,38.85,68.547,2086.519,214.421,2016.041,2505.207,312.711,325.828,-85.583
2026-01-25T04:00:00+05:30,1861.594,162.385,238.834,558.967,37.952,69.033,1927.358,212.416,1865.801,2314.329,315.139,333.047,-87.708
2026-01-25T05:00:00+05:30,1640.538,150.981,212.737,492.678,37.028,67.832,1710.892,207.282,1660.086,2054.676,317.353,333.074,-89.517
2026-01-25T06:00:00+05:30,1362.794,135.76,179.416,409.376,36.085,64.582,1437.302,199.202,1399.248,1726.459,319.375,323.856,-90.975
2026-01-25T07:00:00+05:30,1107.052,122.322,149.028,332.673,35.129,61.654,1185.666,191.756,1159.96,1424.577,321.461,316.116,-92.099
2026-01-25T08:00:00+05:30,819.132,105.715,114.39,246.316,34.166,58.68,902.199,182.295,889.878,1084.494,324.044,309.127,-92.981
2026-01-25T09:00:00+05:30,102.072,55.457,23.901,31.202,33.203,46.396,187.969,151.853,201.864,227.444,327.652,260.596,-93.381
2026-01-25T10:00:00+05:30,-596.494,8.164,-63.58,-178.367,32.251,35.447,-507.56,121.672,-466.852,-607.184,332.935,218.823,-92.949
2026-01-25T11:00:00+05:30,-1313.574,-40.394,-153.148,-393.489,31.324,24.564,-1220.755,89.525,-1151.825,-1463.025,339.894,179.172,-91.713
2026-01-25T12:00:00+05:30,-1537.152,-57.254,-180.546,-460.604,30.439,15.328,-1446.401,75.767,-1366.048,-1733.952,348.002,133.189,-89.97
2026-01-25T13:00:00+05:30,-1352.119,-44.129,-155.987,-405.143,29.614,12.327,-1264.171,80.551,-1186.158,-1515.451,356.501,115.489,-88.504
2026-01-25T14:00:00+05:30,-1132.391,-26.672,-126.818,-339.256,28.864,11.968,-1043.676,89.519,-969.108,-1250.97,364.822,115.921,-88.102
2026-01-25T15:00:00+05:30,-933.198,-10.292,-100.207,-279.517,28.196,12.694,-840.901,99.154,-769.191,-1007.708,372.515,124.824,-88.959
2026-01-25T16:00:00+05:30,-771.081,4.923,-77.503,-230.879,27.612,15.461,-669.764,108.955,-598.362,-802.332,378.84,151.861,-90.759
2026-01-25T17:00:00+05:30,-477.537,32.338,-35.747,-142.767,27.106,27.443,-355.703,127.554,-284.66,-425.297,383.346,249.419,-93.198
2026-01-25T18:00:00+05:30,-64.508,60.25,18.086,-18.854,26.668,34.068,68.404,146.822,129.486,83.672,386.188,287.266,-96.077
2026-01-25T19:00:00+05:30,191.313,73.858,50.133,57.885,26.285,36.809,331.838,158.11,385.06,399.804,388.234,301.994,-99.105
2026-01-25T20:00:00+05:30,390.355,83.625,74.627,117.592,25.944,39.882,538.144,167.26,584.677,647.392,390.15,320.728,-102.058
2026-01-25T21:00:00+05:30,601.701,95.02,100.504,180.987,25.634,42.594,755.126,177.14,793.88,907.783,391.798,333.438,-104.833
2026-01-25T22:00:00+05:30,823.001,107.97,127.452,247.366,25.345,44.374,979.557,187.738,1009.394,1177.097,392.921,336.603,-107.446
2026-01-25T23:00:00+05:30,1022.091,120.7,151.441,307.076,25.068,44.527,1178.457,198.014,1199.25,1415.753,393.555,327.433,-109.993
2026-01-26T00:00:00+05:30,1237.816,136.47,177.803,371.775,24.796,44.971,1391.779,210.152,1402.811,1671.706,393.929,319.007,-112.624
2026-01-26T01:00:00+05:30,1439.191,151.413,202.56,432.176,24.52,46.944,1591.403,222.325,1593.439,1911.239,394.202,322.402,-115.444
2026-01-26T02:00:00+05:30,1585.432,161.259,220.323,476.046,24.234,50.152,1737.96,232.018,1733.134,2087.125,394.408,336.706,-118.373
2026-01-26T03:00:00+05:30,1732.604,174.066,238.628,520.191,23.929,51.464,1882.871,242.987,1871.176,2261.017,394.545,336.757,-121.345
2026-01-26T04:00:00+05:30,1757.656,177.981,241.329,527.703,23.6,51.496,1905.087,248.65,1890.415,2287.678,394.596,332.345,-124.33
2026-01-26T05:00:00+05:30,1638.2,170.14,225.532,491.868,23.241,50.933,1783.941,247.101,1771.235,2142.324,394.551,328.962,-127.046
2026-01-26T06:00:00+05:30,1463.901,157.108,202.954,439.591,22.847,51.727,1610.956,242.046,1602.91,1934.799,394.404,337.18,-129.14
2026-01-26T07:00:00+05:30,1286.316,144.638,180.378,386.333,22.419,52.483,1435.808,236.612,1433.416,1724.694,394.395,346.091,-130.511
2026-01-26T08:00:00+05:30,982.894,122.563,141.726,295.328,21.959,51.392,1135.67,224.873,1143.387,1364.607,394.851,348.325,-131.231
2026-01-26T09:00:00+05:30,160.243,60.637,35.835,48.545,21.473,40.471,313.877,187.708,347.533,378.494,396.196,303.944,-130.969
2026-01-26T10:00:00+05:30,-642.912,2.492,-66.796,-192.401,20.97,27.93,-491.65,150.013,-431.432,-588.157,398.716,246.523,-129.28
2026-01-26T11:00:00+05:30,-1345.742,-44.429,-154.908,-403.234,20.468,19.721,-1190.378,117.43,-1103.568,-1426.599,402.204,223.358,-126.368
