timestamp,T_surf_airlock_west_C,T_surf_airlock_south_C,T_surf_airlock_north_C,T_surf_airlock_floor_C,T_surf_airlock_roof_C,T_surf_living_east_C,T_surf_living_south_C,T_surf_living_north_C,T_surf_living_floor_C,T_surf_living_roof_C,T_surf_partition_airlock_living_C
2026-01-24T12:00:00+05:30,9.8351,9.751,9.8472,9.9403,9.9498,11.058,10.8414,11.0747,14.37,10.4548,9.9606
2026-01-24T13:00:00+05:30,9.3506,9.0439,9.3997,9.7883,9.7232,11.958,11.6345,11.9876,16.9051,11.1661,9.7684
2026-01-24T14:00:00+05:30,8.7358,8.1888,8.8273,9.5797,9.3377,12.5218,12.1404,12.5752,18.3594,11.7842,9.432
2026-01-24T15:00:00+05:30,8.13,7.383,8.2573,9.3394,8.8778,12.9917,12.5695,13.0641,19.6153,12.2916,9.0262
2026-01-24T16:00:00+05:30,7.5714,6.6695,7.7262,9.0814,8.4041,13.3443,12.892,13.4332,20.491,12.7052,8.6085
2026-01-24T17:00:00+05:30,7.0333,6.007,7.2094,8.8109,7.9338,13.5446,13.063,13.6517,21.0756,13.011,8.1924
2026-01-24T18:00:00+05:30,6.4759,5.3366,6.6703,8.5266,7.4558,13.5881,13.0765,13.7154,21.4418,13.2024,7.7628
2026-01-24T19:00:00+05:30,5.8771,4.6269,6.0884,8.2254,6.9529,13.6462,13.0997,13.7886,22.0876,13.352,7.3026
2026-01-24T20:00:00+05:30,5.2422,3.8841,5.4695,7.9056,6.4192,13.6855,13.106,13.8418,22.7031,13.4858,6.8105
2026-01-24T21:00:00+05:30,4.5839,3.1235,4.8257,7.5672,5.8586,13.6485,13.041,13.8202,23.1272,13.5765,6.2915
2026-01-24T22:00:00+05:30,3.9062,2.3496,4.1613,7.2109,5.2752,13.5391,12.906,13.7269,23.4327,13.6098,5.7484
2026-01-24T23:00:00+05:30,3.2096,1.5617,3.4768,6.8366,4.6703,13.3911,12.7337,13.5934,23.7133,13.5973,5.1822
2026-01-25T00:00:00+05:30,2.499,0.7658,2.7773,6.4449,4.0464,13.235,12.5545,13.4499,24.0162,13.5593,4.5966
2026-01-25T01:00:00+05:30,1.7834,-0.0268,2.0713,6.037,3.4089,13.0743,12.3739,13.3001,24.301,13.5062,3.9983
2026-01-25T02:00:00+05:30,1.0754,-0.8009,1.3711,5.6149,2.7658,12.9155,12.1991,13.1502,24.5622,13.4434,3.3963
2026-01-25T03:00:00+05:30,0.3872,-1.5433,0.6886,5.1815,2.1262,12.7626,12.0327,13.0049,24.8,13.3744,2.8004
2026-01-25T04:00:00+05:30,-0.2746,-2.248,0.0308,4.7397,1.4977,12.6192,11.878,12.8678,25.0161,13.3025,2.2182
2026-01-25T05:00:00+05:30,-0.9049,-2.9101,-0.5971,4.2922,0.8859,12.4925,11.7435,12.7452,25.213,13.2329,1.6553
2026-01-25T06:00:00+05:30,-1.4964,-3.5208,-1.1881,3.842,0.2969,12.3891,11.6364,12.6436,25.3934,13.1716,1.1177
2026-01-25T07:00:00+05:30,-2.0416,-4.0712,-1.7349,3.3926,-0.2622,12.3629,11.6065,12.6161,25.7158,13.1448,0.6131
2026-01-25T08:00:00+05:30,-2.5324,-4.5536,-2.2294,2.9478,-0.7841,12.4478,11.6879,12.696,26.2091,13.1834,0.1507
2026-01-25T09:00:00+05:30,-2.9451,-4.9364,-2.6489,2.5127,-1.256,12.7329,11.9792,12.9665,26.9884,13.3416,-0.2531
2026-01-25T10:00:00+05:30,-3.2362,-5.1635,-2.9525,2.0962,-1.651,13.2853,12.5414,13.4969,28.1492,13.6751,-0.5664
2026-01-25T11:00:00+05:30,-3.3707,-5.1954,-3.1059,1.7091,-1.9387,14.0142,13.2909,14.201,29.309,14.1704,-0.7566
2026-01-25T12:00:00+05:30,-3.3351,-5.0256,-3.0942,1.3618,-2.0982,14.866,14.1628,15.0299,30.465,14.7876,-0.8055
2026-01-25T13:00:00+05:30,-3.1559,-4.7026,-2.9403,1.0604,-2.1302,15.7161,15.0275,15.8642,31.3937,15.4583,-0.7207
2026-01-25T14:00:00+05:30,-2.8932,-4.3079,-2.6999,0.8045,-2.0619,16.5502,15.8682,16.6866,32.254,16.1458,-0.5375
2026-01-25T15:00:00+05:30,-2.6036,-3.909,-2.428,0.5893,-1.9308,17.2845,16.6061,17.4148,32.8717,16.8058,-0.3006
2026-01-25T16:00:00+05:30,-2.3282,-3.5486,-2.1654,0.4079,-1.7718,17.8267,17.1539,17.9574,33.0916,17.3735,-0.0512
2026-01-25T17:00:00+05:30,-2.1002,-3.2601,-1.9458,0.2528,-1.6145,18.1843,17.5123,18.3208,33.096,17.8188,0.1754
2026-01-25T18:00:00+05:30,-1.9438,-3.0705,-1.793,0.1155,-1.4851,18.4051,17.7279,18.5496,33.0287,18.152,0.3524
2026-01-25T19:00:00+05:30,-1.8615,-2.9804,-1.7097,-0.0113,-1.3991,18.6385,17.9485,18.7869,33.2406,18.4434,0.4687
2026-01-25T20:00:00+05:30,-1.8411,-2.9701,-1.6854,-0.1321,-1.3585,18.8484,18.1434,19.0007,33.4515,18.7133,0.5297
2026-01-25T21:00:00+05:30,-1.8723,-3.0235,-1.7106,-0.2501,-1.3593,18.9728,18.254,19.1318,33.5031,18.9326,0.5422
2026-01-25T22:00:00+05:30,-1.9524,-3.1363,-1.7835,-0.3679,-1.3992,19.0135,18.2802,19.1809,33.4664,19.0857,0.5089
2026-01-25T23:00:00+05:30,-2.0842,-3.3109,-1.9065,-0.4887,-1.4791,18.9978,18.2472,19.1739,33.4322,19.1814,0.4296
2026-01-26T00:00:00+05:30,-2.2726,-3.5533,-2.0848,-0.6158,-1.602,18.9424,18.1698,19.1282,33.4438,19.233,0.3026
2026-01-26T01:00:00+05:30,-2.523,-3.8696,-2.3235,-0.7528,-1.7722,18.8393,18.0418,19.036,33.4564,19.2432,0.1253
2026-01-26T02:00:00+05:30,-2.8345,-4.2575,-2.6221,-0.9029,-1.9924,18.6911,17.8686,18.8993,33.4606,19.2124,-0.104
2026-01-26T03:00:00+05:30,-3.2042,-4.7112,-2.978,-1.0685,-2.2624,18.4948,17.6456,18.7159,33.4526,19.1393,-0.3842
2026-01-26T04:00:00+05:30,-3.6302,-5.2266,-3.3896,-1.252,-2.5819,18.2577,17.3835,18.4914,33.4312,19.0269,-0.7145
2026-01-26T05:00:00+05:30,-4.0981,-5.7828,-3.8436,-1.4543,-2.9457,17.9981,17.1043,18.2423,33.3966,18.8844,-1.0884
2026-01-26T06:00:00+05:30,-4.5812,-6.3443,-4.3149,-1.6741,-3.3403,17.7367,16.8297,17.9888,33.3506,18.7234,-1.4904
2026-01-26T07:00:00+05:30,-5.0536,-6.8792,-4.7783,-1.9081,-3.7474,17.5397,16.6213,17.7956,33.451,18.5773,-1.9
2026-01-26T08:00:00+05:30,-5.4926,-7.3614,-5.2117,-2.1517,-4.1487,17.4335,16.5092,17.6885,33.6653,18.4767,-2.2957
2026-01-26T09:00:00+05:30,-5.8583,-7.7388,-5.5769,-2.3984,-4.5197,17.5246,16.6096,17.7668,34.1438,18.4819,-2.6489
2026-01-26T10:00:00+05:30,-6.0919,-7.936,-5.8181,-2.6368,-4.8211,17.8132,16.9192,18.0356,34.7589,18.6226,-2.9159
2026-01-26T11:00:00+05:30,-6.1567,-7.914,-5.899,-2.8537,-5.0148,18.2448,17.3816,18.4447,35.3507,18.884,-3.0581
