timestamp,elapsed_s,T_airlock_C,T_airlock_min_C,T_airlock_max_C,T_living_C,T_living_min_C,T_living_max_C
2026-01-24T12:00:00+05:30,3600.0,9.8885,9.835,9.9113,11.2028,10.5642,11.6597
2026-01-24T13:00:00+05:30,7200.0,9.5277,9.3319,9.6076,12.3235,11.5903,12.9615
2026-01-24T14:00:00+05:30,10800.0,9.0338,8.6868,9.19,13.0956,12.3257,13.8128
2026-01-24T15:00:00+05:30,14400.0,8.5175,8.0486,8.7467,13.7363,12.9311,14.5292
2026-01-24T16:00:00+05:30,18000.0,8.0239,7.4629,8.3161,14.2171,13.3795,15.0596
2026-01-24T17:00:00+05:30,21600.0,7.5451,6.9113,7.892,14.5267,13.6347,15.4055
2026-01-24T18:00:00+05:30,25200.0,7.0529,6.3546,7.4507,14.6786,13.7231,15.5868
2026-01-24T19:00:00+05:30,28800.0,6.5277,5.767,6.9759,14.8633,13.8475,15.8313
2026-01-24T20:00:00+05:30,32400.0,5.9707,5.1506,6.47,15.0324,13.9662,16.0581
2026-01-24T21:00:00+05:30,36000.0,5.3904,4.5151,5.9403,15.1205,14.0091,16.1904
2026-01-24T22:00:00+05:30,39600.0,4.79,3.8637,5.3896,15.1327,13.9751,16.2422
2026-01-24T23:00:00+05:30,43200.0,4.1698,3.1959,4.818,15.1052,13.9053,16.2556
2026-01-25T00:00:00+05:30,46800.0,3.5338,2.5154,4.2293,15.0683,13.8319,16.263
2026-01-25T01:00:00+05:30,50400.0,2.8894,1.83,3.6305,15.0226,13.7588,16.2602
2026-01-25T02:00:00+05:30,54000.0,2.247,1.1532,3.031,14.9719,13.6894,16.2494
2026-01-25T03:00:00+05:30,57600.0,1.6168,0.4958,2.4399,14.9171,13.6178,16.2321
2026-01-25T04:00:00+05:30,61200.0,1.0052,-0.1364,1.8634,14.8615,13.5479,16.2111
2026-01-25T05:00:00+05:30,64800.0,0.4173,-0.7388,1.3062,14.8126,13.4943,16.1931
2026-01-25T06:00:00+05:30,68400.0,-0.1405,-1.3038,0.7745,14.7763,13.4473,16.1835
2026-01-25T07:00:00+05:30,72000.0,-0.6606,-1.8237,0.2754,14.81,13.4504,16.2524
2026-01-25T08:00:00+05:30,75600.0,-1.1352,-2.2923,-0.1831,14.9481,13.5537,16.4336
2026-01-25T09:00:00+05:30,79200.0,-1.5445,-2.6838,-0.5828,15.2812,13.8463,16.8193
2026-01-25T10:00:00+05:30,82800.0,-1.8518,-2.9536,-0.8899,15.8673,14.3841,17.4767
2026-01-25T11:00:00+05:30,86400.0,-2.025,-3.0672,-1.0747,16.6011,15.0851,18.2644
2026-01-25T12:00:00+05:30,90000.0,-2.0498,-3.0175,-1.124,17.4271,15.8907,19.1356
2026-01-25T13:00:00+05:30,93600.0,-1.9447,-2.8312,-1.0532,18.2238,16.6864,19.9527
2026-01-25T14:00:00+05:30,97200.0,-1.756,-2.5677,-0.9028,19.0009,17.467,20.7436
2026-01-25T15:00:00+05:30,100800.0,-1.5308,-2.2812,-0.7149,19.6817,18.1623,21.4186
2026-01-25T16:00:00+05:30,104400.0,-1.3064,-2.0098,-0.5242,20.1753,18.6866,21.8781
2026-01-25T17:00:00+05:30,108000.0,-1.1135,-1.7848,-0.3599,20.4957,19.0406,22.1581
2026-01-25T18:00:00+05:30,111600.0,-0.9764,-1.6315,-0.2444,20.695,19.268,22.3228
2026-01-25T19:00:00+05:30,115200.0,-0.9019,-1.5559,-0.1839,20.9292,19.5084,22.5538
2026-01-25T20:00:00+05:30,118800.0,-0.8818,-1.5467,-0.1709,21.1482,19.7304,22.7721
2026-01-25T21:00:00+05:30,122400.0,-0.9076,-1.5899,-0.1982,21.2848,19.875,22.8979
2026-01-25T22:00:00+05:30,126000.0,-0.977,-1.6825,-0.2646,21.3427,19.9408,22.9435
2026-01-25T23:00:00+05:30,129600.0,-1.0916,-1.8267,-0.372,21.3524,19.9531,22.9473
2026-01-26T00:00:00+05:30,133200.0,-1.2549,-2.025,-0.5232,21.3333,19.9286,22.9322
2026-01-26T01:00:00+05:30,136800.0,-1.4712,-2.2822,-0.7222,21.2779,19.8622,22.8856
2026-01-26T02:00:00+05:30,140400.0,-1.741,-2.598,-0.9696,21.1879,19.7568,22.8073
2026-01-26T03:00:00+05:30,144000.0,-2.0624,-2.969,-1.264,21.0579,19.5883,22.6929
2026-01-26T04:00:00+05:30,147600.0,-2.434,-3.3925,-1.6046,20.8959,19.3859,22.5488
2026-01-26T05:00:00+05:30,151200.0,-2.8454,-3.8543,-1.9828,20.7158,19.1843,22.3871
2026-01-26T06:00:00+05:30,154800.0,-3.2764,-4.3286,-2.3811,20.5298,18.9914,22.2182
2026-01-26T07:00:00+05:30,158400.0,-3.7049,-4.7904,-2.7796,20.4022,18.8547,22.1187
2026-01-26T08:00:00+05:30,162000.0,-4.1106,-5.2176,-3.1596,20.3562,18.7797,22.1046
2026-01-26T09:00:00+05:30,165600.0,-4.4602,-5.5707,-3.491,20.4978,18.8891,22.2857
2026-01-26T10:00:00+05:30,169200.0,-4.7038,-5.7911,-3.7288,20.8079,19.1744,22.6333
2026-01-26T11:00:00+05:30,172800.0,-4.8058,-5.8404,-3.8404,21.2246,19.5827,23.0733
