timestamp,Q_surf_airlock_f0_west_W,Q_surf_airlock_f0_south/op_airlock_entry_door_W,Q_surf_airlock_f0_south_W,Q_surf_airlock_f0_north_W,Q_surf_airlock_f0_floor_W,Q_surf_airlock_f0_roof_W,Q_surf_living_f0_east_W,Q_surf_living_f0_south/op_living_south_window_W,Q_surf_living_f0_south_W,Q_surf_living_f0_north_W,Q_surf_living_f0_floor_W,Q_surf_sleeping_f1_west_W,Q_surf_sleeping_f1_east/op_sleeping_east_window_W,Q_surf_sleeping_f1_east_W,Q_surf_sleeping_f1_south/op_sleeping_south_window_W,Q_surf_sleeping_f1_south_W,Q_surf_sleeping_f1_north_W,Q_surf_sleeping_f1_roof_W,Q_surf_airlock_f0_living_f0_partition_W,Q_surf_living_f0_sleeping_f1_ceiling_W
2026-01-24T12:00:00+05:30,162.508,314.746,47.791,48.753,48.096,60.256,162.525,126.174,188.735,195.033,193.49,162.47,59.547,169.873,100.824,197.763,195.055,208.657,-2.269,57.533
2026-01-24T13:00:00+05:30,164.571,231.315,42.483,49.373,47.689,47.855,164.712,118.832,190.071,197.674,195.727,164.763,55.992,170.886,94.891,199.002,197.791,188.064,-7.296,84.035
2026-01-24T14:00:00+05:30,213.511,193.42,46.618,64.061,47.399,56.101,214.092,120.041,239.374,256.98,200.387,214.327,56.719,215.785,95.437,250.562,257.256,228.589,-11.598,68.997
2026-01-24T15:00:00+05:30,304.567,174.079,56.762,91.399,47.138,77.557,306.299,123.499,330.371,367.745,205.746,306.684,58.645,298.963,97.817,345.716,368.096,319.865,-14.37,49.778
2026-01-24T16:00:00+05:30,284.137,163.145,53.309,85.293,46.884,71.933,286.837,124.701,310.981,344.472,210.908,286.981,58.283,280.894,97.389,325.007,344.453,296.87,-16.128,26.044
2026-01-24T17:00:00+05:30,262.518,172.314,51.524,78.83,46.627,67.919,265.962,132.209,291.881,319.476,215.332,265.661,60.793,262.744,101.848,304.404,318.876,276.696,-17.415,2.651
2026-01-24T18:00:00+05:30,247.795,186.529,51.005,74.433,46.365,64.853,251.835,141.893,279.819,302.563,218.713,250.999,64.289,250.926,107.991,291.067,301.284,261.745,-18.556,-18.226
2026-01-24T19:00:00+05:30,242.796,191.838,50.899,72.958,46.096,62.954,247.543,149.114,276.813,297.461,221.074,246.068,66.903,247.339,112.642,287.072,295.367,253.854,-19.639,-19.734
2026-01-24T20:00:00+05:30,246.734,193.256,51.588,74.169,45.82,63.241,252.362,155.052,282.565,303.306,222.796,250.13,69.166,251.647,116.586,292.09,300.24,254.957,-20.667,-14.546
2026-01-24T21:00:00+05:30,250.877,196.423,52.439,75.443,45.536,63.967,257.361,161.208,288.519,309.362,224.17,254.346,71.559,256.129,120.76,297.307,305.295,257.339,-21.637,-7.781
2026-01-24T22:00:00+05:30,250.975,202.019,52.969,75.5,45.243,63.915,258.151,167.864,290.336,310.352,225.348,254.429,74.105,256.938,125.282,298.318,305.39,256.49,-22.595,-1.137
2026-01-24T23:00:00+05:30,252.387,205.11,53.442,75.954,44.942,63.954,260.304,173.111,293.303,312.978,226.051,255.9,76.912,258.924,130.457,300.679,307.151,257.179,-23.424,-31.267
2026-01-25T00:00:00+05:30,250.51,205.354,53.232,75.419,44.631,63.041,259.072,177.067,292.541,311.534,225.835,254.2,78.831,257.765,134.038,299.392,305.104,255.102,-24.034,-56.497
2026-01-25T01:00:00+05:30,246.619,202.011,52.43,74.28,44.311,61.512,255.79,179.405,289.338,307.626,224.989,250.619,79.715,254.564,135.79,295.718,300.799,250.971,-24.598,-80.063
2026-01-25T02:00:00+05:30,246.022,196.274,51.821,74.135,43.982,60.815,255.986,180.518,289.411,307.902,223.838,250.494,80.053,254.317,136.484,295.413,300.645,250.134,-25.164,-100.874
2026-01-25T03:00:00+05:30,248.887,192.63,51.807,75.035,43.643,61.287,259.79,181.948,293.215,312.515,222.566,253.937,80.597,257.405,137.437,298.95,304.775,253.39,-25.727,-119.182
2026-01-25T04:00:00+05:30,253.607,189.384,52.042,76.495,43.296,62.271,265.586,183.209,299.026,319.525,221.26,259.323,81.11,262.26,138.278,304.516,311.238,258.646,-26.294,-135.227
2026-01-25T05:00:00+05:30,253.036,181.879,51.213,76.365,42.94,61.656,266.019,182.307,299.008,320.091,219.954,259.399,80.554,261.903,137.363,304.05,311.328,257.834,-26.839,-148.875
2026-01-25T06:00:00+05:30,245.431,170.785,49.151,74.117,42.578,59.206,259.218,179.155,291.254,311.96,218.667,252.35,78.861,254.667,134.609,295.632,302.867,249.519,-27.308,-160.242
2026-01-25T07:00:00+05:30,238.588,160.96,47.261,72.099,42.209,57.214,253.239,175.759,284.308,304.818,217.404,246.097,77.097,248.141,131.701,288.027,295.36,242.565,-27.68,-169.847
2026-01-25T08:00:00+05:30,232.262,148.114,45.134,70.242,41.834,55.157,247.996,171.317,277.841,298.57,216.583,240.45,74.162,241.853,126.56,280.651,288.581,235.576,-28.133,-136.532
2026-01-25T09:00:00+05:30,195.76,105.503,36.599,59.298,41.456,43.849,211.718,153.841,237.492,255.025,216.933,204.088,65.236,205.329,111.837,238.273,244.933,193.433,-28.666,-98.383
2026-01-25T10:00:00+05:30,162.782,64.847,28.544,49.42,41.076,34.504,179.316,134.827,200.733,216.15,218.582,171.398,56.144,171.942,96.827,199.463,205.695,157.622,-29.022,-57.232
2026-01-25T11:00:00+05:30,130.434,22.407,20.273,39.742,40.696,25.479,147.988,113.271,164.655,178.586,221.474,139.635,45.914,139.037,79.699,161.165,167.568,124.051,-29.218,-27.506
2026-01-25T12:00:00+05:30,92.703,5.116,13.825,28.349,40.32,18.037,108.489,98.688,121.921,131.061,225.347,101.081,38.481,101.438,67.566,117.638,121.301,90.599,-29.422,-7.114
2026-01-25T13:00:00+05:30,76.313,13.285,12.123,23.38,39.952,16.177,91.03,94.572,103.517,110.027,229.817,84.233,36.011,85.421,63.594,99.132,101.088,79.656,-29.93,1.039
2026-01-25T14:00:00+05:30,73.438,25.92,12.423,22.519,39.594,16.605,88.744,94.648,101.399,107.293,234.463,81.766,35.749,83.243,63.097,96.64,98.134,80.734,-30.859,6.733
2026-01-25T15:00:00+05:30,76.486,38.163,13.51,23.46,39.249,17.991,93.312,96.448,106.636,112.834,238.958,85.704,36.363,87.209,63.923,101.257,102.866,86.838,-32.082,6.554
2026-01-25T16:00:00+05:30,90.57,50.21,15.983,27.775,38.918,21.888,111.207,99.879,125.782,134.481,242.914,101.89,37.911,102.603,65.975,119.055,122.298,104.682,-33.346,-1.303
2026-01-25T17:00:00+05:30,146.723,73.737,24.412,44.919,38.6,37.218,178.953,110.345,195.991,216.326,245.956,164.293,43.306,160.668,73.864,185.922,197.208,172.005,-34.503,-8.429
2026-01-25T18:00:00+05:30,168.556,96.515,29.25,51.507,38.295,43.922,203.648,119.772,222.999,246.072,247.921,187.415,47.491,183.377,80.54,212.215,224.969,197.266,-35.555,-11.065
2026-01-25T19:00:00+05:30,176.679,107.103,31.43,53.934,38.0,45.732,212.894,125.447,233.778,257.194,248.949,195.736,49.881,192.038,84.468,222.319,234.958,203.601,-36.499,2.051
2026-01-25T20:00:00+05:30,187.001,114.752,33.589,57.038,37.713,48.109,224.979,130.508,247.085,271.752,249.43,206.493,52.081,202.661,88.084,234.631,247.868,212.354,-37.331,19.275
2026-01-25T21:00:00+05:30,194.16,124.065,35.551,59.168,37.431,50.017,232.847,136.209,256.311,281.197,249.639,213.5,54.54,210.045,92.219,243.246,256.274,218.305,-38.083,36.145
2026-01-25T22:00:00+05:30,196.372,134.971,37.082,59.786,37.154,50.772,234.401,142.599,259.383,283.003,249.717,214.888,57.232,212.517,96.858,246.248,257.936,219.221,-38.822,51.346
2026-01-25T23:00:00+05:30,191.895,146.006,37.798,58.37,36.879,49.704,227.866,148.631,254.285,275.04,249.378,209.001,60.49,208.482,102.864,241.798,250.866,213.231,-39.453,28.061
2026-01-26T00:00:00+05:30,188.458,160.094,38.862,57.269,36.605,49.029,222.216,156.323,250.205,268.137,248.175,204.296,64.209,205.68,109.585,238.769,245.214,209.535,-39.949,7.654
2026-01-26T01:00:00+05:30,192.284,173.928,40.779,58.382,36.329,50.055,225.167,165.044,254.831,271.616,246.39,207.656,68.212,210.23,116.605,244.186,249.243,213.83,-40.541,-12.98
2026-01-26T02:00:00+05:30,202.558,183.687,43.163,61.463,36.052,52.435,236.011,173.173,267.261,284.628,244.344,218.226,71.986,221.178,123.051,256.935,261.926,224.608,-41.275,-32.251
2026-01-26T03:00:00+05:30,204.587,196.324,44.723,62.038,35.771,52.974,236.977,182.022,269.731,285.718,242.22,219.823,75.821,224.004,129.84,260.346,263.843,226.435,-42.114,-50.502
2026-01-26T04:00:00+05:30,203.557,201.602,45.235,61.703,35.484,52.237,235.042,188.341,268.701,283.336,240.095,218.451,78.42,223.617,134.559,260.002,262.195,224.006,-43.005,-67.034
2026-01-26T05:00:00+05:30,202.35,196.836,44.853,61.334,35.192,51.065,233.778,190.796,267.603,281.796,238.007,217.31,79.314,222.767,136.271,259.047,260.824,220.756,-43.82,-81.353
2026-01-26T06:00:00+05:30,207.472,187.537,44.866,62.896,34.892,51.54,240.403,191.164,274.187,289.784,235.966,223.25,79.497,228.082,136.501,265.153,267.951,224.697,-44.443,-93.641
2026-01-26T07:00:00+05:30,212.481,178.552,44.81,64.431,34.586,52.269,247.15,190.63,280.715,297.926,233.978,229.203,79.302,233.257,136.053,271.074,275.095,229.28,-44.858,-104.342
2026-01-26T08:00:00+05:30,212.396,160.99,43.284,64.442,34.272,51.275,249.012,186.428,281.503,300.212,232.434,230.152,76.604,233.074,131.151,270.735,276.23,227.618,-45.235,-73.219
2026-01-26T09:00:00+05:30,180.79,108.286,34.63,54.962,33.951,40.539,217.527,166.41,245.433,262.41,232.011,198.607,66.634,200.513,114.491,232.854,238.362,188.588,-45.52,-36.054
2026-01-26T10:00:00+05:30,139.797,57.773,24.866,42.631,33.626,29.102,174.975,143.187,197.561,211.266,232.716,156.815,55.384,158.163,95.872,183.647,188.197,143.034,-45.404,-0.869
2026-01-26T11:00:00+05:30,117.343,16.825,17.918,35.947,33.298,22.65,155.383,122.055,173.467,187.835,234.321,135.726,45.568,135.094,79.133,156.66,162.881,119.829,-44.947,25.595
