timestamp,T_surf_airlock_f0_west_C,T_surf_airlock_f0_south_C,T_surf_airlock_f0_north_C,T_surf_airlock_f0_floor_C,T_surf_airlock_f0_roof_C,T_surf_living_f0_east_C,T_surf_living_f0_south_C,T_surf_living_f0_north_C,T_surf_living_f0_floor_C,T_surf_sleeping_f1_west_C,T_surf_sleeping_f1_east_C,T_surf_sleeping_f1_south_C,T_surf_sleeping_f1_north_C,T_surf_sleeping_f1_roof_C,T_surf_airlock_f0_living_f0_partition_C,T_surf_living_f0_sleeping_f1_ceiling_C
2026-01-24T12:00:00+05:30,9.9752,9.8831,9.9768,9.9834,9.8817,10.0398,10.0044,10.0482,12.8708,10.1025,10.0646,10.0589,10.1015,10.2129,9.9794,10.1172
2026-01-24T13:00:00+05:30,9.8875,9.5055,9.8962,9.9205,9.5972,10.0758,10.0034,10.094,14.5158,10.1591,10.0776,10.0665,10.1619,10.3039,9.8842,10.4033
2026-01-24T14:00:00+05:30,9.7595,9.0168,9.7803,9.8195,9.2871,10.0925,9.9888,10.1206,15.1226,10.131,10.0086,9.9922,10.1371,10.1935,9.7263,10.7297
2026-01-24T15:00:00+05:30,9.6154,8.5309,9.651,9.6976,9.0077,10.1034,9.974,10.1412,15.5332,10.0673,9.9079,9.8867,10.0747,10.0246,9.5418,11.0143
2026-01-24T16:00:00+05:30,9.4655,8.0807,9.5169,9.5658,8.761,10.1078,9.9559,10.1548,15.5965,9.9692,9.7762,9.7503,9.9775,9.7814,9.3527,11.2248
2026-01-24T17:00:00+05:30,9.3107,7.659,9.3784,9.4292,8.5289,10.099,9.9237,10.1548,15.434,9.8335,9.6067,9.5753,9.8421,9.4478,9.1635,11.3409
2026-01-24T18:00:00+05:30,9.1472,7.2419,9.2315,9.2887,8.2905,10.0691,9.8672,10.133,15.0629,9.6558,9.3927,9.3549,9.6643,9.0193,8.9675,11.3529
2026-01-24T19:00:00+05:30,8.9716,6.8134,9.0733,9.1436,8.0371,10.0278,9.7974,10.0991,15.018,9.4786,9.1777,9.1338,9.4858,8.6498,8.7592,11.2941
2026-01-24T20:00:00+05:30,8.784,6.3739,8.9039,8.9934,7.7727,9.979,9.7197,10.0574,15.0563,9.3014,8.9639,8.9143,9.3079,8.3336,8.5398,11.2076
2026-01-24T21:00:00+05:30,8.5861,5.9291,8.7247,8.8383,7.5023,9.9236,9.6354,10.0088,15.1202,9.1195,8.746,8.6911,9.1253,8.044,8.3124,11.1124
2026-01-24T22:00:00+05:30,8.3788,5.4806,8.5365,8.6787,7.2264,9.8618,9.5444,9.9538,15.1902,8.9305,8.5216,8.4614,8.9358,7.7652,8.0789,11.0142
2026-01-24T23:00:00+05:30,8.162,5.0279,8.3394,8.5144,6.9442,9.7695,9.421,9.8673,14.3473,8.833,8.3903,8.3271,8.8363,7.8053,7.836,10.9278
2026-01-25T00:00:00+05:30,7.9365,4.5728,8.1337,8.3451,6.6565,9.67,9.2904,9.7729,13.995,8.7238,8.2509,8.1846,8.7285,7.7925,7.5825,10.9156
2026-01-25T01:00:00+05:30,7.7037,4.1205,7.9209,8.1713,6.3679,9.5716,9.1625,9.6794,13.7696,8.5944,8.0914,8.0217,8.5998,7.7027,7.325,10.9361
2026-01-25T02:00:00+05:30,7.4659,3.6781,7.7031,7.9937,6.0839,9.4738,9.0375,9.5865,13.5917,8.4555,7.924,7.8512,8.4612,7.5804,7.0687,10.9574
2026-01-25T03:00:00+05:30,7.2254,3.2512,7.4823,7.8132,5.8075,9.3761,8.9148,9.4936,13.4349,8.3126,7.7545,7.6789,8.3185,7.4441,6.8162,10.9689
2026-01-25T04:00:00+05:30,6.9834,2.8414,7.2595,7.6304,5.5389,9.2783,8.794,9.4004,13.2887,8.1679,7.5852,7.507,8.174,7.3014,6.5684,10.9683
2026-01-25T05:00:00+05:30,6.7412,2.4505,7.0358,7.446,5.2791,9.1808,8.676,9.3074,13.1487,8.0233,7.4183,7.3379,8.0294,7.1598,6.3257,10.9564
2026-01-25T06:00:00+05:30,6.5005,2.0832,6.813,7.2605,5.0315,9.0849,8.5625,9.2156,13.0131,7.8806,7.2564,7.1743,7.8868,7.027,6.0896,10.9347
2026-01-25T07:00:00+05:30,6.2636,1.7446,6.5929,7.0748,4.7988,8.9918,8.4547,9.1262,12.8811,7.7417,7.1014,7.0181,7.7479,6.9054,5.8622,10.9047
2026-01-25T08:00:00+05:30,6.0323,1.4382,6.3772,6.8898,4.5837,8.9319,8.3859,9.0706,13.838,7.5349,6.881,6.7954,7.5421,6.5657,5.6496,10.8711
2026-01-25T09:00:00+05:30,5.8113,1.1787,6.1704,6.7075,4.4008,8.8976,8.3517,9.0408,14.6299,7.397,6.7355,6.6505,7.4017,6.4805,5.4611,10.8195
