timestamp,elapsed_s,T_airlock_f0_C,T_airlock_f0_min_C,T_airlock_f0_max_C,T_living_f0_C,T_living_f0_min_C,T_living_f0_max_C,T_sleeping_f1_C,T_sleeping_f1_min_C,T_sleeping_f1_max_C
2026-01-24T12:00:00+05:30,3600.0,9.9481,9.9094,9.9686,10.4169,9.8255,10.739,10.7517,10.2208,11.2444
2026-01-24T13:00:00+05:30,7200.0,9.7833,9.6234,9.8616,10.8409,10.1961,11.318,11.0583,10.4792,11.7018
2026-01-24T14:00:00+05:30,10800.0,9.5659,9.2606,9.7106,11.089,10.4335,11.6163,10.8987,10.3281,11.4874
2026-01-24T15:00:00+05:30,14400.0,9.343,8.9077,9.5463,11.2735,10.6068,11.8337,10.7085,10.1393,11.2562
2026-01-24T16:00:00+05:30,18000.0,9.1297,8.5882,9.3812,11.3604,10.6826,11.9223,10.3767,9.8105,10.8338
2026-01-24T17:00:00+05:30,21600.0,8.9226,8.2936,9.2153,11.3547,10.6363,11.9017,9.9392,9.3534,10.2991
2026-01-24T18:00:00+05:30,25200.0,8.7109,8.0032,9.0438,11.258,10.4846,11.777,9.411,8.7924,9.716
2026-01-24T19:00:00+05:30,28800.0,8.4876,7.7035,8.8614,11.1913,10.3705,11.7151,9.1124,8.4537,9.4471
2026-01-24T20:00:00+05:30,32400.0,8.2539,7.3957,8.669,11.1318,10.2722,11.6697,8.8689,8.1781,9.2327
2026-01-24T21:00:00+05:30,36000.0,8.0132,7.0838,8.4688,11.0719,10.1733,11.6276,8.6377,7.915,9.0282
2026-01-24T22:00:00+05:30,39600.0,7.7664,6.7691,8.2615,11.0083,10.0674,11.5832,8.4062,7.6488,8.8224
2026-01-24T23:00:00+05:30,43200.0,7.5121,6.4495,8.0463,10.765,9.7961,11.2746,8.8441,8.0143,9.426
2026-01-25T00:00:00+05:30,46800.0,7.2501,6.1254,7.8229,10.6214,9.6258,11.1011,8.8539,7.9927,9.4828
2026-01-25T01:00:00+05:30,50400.0,6.9848,5.8021,7.5945,10.5191,9.5045,10.9797,8.7597,7.8781,9.4099
2026-01-25T02:00:00+05:30,54000.0,6.7206,5.4857,7.3642,10.432,9.4064,10.8783,8.6383,7.7443,9.3041
2026-01-25T03:00:00+05:30,57600.0,6.4604,5.1801,7.1343,10.3482,9.3122,10.7831,8.5065,7.6013,9.1861
2026-01-25T04:00:00+05:30,61200.0,6.2048,4.8858,6.9055,10.264,9.2193,10.6896,8.3704,7.4557,9.0625
2026-01-25T05:00:00+05:30,64800.0,5.9545,4.6034,6.6787,10.181,9.1371,10.5978,8.2362,7.3202,8.9386
2026-01-25T06:00:00+05:30,68400.0,5.7119,4.3362,6.4555,10.1001,9.0675,10.5082,8.1085,7.2001,8.8185
2026-01-25T07:00:00+05:30,72000.0,5.4794,4.0875,6.2377,10.0201,9.0017,10.4196,7.9871,7.0893,8.7029
2026-01-25T08:00:00+05:30,75600.0,5.2606,3.8612,6.0285,10.16,9.1527,10.6541,7.3795,6.5323,7.9442
2026-01-25T09:00:00+05:30,79200.0,5.0646,3.6702,5.8343,10.3071,9.3692,10.8786,7.4904,6.6894,8.1317
2026-01-25T10:00:00+05:30,82800.0,4.9047,3.5358,5.6642,10.5402,9.6864,11.2079,7.9174,7.1608,8.7189
2026-01-25T11:00:00+05:30,86400.0,4.7902,3.4716,5.5253,10.8117,10.0441,11.5577,8.2076,7.4802,9.0767
2026-01-25T12:00:00+05:30,90000.0,4.7218,3.476,5.4193,11.0949,10.3134,11.9107,8.3729,7.6261,9.2534
2026-01-25T13:00:00+05:30,93600.0,4.6858,3.5242,5.3394,11.3247,10.4946,12.1827,8.3863,7.6681,9.2251
2026-01-25T14:00:00+05:30,97200.0,4.6631,3.5831,5.2768,11.5267,10.6592,12.4178,8.4024,7.6996,9.2196
2026-01-25T15:00:00+05:30,100800.0,4.6398,3.6305,5.2178,11.6682,10.7844,12.5694,8.2959,7.6432,9.0497
2026-01-25T16:00:00+05:30,104400.0,4.6078,3.6532,5.1559,11.7101,10.8415,12.5866,7.9951,7.4459,8.6227
2026-01-25T17:00:00+05:30,108000.0,4.5612,3.6473,5.0863,11.6726,10.8355,12.5128,7.6032,7.0735,8.106
2026-01-25T18:00:00+05:30,111600.0,4.4937,3.6046,5.0039,11.5729,10.7761,12.3732,7.1787,6.6332,7.5887
2026-01-25T19:00:00+05:30,115200.0,4.4036,3.5241,4.9071,11.5044,10.7224,12.2963,6.9581,6.3913,7.3694
2026-01-25T20:00:00+05:30,118800.0,4.2954,3.4139,4.7982,11.4446,10.6401,12.2373,6.7861,6.2002,7.2089
2026-01-25T21:00:00+05:30,122400.0,4.1735,3.2819,4.6799,11.3857,10.5548,12.1838,6.6239,6.0155,7.0595
2026-01-25T22:00:00+05:30,126000.0,4.0392,3.1299,4.5529,11.3247,10.462,12.1299,6.46,5.8243,6.9089
2026-01-25T23:00:00+05:30,129600.0,3.8909,2.9566,4.4153,11.0827,10.2069,11.8055,6.9605,6.2507,7.6206
2026-01-26T00:00:00+05:30,133200.0,3.726,2.7604,4.2651,10.9355,10.0219,11.6191,7.0221,6.2688,7.7296
2026-01-26T01:00:00+05:30,136800.0,3.5449,2.5409,4.1028,10.8238,9.8631,11.4818,6.9653,6.1687,7.6921
2026-01-26T02:00:00+05:30,140400.0,3.3486,2.2994,3.929,10.7227,9.7189,11.3608,6.8678,6.0321,7.6098
2026-01-26T03:00:00+05:30,144000.0,3.138,2.0383,3.7441,10.6182,9.5646,11.2407,6.744,5.8638,7.5019
2026-01-26T04:00:00+05:30,147600.0,2.9138,1.7594,3.5483,10.5113,9.4178,11.1198,6.6063,5.6898,7.3799
2026-01-26T05:00:00+05:30,151200.0,2.6804,1.4705,3.3439,10.4053,9.2919,10.9999,6.4662,5.5304,7.2531
2026-01-26T06:00:00+05:30,154800.0,2.4448,1.184,3.1355,10.3003,9.1824,10.881,6.33,5.3879,7.127
2026-01-26T07:00:00+05:30,158400.0,2.2133,0.91,2.9278,10.195,9.0794,10.7624,6.199,5.2565,7.0037
2026-01-26T08:00:00+05:30,162000.0,1.993,0.6576,2.7261,10.2984,9.1937,10.9516,5.5202,4.6309,6.1415
2026-01-26T09:00:00+05:30,165600.0,1.7973,0.4472,2.5402,10.4034,9.3821,11.1206,5.5675,4.7377,6.2523
2026-01-26T10:00:00+05:30,169200.0,1.6433,0.3063,2.3818,10.5391,9.6217,11.3157,5.7715,5.0184,6.529
2026-01-26T11:00:00+05:30,172800.0,1.5403,0.2481,2.2583,10.6884,9.8606,11.5096,5.9146,5.2362,6.694
