timestamp,Q_surf_airlock_west_W,Q_surf_airlock_south/op_airlock_entry_door_W,Q_surf_airlock_south_W,Q_surf_airlock_north_W,Q_surf_airlock_floor_W,Q_surf_airlock_roof_W,Q_surf_living_east_W,Q_surf_living_south/op_living_south_window_W,Q_surf_living_south_W,Q_surf_living_north_W,Q_surf_living_floor_W,Q_surf_living_roof_W,Q_surf_partition_airlock_living_W
2026-01-24T12:00:00+05:30,4349.256,351.246,575.845,1304.777,50.078,61.238,4349.409,184.916,4247.263,5219.293,205.414,244.981,-4.323
2026-01-24T13:00:00+05:30,3659.356,255.587,476.284,1097.81,47.829,53.883,3660.438,165.316,3565.225,4392.538,210.275,215.856,-16.068
2026-01-24T14:00:00+05:30,3440.917,210.149,440.588,1032.289,47.369,66.552,3444.253,159.903,3346.573,4133.144,225.176,267.828,-27.462
2026-01-24T15:00:00+05:30,3436.574,185.667,432.984,1031.01,46.956,93.411,3443.781,159.296,3338.45,4132.636,239.687,379.174,-35.363
2026-01-24T16:00:00+05:30,3228.09,170.403,402.91,968.498,46.504,86.442,3239.839,158.935,3136.127,3887.982,252.596,355.258,-40.587
2026-01-24T17:00:00+05:30,3219.408,177.72,401.513,965.931,46.012,80.203,3235.893,168.232,3131.747,3883.333,263.406,333.794,-44.781
2026-01-24T18:00:00+05:30,3257.096,190.584,407.35,977.275,45.483,75.643,3278.156,180.11,3173.719,3934.141,272.008,318.658,-48.976
2026-01-24T19:00:00+05:30,3182.807,193.224,398.525,955.026,44.92,73.272,3208.453,187.439,3106.493,3850.598,279.055,312.821,-53.419
2026-01-24T20:00:00+05:30,3074.067,191.392,385.107,922.443,44.322,73.532,3104.54,192.408,3005.865,3726.012,285.481,318.317,-57.891
2026-01-24T21:00:00+05:30,2983.393,191.513,374.46,895.279,43.687,74.077,3018.701,197.625,2923.346,3623.118,291.331,324.893,-62.129
2026-01-24T22:00:00+05:30,2907.566,194.354,366.343,872.566,43.015,73.579,2947.373,203.585,2855.652,3537.633,296.351,326.537,-66.088
2026-01-24T23:00:00+05:30,2801.918,194.363,354.386,840.905,42.304,73.291,2846.138,207.94,2758.942,3416.261,300.549,329.206,-69.819
2026-01-25T00:00:00+05:30,2648.22,191.193,336.346,794.826,41.554,71.946,2696.569,210.357,2615.393,3236.887,304.168,327.256,-73.302
2026-01-25T01:00:00+05:30,2440.88,184.056,311.405,732.652,40.767,69.916,2493.151,210.312,2419.562,2992.889,307.425,322.427,-76.484
2026-01-25T02:00:00+05:30,2213.765,174.365,283.795,664.546,39.942,68.775,2270.197,208.467,2204.736,2725.451,310.401,321.977,-79.278
2026-01-25T03:00:00+05:30,2028.97,167.241,261.74,609.137,39.084,68.771,2089.833,207.362,2031.608,2509.126,313.129,326.694,-81.645
2026-01-25T04:00:00+05:30,1865.12,160.814,242.345,560.011,38.195,69.264,1930.695,206.291,1879.237,2318.273,315.626,333.958,-83.66
2026-01-25T05:00:00+05:30,1644.294,149.887,215.436,493.79,37.281,68.018,1714.474,202.574,1671.263,2058.913,317.907,333.825,-85.374
2026-01-25T06:00:00+05:30,1366.786,135.241,181.185,410.559,36.346,64.713,1441.136,196.306,1407.775,1730.997,319.994,324.411,-86.752
2026-01-25T07:00:00+05:30,1111.009,122.302,149.867,333.845,35.397,61.776,1189.487,190.395,1165.652,1429.099,322.084,316.659,-87.8
2026-01-25T08:00:00+05:30,823.367,106.258,114.293,247.571,34.44,58.757,906.321,182.748,892.843,1089.378,324.609,309.508,-88.606
2026-01-25T09:00:00+05:30,108.772,57.521,22.358,33.196,33.482,46.134,194.556,157.992,201.698,235.288,328.077,259.64,-88.975
2026-01-25T10:00:00+05:30,-589.203,11.575,-66.895,-176.194,32.532,35.097,-500.359,132.829,-472.195,-598.602,333.128,217.524,-88.521
2026-01-25T11:00:00+05:30,-1306.141,-35.601,-158.375,-391.274,31.604,24.13,-1213.382,105.491,-1163.133,-1454.233,339.929,177.548,-87.262
2026-01-25T12:00:00+05:30,-1532.318,-52.12,-186.774,-459.168,30.715,15.142,-1441.654,92.688,-1382.481,-1728.305,347.969,132.569,-85.484
2026-01-25T13:00:00+05:30,-1351.401,-39.463,-162.403,-404.94,29.882,12.381,-1263.482,95.126,-1206.229,-1514.668,356.529,115.839,-83.937
2026-01-25T14:00:00+05:30,-1133.972,-22.563,-133.1,-339.741,29.122,12.105,-1045.197,101.465,-990.776,-1252.833,364.951,116.632,-83.42
2026-01-25T15:00:00+05:30,-935.482,-6.765,-106.201,-280.212,28.445,12.861,-843.055,108.664,-791.01,-1010.327,372.812,125.704,-84.168
2026-01-25T16:00:00+05:30,-773.728,7.847,-83.365,-231.682,27.85,15.666,-672.178,115.993,-620.552,-805.262,379.417,152.973,-85.884
