timestamp,T_surf_airlock_west_C,T_surf_airlock_south_C,T_surf_airlock_north_C,T_surf_airlock_floor_C,T_surf_airlock_roof_C,T_surf_living_east_C,T_surf_living_south_C,T_surf_living_north_C,T_surf_living_floor_C,T_surf_living_roof_C,T_surf_partition_airlock_living_C
2026-01-24T12:00:00+05:30,9.8684,9.7972,9.8803,9.9535,9.9572,11.252,11.0348,11.2666,14.6254,10.6033,9.969
2026-01-24T13:00:00+05:30,9.409,9.134,9.4582,9.8077,9.7382,12.1929,11.9017,12.2203,17.0782,11.3778,9.789
2026-01-24T14:00:00+05:30,8.7926,8.295,8.8839,9.5996,9.3538,12.7309,12.4103,12.7833,18.4716,11.9822,9.4547
2026-01-24T15:00:00+05:30,8.1772,7.4955,8.3035,9.359,8.8938,13.179,12.8366,13.2505,19.7178,12.4695,9.0436
2026-01-24T16:00:00+05:30,7.6133,6.7897,7.7663,9.101,8.4218,13.5072,13.148,13.5951,20.5772,12.8593,8.6199
2026-01-24T17:00:00+05:30,7.077,6.1387,7.2506,8.831,7.9555,13.6883,13.3089,13.7941,21.1506,13.141,8.201
2026-01-24T18:00:00+05:30,6.5257,5.4819,6.7169,8.5478,7.4823,13.719,13.3176,13.8446,21.5098,13.3126,7.7718
2026-01-24T19:00:00+05:30,5.9332,4.7844,6.1409,8.2478,6.9841,13.7902,13.3612,13.9295,22.1768,13.467,7.3133
2026-01-24T20:00:00+05:30,5.3031,4.0508,5.5261,7.9293,6.4548,13.838,13.3844,13.9908,22.7971,13.609,6.8228
2026-01-24T21:00:00+05:30,4.6487,3.2975,4.8856,7.5924,5.8987,13.8001,13.3265,13.9683,23.216,13.7001,6.3055
2026-01-24T22:00:00+05:30,3.9751,2.5301,4.2247,7.2379,5.32,13.689,13.1969,13.8731,23.5197,13.7315,5.7643
2026-01-24T23:00:00+05:30,3.2826,1.748,3.5437,6.8656,4.7199,13.5434,13.0334,13.7417,23.804,13.7209,5.2002
2026-01-25T00:00:00+05:30,2.5755,0.9566,2.8471,6.476,4.1008,13.3933,12.8663,13.6039,24.1135,13.6893,4.6165
2026-01-25T01:00:00+05:30,1.8628,0.1669,2.1434,6.0703,3.468,13.2381,12.6969,13.4593,24.4028,13.6437,4.02
2026-01-25T02:00:00+05:30,1.1569,-0.6062,1.4447,5.6506,2.8296,13.0837,12.5313,13.3137,24.6681,13.5882,3.4195
2026-01-25T03:00:00+05:30,0.4701,-1.3487,0.7632,5.2198,2.1948,12.9339,12.3719,13.1715,24.91,13.5258,2.825
2026-01-25T04:00:00+05:30,-0.1903,-2.0542,0.1063,4.7807,1.571,12.793,12.2227,13.0368,25.1301,13.4597,2.244
2026-01-25T05:00:00+05:30,-0.8195,-2.718,-0.5209,4.3359,0.9637,12.6687,12.0929,12.9167,25.331,13.3961,1.6822
2026-01-25T06:00:00+05:30,-1.4106,-3.3317,-1.1118,3.8885,0.3789,12.5677,11.9896,12.8175,25.5157,13.3407,1.1454
2026-01-25T07:00:00+05:30,-1.9556,-3.8861,-1.6587,3.442,-0.1764,12.5503,11.9688,12.7986,25.8511,13.3257,0.6413
2026-01-25T08:00:00+05:30,-2.4467,-4.3736,-2.1536,3.0,-0.6947,12.6479,12.0627,12.8912,26.3594,13.3811,0.1791
2026-01-25T09:00:00+05:30,-2.8623,-4.7662,-2.5762,2.5677,-1.1636,12.9536,12.3737,13.1819,27.1607,13.566,-0.2257
2026-01-25T10:00:00+05:30,-3.1588,-5.0082,-2.8854,2.154,-1.5559,13.5309,12.9576,13.7371,28.3489,13.9333,-0.5416
2026-01-25T11:00:00+05:30,-3.2996,-5.0584,-3.045,1.7699,-1.8408,14.2684,13.7107,14.4505,29.5148,14.4497,-0.735
2026-01-25T12:00:00+05:30,-3.2694,-4.9067,-3.0388,1.4256,-1.9971,15.1188,14.5735,15.2792,30.6749,15.0752,-0.7869
2026-01-25T13:00:00+05:30,-3.092,-4.5962,-2.8863,1.1271,-2.026,15.9539,15.4151,16.1001,31.5944,15.7369,-0.7038
2026-01-25T14:00:00+05:30,-2.8267,-4.2071,-2.643,0.8739,-1.9555,16.7786,16.2392,16.9138,32.4536,16.4133,-0.5209
2026-01-25T15:00:00+05:30,-2.5328,-3.8095,-2.3662,0.661,-1.824,17.4998,16.9593,17.6294,33.0607,17.0565,-0.2835
2026-01-25T16:00:00+05:30,-2.253,-3.4484,-2.0986,0.4814,-1.6667,18.0207,17.4829,18.1512,33.2609,17.5973,-0.0337
2026-01-25T17:00:00+05:30,-2.0205,-3.1572,-1.8738,0.3276,-1.5127,18.361,17.8217,18.4973,33.255,18.0162,0.1933
2026-01-25T18:00:00+05:30,-1.8609,-2.9641,-1.7173,0.1909,-1.3876,18.5723,18.027,18.7164,33.1858,18.3311,0.37
2026-01-25T19:00:00+05:30,-1.7776,-2.8708,-1.6328,0.0643,-1.3066,18.8162,18.259,18.9634,33.4155,18.6255,0.4848
2026-01-25T20:00:00+05:30,-1.7577,-2.8576,-1.6086,-0.0567,-1.2709,19.0321,18.463,19.183,33.629,18.9003,0.5432
