timestamp,elapsed_s,T_airlock_C,T_airlock_min_C,T_airlock_max_C,T_living_C,T_living_min_C,T_living_max_C
2026-01-24T12:00:00+05:30,3600.0,9.9092,9.8598,9.929,11.3689,10.7133,11.8468
2026-01-24T13:00:00+05:30,7200.0,9.5668,9.3761,9.6444,12.525,11.7859,13.1649
2026-01-24T14:00:00+05:30,10800.0,9.0749,8.7324,9.2305,13.2789,12.511,13.9886
2026-01-24T15:00:00+05:30,14400.0,8.5545,8.0896,8.7841,13.9056,13.1062,14.6898
2026-01-24T16:00:00+05:30,18000.0,8.0586,7.5019,8.3513,14.3669,13.5377,15.2007
2026-01-24T17:00:00+05:30,21600.0,7.5817,6.9539,7.9285,14.6585,13.7758,15.5292
2026-01-24T18:00:00+05:30,25200.0,7.0944,6.404,7.4912,14.7967,13.851,15.6976
2026-01-24T19:00:00+05:30,28800.0,6.5745,5.8233,7.0208,14.9925,13.9871,15.9544
2026-01-24T20:00:00+05:30,32400.0,6.0222,5.213,6.5188,15.1703,14.1152,16.1896
2026-01-24T21:00:00+05:30,36000.0,5.4462,4.5824,5.9929,15.2587,14.1587,16.3217
2026-01-24T22:00:00+05:30,39600.0,4.8503,3.9356,5.446,15.2702,14.1247,16.3722
2026-01-24T23:00:00+05:30,43200.0,4.2346,3.272,4.8782,15.2458,14.0594,16.3885
2026-01-25T00:00:00+05:30,46800.0,3.6028,2.5951,4.2932,15.2159,13.9944,16.4026
2026-01-25T01:00:00+05:30,50400.0,2.9622,1.9143,3.6977,15.1772,13.9299,16.4061
2026-01-25T02:00:00+05:30,54000.0,2.3231,1.2413,3.1009,15.1328,13.8685,16.401
2026-01-25T03:00:00+05:30,57600.0,1.6958,0.5874,2.5122,15.0833,13.8036,16.3884
2026-01-25T04:00:00+05:30,61200.0,1.087,-0.0415,1.9379,15.0322,13.7395,16.3718
2026-01-25T05:00:00+05:30,64800.0,0.5015,-0.6412,1.3827,14.9879,13.6908,16.3583
2026-01-25T06:00:00+05:30,68400.0,-0.0544,-1.2052,0.8524,14.9563,13.6324,16.3533
2026-01-25T07:00:00+05:30,72000.0,-0.5729,-1.7242,0.3543,15.0005,13.6459,16.4329
2026-01-25T08:00:00+05:30,75600.0,-1.0463,-2.1903,-0.1036,15.1531,13.7638,16.6291
2026-01-25T09:00:00+05:30,79200.0,-1.4562,-2.5814,-0.5042,15.5097,14.0803,17.0386
2026-01-25T10:00:00+05:30,82800.0,-1.7658,-2.8526,-0.8141,16.1245,14.6469,17.7238
2026-01-25T11:00:00+05:30,86400.0,-1.9418,-2.9694,-1.0027,16.8719,15.3616,18.5251
2026-01-25T12:00:00+05:30,90000.0,-1.9691,-2.9224,-1.0524,17.701,16.1693,19.3984
2026-01-25T13:00:00+05:30,93600.0,-1.8646,-2.7372,-0.9801,18.4853,16.9511,20.2033
2026-01-25T14:00:00+05:30,97200.0,-1.6746,-2.4729,-0.8268,19.2523,17.7206,20.9853
2026-01-25T15:00:00+05:30,100800.0,-1.4475,-2.1851,-0.6358,19.918,18.4003,21.6465
2026-01-25T16:00:00+05:30,104400.0,-1.2214,-1.913,-0.4426,20.3884,18.9007,22.0834
2026-01-25T17:00:00+05:30,108000.0,-1.0271,-1.6873,-0.2761,20.6887,19.2335,22.3444
2026-01-25T18:00:00+05:30,111600.0,-0.8893,-1.5342,-0.1597,20.8755,19.4479,22.4981
2026-01-25T19:00:00+05:30,115200.0,-0.8157,-1.4601,-0.0997,21.1173,19.696,22.7385
2026-01-25T20:00:00+05:30,118800.0,-0.7972,-1.4519,-0.088,21.3412,19.9234,22.9612
2026-01-25T21:00:00+05:30,122400.0,-0.8243,-1.4968,-0.1165,21.4747,20.0651,23.0832
2026-01-25T22:00:00+05:30,126000.0,-0.8943,-1.5899,-0.1836,21.5291,20.1274,23.1251
2026-01-25T23:00:00+05:30,129600.0,-1.0086,-1.7331,-0.291,21.5393,20.1403,23.1294
2026-01-26T00:00:00+05:30,133200.0,-1.1706,-1.9293,-0.4416,21.5245,20.1205,23.1184
2026-01-26T01:00:00+05:30,136800.0,-1.3847,-2.1834,-0.6391,21.474,20.0595,23.0761
2026-01-26T02:00:00+05:30,140400.0,-1.652,-2.4973,-0.8849,21.3891,19.9598,23.0025
2026-01-26T03:00:00+05:30,144000.0,-1.9704,-2.8656,-1.1773,21.2642,19.8108,22.893
2026-01-26T04:00:00+05:30,147600.0,-2.3386,-3.286,-1.5156,21.1083,19.617,22.7544
2026-01-26T05:00:00+05:30,151200.0,-2.7474,-3.7452,-1.892,20.9351,19.4234,22.5986
2026-01-26T06:00:00+05:30,154800.0,-3.1767,-4.2177,-2.2892,20.7555,19.2386,22.4353
2026-01-26T07:00:00+05:30,158400.0,-3.6041,-4.678,-2.6871,20.6398,19.0959,22.3478
2026-01-26T08:00:00+05:30,162000.0,-4.0092,-5.104,-3.0666,20.6072,19.0346,22.3469
2026-01-26T09:00:00+05:30,165600.0,-4.3603,-5.4588,-3.399,20.7715,19.1671,22.5512
2026-01-26T10:00:00+05:30,169200.0,-4.6073,-5.6807,-3.639,21.0992,19.4701,22.9149
2026-01-26T11:00:00+05:30,172800.0,-4.7127,-5.733,-3.7522,21.5223,19.8841,23.3603
