timestamp,Q_surf_airlock_west_W,Q_surf_airlock_south/op_airlock_entry_door_W,Q_surf_airlock_south_W,Q_surf_airlock_north_W,Q_surf_airlock_floor_W,Q_surf_airlock_roof_W,Q_surf_living_east_W,Q_surf_living_south/op_living_south_window_W,Q_surf_living_south_W,Q_surf_living_north_W,Q_surf_living_floor_W,Q_surf_living_roof_W,Q_surf_partition_airlock_living_W
2026-01-24T12:00:00+05:30,4377.479,368.327,565.951,1313.244,48.089,58.126,4377.666,273.163,4218.973,5253.202,199.086,232.546,-5.34
2026-01-24T13:00:00+05:30,3657.91,268.836,461.628,1097.377,47.639,53.748,3659.104,226.16,3506.886,4390.94,211.959,215.396,-17.953
2026-01-24T14:00:00+05:30,3432.203,222.391,423.803,1029.678,47.249,66.76,3435.728,208.542,3276.629,4122.922,227.038,268.88,-29.936
2026-01-24T15:00:00+05:30,3426.06,196.98,414.313,1027.861,46.831,93.605,3433.51,201.127,3260.105,4120.327,241.273,380.391,-38.511
2026-01-24T16:00:00+05:30,3224.314,180.474,385.246,967.373,46.372,86.37,3236.334,194.376,3065.147,3883.801,253.833,355.421,-44.517
2026-01-24T17:00:00+05:30,3219.768,187.581,384.536,966.048,45.872,79.77,3236.524,203.798,3065.586,3884.125,264.266,332.437,-49.494
2026-01-24T18:00:00+05:30,3259.047,200.433,390.874,977.87,45.337,75.111,3280.358,217.222,3110.224,3936.825,272.511,316.8,-54.384
2026-01-24T19:00:00+05:30,3183.479,202.557,382.6,955.238,44.767,72.856,3209.343,223.276,3044.308,3851.715,279.402,311.338,-59.424
2026-01-24T20:00:00+05:30,3073.174,200.055,369.84,922.187,44.16,73.191,3103.834,226.064,2945.105,3725.222,285.728,317.069,-64.428
2026-01-24T21:00:00+05:30,2982.095,199.61,360.054,894.903,43.515,73.732,3017.557,229.75,2865.243,3621.81,291.416,323.567,-69.162
2026-01-24T22:00:00+05:30,2906.481,201.985,352.962,872.255,42.832,73.206,2946.408,234.816,2801.09,3536.548,296.244,325.042,-73.592
2026-01-24T23:00:00+05:30,2800.342,201.418,342.047,840.449,42.109,72.942,2844.639,237.629,2707.676,3414.544,300.276,327.75,-77.76
2026-01-25T00:00:00+05:30,2646.165,197.518,325.259,794.227,41.347,71.635,2694.551,237.644,2568.275,3234.552,303.769,325.898,-81.651
2026-01-25T01:00:00+05:30,2438.172,189.467,301.763,731.859,40.547,69.654,2490.437,234.255,2377.303,2989.726,306.915,321.221,-85.218
2026-01-25T02:00:00+05:30,2210.313,178.802,275.637,663.531,39.709,68.552,2266.691,228.765,2167.517,2721.345,309.78,320.881,-88.367
2026-01-25T03:00:00+05:30,2025.382,170.903,254.993,608.082,38.837,68.534,2086.14,225.037,1999.502,2504.799,312.394,325.492,-91.07
2026-01-25T04:00:00+05:30,1861.51,163.811,236.905,558.952,37.936,69.016,1926.926,221.812,1852.02,2313.862,314.776,332.655,-93.402
2026-01-25T05:00:00+05:30,1640.437,152.032,211.425,492.658,37.009,67.81,1710.407,214.856,1649.471,2054.15,316.944,332.627,-95.41
2026-01-25T06:00:00+05:30,1362.674,136.354,178.798,409.351,36.062,64.556,1436.765,204.422,1392.293,1725.874,318.917,323.36,-97.058
2026-01-25T07:00:00+05:30,1106.914,122.502,149.079,332.643,35.102,61.623,1185.077,194.98,1156.57,1423.933,320.953,315.569,-98.366
2026-01-25T08:00:00+05:30,818.975,105.444,115.138,246.281,34.135,58.645,901.555,183.202,890.279,1083.787,323.486,308.521,-99.437
2026-01-25T09:00:00+05:30,101.899,54.014,25.889,31.163,33.168,46.358,187.283,145.542,209.176,226.689,327.042,259.965,-100.044
2026-01-25T10:00:00+05:30,-596.683,5.564,-60.291,-178.41,32.212,35.406,-508.29,108.83,-452.248,-607.99,332.272,218.157,-99.846
2026-01-25T11:00:00+05:30,-1313.779,-44.155,-148.494,-393.537,31.281,24.518,-1221.536,70.305,-1129.453,-1463.889,339.175,178.455,-98.873
2026-01-25T12:00:00+05:30,-1537.359,-61.411,-175.44,-460.653,30.391,15.286,-1447.18,55.212,-1340.42,-1734.816,347.227,132.538,-97.407
2026-01-25T13:00:00+05:30,-1352.323,-47.941,-151.14,-405.192,29.562,12.287,-1264.936,62.943,-1160.91,-1516.303,355.67,114.879,-96.218
2026-01-25T14:00:00+05:30,-1132.6,-29.964,-122.283,-339.307,28.809,11.926,-1044.454,75.281,-944.56,-1251.84,363.938,115.287,-96.086
2026-01-25T15:00:00+05:30,-933.416,-13.05,-95.952,-279.571,28.138,12.648,-841.711,88.069,-745.278,-1008.617,371.583,124.129,-97.211
2026-01-25T16:00:00+05:30,-771.319,2.694,-73.371,-230.938,27.551,15.406,-670.65,101.03,-574.416,-803.329,377.863,151.014,-99.265
2026-01-25T17:00:00+05:30,-477.819,30.962,-31.693,-142.838,27.043,27.357,-356.762,125.359,-260.647,-426.493,382.328,248.108,-101.923
2026-01-25T18:00:00+05:30,-64.812,59.741,21.501,-18.931,26.603,33.976,67.257,149.742,150.33,82.373,385.133,285.856,-104.983
2026-01-25T19:00:00+05:30,190.998,73.885,52.965,57.805,26.218,36.716,330.635,163.482,403.002,398.437,387.146,300.559,-108.166
2026-01-25T20:00:00+05:30,390.031,84.046,76.95,117.508,25.877,39.787,536.889,174.31,600.026,645.961,389.031,319.244,-111.268
2026-01-25T21:00:00+05:30,601.373,95.81,102.299,180.902,25.566,42.5,753.831,185.85,806.43,906.304,390.65,331.949,-114.186
2026-01-25T22:00:00+05:30,822.674,109.11,128.7,247.281,25.276,44.285,978.243,198.032,1018.972,1175.594,391.746,335.161,-116.928
2026-01-25T23:00:00+05:30,1021.772,122.127,152.181,306.993,24.999,44.445,1177.15,209.464,1206.001,1414.255,392.353,326.088,-119.589
2026-01-26T00:00:00+05:30,1237.509,138.188,178.057,371.695,24.726,44.896,1390.495,222.911,1406.753,1670.232,392.7,317.76,-122.323
2026-01-26T01:00:00+05:30,1438.894,153.39,202.39,432.098,24.45,46.874,1590.134,236.305,1594.832,1909.781,392.947,321.199,-125.244
2026-01-26T02:00:00+05:30,1585.14,163.397,219.834,475.969,24.163,50.082,1736.687,246.705,1732.487,2085.66,393.127,335.492,-128.275
2026-01-26T03:00:00+05:30,1732.321,176.348,237.878,520.117,23.858,51.398,1881.613,258.368,1868.705,2259.569,393.236,335.589,-131.347
2026-01-26T04:00:00+05:30,1757.382,180.193,240.519,527.631,23.529,51.435,1903.847,263.377,1887.185,2286.25,393.258,331.216,-134.43
2026-01-26T05:00:00+05:30,1637.931,172.03,224.899,491.798,23.168,50.873,1782.707,259.725,1768.519,2140.902,393.184,327.838,-137.245
2026-01-26T06:00:00+05:30,1463.629,158.588,202.623,439.52,22.774,51.664,1609.699,252.305,1601.393,1933.351,393.005,336.004,-139.429
2026-01-26T07:00:00+05:30,1286.039,145.715,180.406,386.26,22.345,52.418,1434.515,244.745,1433.442,1723.204,392.962,344.852,-140.882
2026-01-26T08:00:00+05:30,982.608,123.049,142.309,295.252,21.883,51.324,1134.331,229.669,1146.125,1363.064,393.381,347.012,-141.682
2026-01-26T09:00:00+05:30,159.951,59.667,37.687,48.468,21.395,40.402,312.509,183.411,357.049,376.92,394.686,302.622,-141.509
2026-01-26T10:00:00+05:30,-643.204,0.069,-63.602,-192.478,20.89,27.864,-493.019,137.388,-414.597,-589.732,397.163,245.251,-139.921
2026-01-26T11:00:00+05:30,-1346.049,-48.056,-150.343,-403.314,20.386,19.649,-1191.809,98.633,-1079.166,-1428.244,400.606,221.974,-137.113
