timestamp,T_surf_airlock_west_C,T_surf_airlock_south_C,T_surf_airlock_north_C,T_surf_airlock_floor_C,T_surf_airlock_roof_C,T_surf_living_east_C,T_surf_living_south_C,T_surf_living_north_C,T_surf_living_floor_C,T_surf_living_roof_C,T_surf_partition_airlock_living_C
2026-01-24T12:00:00+05:30,9.8357,9.7415,9.8478,9.9404,9.9501,11.0731,10.8324,11.0851,14.3729,10.4669,9.9631
2026-01-24T13:00:00+05:30,9.3523,9.0094,9.4017,9.7887,9.7247,11.9643,11.5647,11.9911,16.909,11.1795,9.7786
2026-01-24T14:00:00+05:30,8.7382,8.1263,8.8304,9.5805,9.3404,12.515,12.0127,12.5678,18.3622,11.7908,9.4518
2026-01-24T15:00:00+05:30,8.132,7.2961,8.2606,9.3407,8.8812,12.9722,12.3953,13.0452,19.616,12.2889,9.0543
2026-01-24T16:00:00+05:30,7.5723,6.5631,7.7288,9.0829,8.4074,13.3137,12.6817,13.404,20.4889,12.6932,8.6431
2026-01-24T17:00:00+05:30,7.0324,5.8843,7.2107,8.8125,7.9365,13.5054,12.824,13.6144,21.0706,12.9908,8.2317
2026-01-24T18:00:00+05:30,6.4729,5.1989,6.6698,8.5281,7.4573,13.5417,12.8122,13.6711,21.4337,13.1753,7.8052
2026-01-24T19:00:00+05:30,5.8713,4.4741,6.0857,8.2266,6.9527,13.5917,12.8078,13.7364,22.076,13.3177,7.3473
2026-01-24T20:00:00+05:30,5.2334,3.7165,5.4642,7.9063,6.417,13.6222,12.7862,13.7813,22.6876,13.4439,6.8568
2026-01-24T21:00:00+05:30,4.5718,2.942,4.8177,7.5673,5.8541,13.5768,12.6955,13.7516,23.1075,13.5268,6.3391
2026-01-24T22:00:00+05:30,3.8908,2.1548,4.1504,7.2101,5.2681,13.4594,12.5368,13.6504,23.4085,13.5524,5.7968
2026-01-24T23:00:00+05:30,3.1906,1.3546,3.4628,6.8348,4.6605,13.3033,12.3416,13.5092,23.6845,13.5322,5.231
2026-01-25T00:00:00+05:30,2.4764,0.5472,2.76,6.4419,4.0338,13.1388,12.1401,13.3575,23.9824,13.4863,4.6455
2026-01-25T01:00:00+05:30,1.7572,-0.2557,2.0508,6.0327,3.3934,12.9695,11.9381,13.1992,24.262,13.4251,4.0472
2026-01-25T02:00:00+05:30,1.0456,-1.0387,1.3474,5.6091,2.7472,12.802,11.7435,13.0409,24.5176,13.3539,3.445
2026-01-25T03:00:00+05:30,0.3538,-1.7883,0.6616,5.1742,2.1046,12.6408,11.5597,12.8874,24.7498,13.2766,2.8488
2026-01-25T04:00:00+05:30,-0.3114,-2.4988,0.0007,4.7307,1.473,12.4895,11.3899,12.7424,24.9601,13.1967,2.2663
2026-01-25T05:00:00+05:30,-0.9448,-3.1652,-0.6302,4.2814,0.8583,12.3551,11.2421,12.6121,25.1511,13.1191,1.7031
2026-01-25T06:00:00+05:30,-1.5392,-3.7784,-1.224,3.8294,0.2665,12.244,11.1235,12.5029,25.3254,13.0499,1.1652
2026-01-25T07:00:00+05:30,-2.0871,-4.3295,-1.7734,3.3783,-0.2954,12.2104,11.0837,12.4678,25.6417,13.0154,0.6605
2026-01-25T08:00:00+05:30,-2.5803,-4.8109,-2.2703,2.9316,-0.8199,12.2878,11.1562,12.5401,26.1288,13.0463,0.1983
2026-01-25T09:00:00+05:30,-2.995,-5.19,-2.6919,2.4947,-1.2942,12.5631,11.4374,12.801,26.9016,13.1957,-0.2049
2026-01-25T10:00:00+05:30,-3.2878,-5.4092,-2.9972,2.0763,-1.6913,13.1055,11.9924,13.3212,28.0554,13.5196,-0.517
2026-01-25T11:00:00+05:30,-3.4235,-5.4284,-3.1519,1.6875,-1.981,13.8252,12.7407,14.0159,29.2081,14.0054,-0.7052
2026-01-25T12:00:00+05:30,-3.3882,-5.2421,-3.141,1.3386,-2.142,14.6709,13.6202,14.8381,30.3573,14.615,-0.7514
2026-01-25T13:00:00+05:30,-3.2085,-4.9008,-2.987,1.0357,-2.175,15.5192,14.4997,15.6696,31.28,15.2811,-0.663
2026-01-25T14:00:00+05:30,-2.9443,-4.4888,-2.7457,0.7787,-2.1069,16.3533,15.3552,16.4911,32.135,15.9663,-0.4756
2026-01-25T15:00:00+05:30,-2.6526,-4.0751,-2.4722,0.5625,-1.9754,17.0884,16.1056,17.2194,32.748,16.6253,-0.2336
2026-01-25T16:00:00+05:30,-2.3749,-3.7028,-2.2078,0.3805,-1.8155,17.6318,16.6637,17.7628,32.9636,17.1924,0.0208
2026-01-25T17:00:00+05:30,-2.1446,-3.4055,-1.9862,0.2249,-1.6571,17.9914,17.0307,18.1277,32.9643,17.6379,0.2522
2026-01-25T18:00:00+05:30,-1.9861,-3.2107,-1.8316,0.0872,-1.5264,18.2141,17.2515,18.3581,32.8938,17.9718,0.4333
