timestamp,elapsed_s,T_airlock_C,T_airlock_min_C,T_airlock_max_C,T_living_C,T_living_min_C,T_living_max_C
2026-01-24T12:00:00+05:30,3600.0,9.8893,9.8364,9.9119,11.2262,10.6001,11.6783
2026-01-24T13:00:00+05:30,7200.0,9.5304,9.3354,9.6105,12.3391,11.6158,12.9745
2026-01-24T14:00:00+05:30,10800.0,9.0378,8.6913,9.1947,13.0984,12.3369,13.8156
2026-01-24T15:00:00+05:30,14400.0,8.5217,8.0526,8.7504,13.7265,12.9292,14.5218
2026-01-24T16:00:00+05:30,18000.0,8.0274,7.4664,8.3173,14.1959,13.3654,15.0427
2026-01-24T17:00:00+05:30,21600.0,7.5472,6.9134,7.8902,14.4968,13.6091,15.3808
2026-01-24T18:00:00+05:30,25200.0,7.0531,6.354,7.4469,14.6412,13.6871,15.5557
2026-01-24T19:00:00+05:30,28800.0,6.5255,5.7633,6.9697,14.8179,13.8019,15.7931
2026-01-24T20:00:00+05:30,32400.0,5.9658,5.1435,6.461,14.9784,13.9102,16.0123
2026-01-24T21:00:00+05:30,36000.0,5.3826,4.5044,5.9285,15.0581,13.9423,16.1366
2026-01-24T22:00:00+05:30,39600.0,4.779,3.8492,5.3747,15.0621,13.8985,16.181
2026-01-24T23:00:00+05:30,43200.0,4.1556,3.1775,4.8,15.0264,13.8198,16.1868
2026-01-25T00:00:00+05:30,46800.0,3.5163,2.4937,4.2082,14.9812,13.7374,16.1863
2026-01-25T01:00:00+05:30,50400.0,2.8687,1.8066,3.6062,14.9268,13.6552,16.175
2026-01-25T02:00:00+05:30,54000.0,2.2229,1.1282,3.0035,14.8673,13.5768,16.1556
2026-01-25T03:00:00+05:30,57600.0,1.5894,0.467,2.4094,14.8041,13.4968,16.1298
2026-01-25T04:00:00+05:30,61200.0,0.9746,-0.1695,1.83,14.7406,13.4192,16.1008
2026-01-25T05:00:00+05:30,64800.0,0.3836,-0.7781,1.2701,14.6838,13.3579,16.0747
2026-01-25T06:00:00+05:30,68400.0,-0.1771,-1.3496,0.7359,14.6396,13.305,16.0569
2026-01-25T07:00:00+05:30,72000.0,-0.6999,-1.8754,0.2345,14.6658,13.3006,16.1177
2026-01-25T08:00:00+05:30,75600.0,-1.1769,-2.3476,-0.2259,14.7965,13.3964,16.2906
2026-01-25T09:00:00+05:30,79200.0,-1.5885,-2.7424,-0.6271,15.1199,13.679,16.6686
2026-01-25T10:00:00+05:30,82800.0,-1.8978,-3.0154,-0.9351,15.6962,14.2069,17.3185
2026-01-25T11:00:00+05:30,86400.0,-2.0726,-3.1316,-1.1203,16.4208,14.8987,18.098
2026-01-25T12:00:00+05:30,90000.0,-2.0985,-3.0802,-1.1691,17.2411,15.6988,18.9612
2026-01-25T13:00:00+05:30,93600.0,-1.9937,-2.8915,-1.0969,18.0362,16.4934,19.7759
2026-01-25T14:00:00+05:30,97200.0,-1.8044,-2.6254,-0.9445,18.8136,17.275,20.5678
2026-01-25T15:00:00+05:30,100800.0,-1.578,-2.337,-0.7544,19.4952,17.9715,21.2438
2026-01-25T16:00:00+05:30,104400.0,-1.352,-2.0634,-0.5613,19.9897,18.4972,21.7035
2026-01-25T17:00:00+05:30,108000.0,-1.1574,-1.8361,-0.3947,20.3119,18.8533,21.9841
2026-01-25T18:00:00+05:30,111600.0,-1.0186,-1.6817,-0.2773,20.5128,19.0827,22.1493
2026-01-25T19:00:00+05:30,115200.0,-0.9425,-1.6047,-0.2152,20.747,19.3234,22.3797
2026-01-25T20:00:00+05:30,118800.0,-0.9211,-1.5924,-0.2009,20.9646,19.5441,22.5959
2026-01-25T21:00:00+05:30,122400.0,-0.9458,-1.6348,-0.2274,21.0993,19.6868,22.7187
2026-01-25T22:00:00+05:30,126000.0,-1.0144,-1.7277,-0.2933,21.155,19.7504,22.7609
2026-01-25T23:00:00+05:30,129600.0,-1.1286,-1.8713,-0.4006,21.162,19.76,22.7609
2026-01-26T00:00:00+05:30,133200.0,-1.2919,-2.0695,-0.5523,21.1398,19.7324,22.7421
2026-01-26T01:00:00+05:30,136800.0,-1.5086,-2.3274,-0.752,21.0808,19.6623,22.6929
2026-01-26T02:00:00+05:30,140400.0,-1.7792,-2.6444,-1.0007,20.9862,19.5522,22.6113
2026-01-26T03:00:00+05:30,144000.0,-2.1017,-3.0172,-1.2967,20.8513,19.3837,22.4933
2026-01-26T04:00:00+05:30,147600.0,-2.4748,-3.443,-1.6394,20.6834,19.1729,22.3441
2026-01-26T05:00:00+05:30,151200.0,-2.8882,-3.9077,-2.0199,20.496,18.962,22.1753
2026-01-26T06:00:00+05:30,154800.0,-3.3216,-4.3854,-2.4208,20.302,18.7601,21.9985
2026-01-26T07:00:00+05:30,158400.0,-3.7526,-4.8507,-2.8221,20.1664,18.6148,21.8912
2026-01-26T08:00:00+05:30,162000.0,-4.1609,-5.2815,-3.2047,20.112,18.5312,21.8689
2026-01-26T09:00:00+05:30,165600.0,-4.5132,-5.6374,-3.5385,20.2425,18.629,22.0416
2026-01-26T10:00:00+05:30,169200.0,-4.7594,-5.8586,-3.7781,20.5417,18.9031,22.3793
2026-01-26T11:00:00+05:30,172800.0,-4.8637,-5.9082,-3.891,20.9496,19.3025,22.809
