timestamp,Q_surf_airlock_f0_west_W,Q_surf_airlock_f0_south/op_airlock_entry_door_W,Q_surf_airlock_f0_south_W,Q_surf_airlock_f0_north_W,Q_surf_airlock_f0_floor_W,Q_surf_airlock_f0_roof_W,Q_surf_living_f0_east_W,Q_surf_living_f0_south/op_living_south_window_W,Q_surf_living_f0_south_W,Q_surf_living_f0_north_W,Q_surf_living_f0_floor_W,Q_surf_sleeping_f1_west_W,Q_surf_sleeping_f1_east/op_sleeping_east_window_W,Q_surf_sleeping_f1_east_W,Q_surf_sleeping_f1_south/op_sleeping_south_window_W,Q_surf_sleeping_f1_south_W,Q_surf_sleeping_f1_north_W,Q_surf_sleeping_f1_roof_W,Q_surf_airlock_f0_living_f0_partition_W,Q_surf_living_f0_sleeping_f1_ceiling_W
2026-01-24T12:00:00+05:30,162.462,312.797,46.424,48.739,50.091,60.256,162.481,125.057,183.565,194.98,201.127,162.468,55.925,165.22,98.766,194.449,194.998,229.718,-2.155,61.836
2026-01-24T13:00:00+05:30,164.532,228.778,41.779,49.361,47.868,47.855,164.682,117.929,185.108,197.639,195.611,164.756,52.833,166.772,93.214,195.873,197.745,192.0,-7.086,86.958
2026-01-24T14:00:00+05:30,213.477,190.688,46.451,64.051,47.489,56.101,214.083,118.953,234.235,256.973,199.702,214.319,53.368,212.046,93.724,247.341,257.226,229.155,-11.316,70.097
2026-01-24T15:00:00+05:30,304.531,171.129,57.071,91.388,47.217,77.555,306.315,122.074,325.051,367.77,205.027,306.679,54.922,295.744,95.9,342.404,368.078,319.922,-14.028,50.314
2026-01-24T16:00:00+05:30,284.104,160.038,53.676,85.283,46.959,71.929,286.864,123.47,305.807,344.511,210.282,286.982,54.703,277.694,95.572,321.81,344.444,297.856,-15.752,25.893
2026-01-24T17:00:00+05:30,262.484,168.984,51.799,78.819,46.701,67.914,265.986,131.118,286.557,319.51,214.862,265.664,57.172,259.223,100.025,301.131,318.864,279.793,-17.03,2.03
2026-01-24T18:00:00+05:30,247.76,182.967,51.163,74.422,46.438,64.849,251.853,140.915,274.266,302.588,218.427,251.001,60.578,247.027,106.129,287.676,301.268,265.626,-18.186,-19.223
2026-01-24T19:00:00+05:30,242.763,188.116,51.033,72.947,46.169,62.951,247.557,148.248,271.113,297.482,220.929,246.069,63.178,243.244,110.785,283.62,295.348,257.044,-19.284,-20.134
2026-01-24T20:00:00+05:30,246.703,189.42,51.759,74.159,45.893,63.24,252.375,154.244,276.727,303.325,222.715,250.129,65.408,247.455,114.731,288.583,300.219,257.505,-20.316,-14.647
2026-01-24T21:00:00+05:30,250.848,192.485,52.636,75.434,45.609,63.969,257.373,160.451,282.535,309.38,224.116,254.346,67.76,251.827,118.899,293.74,305.275,259.721,-21.283,-7.719
2026-01-24T22:00:00+05:30,250.949,197.978,53.155,75.491,45.317,63.919,258.163,167.181,284.218,310.369,225.307,254.43,70.285,252.484,123.422,294.695,305.372,258.915,-22.234,-0.982
2026-01-24T23:00:00+05:30,252.365,200.983,53.637,75.945,45.016,63.96,260.317,172.445,287.073,312.995,226.127,255.903,73.153,254.349,128.655,297.004,307.135,259.254,-23.081,-32.564
2026-01-25T00:00:00+05:30,250.493,201.175,53.437,75.411,44.706,63.049,259.083,176.494,286.274,311.549,226.061,254.206,75.139,253.114,132.289,295.711,305.096,256.725,-23.7,-56.999
2026-01-25T01:00:00+05:30,246.606,197.82,52.658,74.273,44.387,61.523,255.801,178.943,283.105,307.639,225.285,250.631,76.114,249.903,134.101,292.077,300.802,252.14,-24.252,-80.184
2026-01-25T02:00:00+05:30,246.015,192.1,52.103,74.13,44.059,60.829,255.998,180.132,283.222,307.916,224.155,250.511,76.52,249.706,134.847,291.82,300.657,250.914,-24.802,-100.799
2026-01-25T03:00:00+05:30,248.886,188.477,52.145,75.03,43.722,61.304,259.804,181.598,287.025,312.532,222.886,253.96,77.077,252.835,135.823,295.376,304.797,254.115,-25.35,-119.009
2026-01-25T04:00:00+05:30,253.612,185.26,52.441,76.492,43.376,62.29,265.603,182.87,292.816,319.545,221.576,259.352,77.579,257.736,136.677,300.952,311.269,259.318,-25.904,-135.01
2026-01-25T05:00:00+05:30,253.049,177.828,51.673,76.363,43.022,61.678,266.041,182.014,292.882,320.116,220.267,259.435,77.095,257.49,135.816,300.558,311.37,258.115,-26.439,-148.637
2026-01-25T06:00:00+05:30,245.452,166.86,49.659,74.117,42.661,59.231,259.244,178.953,285.332,311.991,218.976,252.392,75.568,250.423,133.163,292.285,302.919,249.323,-26.898,-159.992
2026-01-25T07:00:00+05:30,238.617,157.18,47.808,72.101,42.294,57.242,253.27,175.63,278.583,304.854,217.709,246.146,73.955,244.068,130.347,284.82,295.423,242.187,-27.26,-169.6
2026-01-25T08:00:00+05:30,232.301,144.513,45.742,70.246,41.921,55.189,248.034,171.306,272.347,298.614,216.757,240.507,71.129,238.024,125.269,277.617,288.657,234.853,-27.671,-134.487
2026-01-25T09:00:00+05:30,195.812,102.311,37.315,59.305,41.544,43.882,211.768,154.139,232.87,255.082,216.887,204.15,62.9,202.155,110.929,235.798,245.021,190.373,-28.155,-96.483
2026-01-25T10:00:00+05:30,162.846,62.159,29.361,49.431,41.165,34.539,179.38,135.38,196.994,216.224,218.324,171.465,54.497,169.467,96.304,197.55,205.795,153.518,-28.457,-55.039
2026-01-25T11:00:00+05:30,130.511,20.296,21.201,39.756,40.786,25.516,148.068,114.028,161.843,178.68,221.038,139.711,44.928,137.343,79.543,159.845,167.686,119.016,-28.592,-25.585
2026-01-25T12:00:00+05:30,92.776,3.465,14.624,28.362,40.41,18.071,108.568,99.65,119.808,131.152,224.788,101.154,38.031,100.089,67.655,116.711,121.413,87.377,-28.735,-5.569
2026-01-25T13:00:00+05:30,76.381,11.929,12.729,23.393,40.041,16.208,91.104,95.562,101.599,110.114,229.21,84.304,35.707,84.08,63.714,98.293,101.193,78.427,-29.195,1.799
2026-01-25T14:00:00+05:30,73.509,24.771,12.902,22.532,39.683,16.637,88.82,95.571,99.427,107.383,233.869,81.843,35.386,81.834,63.166,95.771,98.244,80.399,-30.09,6.993
2026-01-25T15:00:00+05:30,76.563,37.153,13.913,23.475,39.337,18.027,93.395,97.255,104.505,112.931,238.425,85.79,35.842,85.709,63.901,100.313,102.987,86.954,-31.29,6.126
2026-01-25T16:00:00+05:30,90.665,49.262,16.386,27.793,39.006,21.932,111.306,100.46,123.335,134.597,242.508,101.997,37.051,101.025,65.79,117.978,122.446,105.176,-32.546,-2.595
2026-01-25T17:00:00+05:30,146.871,72.686,24.955,44.947,38.688,37.286,179.101,110.384,192.756,216.499,245.726,164.462,41.64,159.051,73.288,184.507,197.434,174.12,-33.706,-10.216
2026-01-25T18:00:00+05:30,168.716,95.278,29.74,51.537,38.382,43.995,203.798,119.579,219.238,246.248,247.873,187.6,45.395,181.454,79.725,210.508,225.208,200.473,-34.769,-13.11
2026-01-25T19:00:00+05:30,176.846,105.707,31.887,53.966,38.087,45.805,213.042,125.174,229.715,257.365,249.028,195.926,47.596,189.911,83.548,220.445,235.201,206.299,-35.72,0.488
2026-01-25T20:00:00+05:30,187.177,113.202,34.045,57.072,37.801,48.184,225.128,130.158,242.764,271.923,249.565,206.691,49.633,200.398,87.08,232.624,248.119,214.736,-36.548,17.933
2026-01-25T21:00:00+05:30,194.34,122.336,35.982,59.204,37.52,50.091,232.992,135.811,251.737,281.365,249.796,213.702,51.944,207.593,91.137,241.096,256.528,220.776,-37.29,34.91
2026-01-25T22:00:00+05:30,196.548,133.043,37.455,59.821,37.244,50.842,234.54,142.198,254.569,283.163,249.884,215.088,54.516,209.81,95.71,243.949,258.184,221.865,-38.017,50.165
2026-01-25T23:00:00+05:30,192.061,143.876,38.08,58.403,36.969,49.769,227.992,148.245,249.291,275.186,249.66,209.19,57.797,205.467,101.732,239.361,251.1,215.781,-38.662,25.398
2026-01-26T00:00:00+05:30,188.611,157.745,39.035,57.3,36.696,49.088,222.329,156.016,245.009,268.266,248.603,204.475,61.481,202.314,108.427,236.177,245.435,212.175,-39.164,5.757
2026-01-26T01:00:00+05:30,192.432,171.343,40.882,58.412,36.422,50.111,225.272,164.776,249.373,271.735,246.885,207.833,65.365,206.549,115.377,241.418,249.461,216.534,-39.743,-14.522
2026-01-26T02:00:00+05:30,202.708,180.868,43.263,61.493,36.146,52.491,236.114,172.891,261.514,284.745,244.859,218.409,68.97,217.26,121.739,253.994,262.153,227.162,-40.459,-33.607
2026-01-26T03:00:00+05:30,204.731,193.278,44.756,62.068,35.867,53.027,237.074,181.813,263.769,285.829,242.735,220.003,72.724,219.786,128.475,257.254,264.065,229.137,-41.283,-51.76
2026-01-26T04:00:00+05:30,203.697,198.371,45.236,61.732,35.582,52.287,235.135,188.236,262.64,283.443,240.605,218.627,75.333,219.209,133.194,256.836,262.413,226.256,-42.161,-68.218
2026-01-26T05:00:00+05:30,202.491,193.49,44.894,61.363,35.292,51.114,233.873,190.787,261.559,281.904,238.511,217.488,76.295,218.338,134.949,255.892,261.045,222.19,-42.965,-82.459
