timestamp,elapsed_start_s,T_out_C,GHI_W_m2,wind_m_s,T_ground_C,h_out_wind_W_m2K,POA_op_living_south_window_W_m2,POA_op_sleeping_east_window_W_m2,POA_op_sleeping_south_window_W_m2,Qsolar_airlock_f0_W,Qint_airlock_f0_W,Qfloor_airlock_f0_W,Qsolar_living_f0_W,Qint_living_f0_W,Qfloor_living_f0_W,Qsolar_sleeping_f1_W,Qint_sleeping_f1_W,Qfloor_sleeping_f1_W
2026-01-24T11:00:00+05:30,0,-15.64,573.72,3.39,-11.5799,18.582,713.118,219.963,713.118,0,0,0,1061.12,850,1911.12,932.217,0,932.217
2026-01-24T12:00:00+05:30,3600,-15.28,662.62,2.88,-11.5817,16.644,874.507,120.928,874.507,0,0,0,1301.27,850,2151.27,1050.93,0,1050.93
2026-01-24T13:00:00+05:30,7200,-14.92,527.72,1.76,-11.5835,12.388,688.166,116.762,688.166,0,0,0,1023.99,850,1873.99,840.386,0,840.386
2026-01-24T14:00:00+05:30,10800,-14.9,420.42,0.74,-11.5853,8.512,596.337,96.7365,596.337,0,0,0,887.35,850,1737.35,725.489,0,725.489
2026-01-24T15:00:00+05:30,14400,-15.26,257.9,0.94,-11.5871,9.272,411.652,72.8928,411.652,0,0,0,612.538,850,1462.54,504.597,0,504.597
2026-01-24T16:00:00+05:30,18000,-17.06,89.25,1.35,-11.5889,10.83,215.389,32.0169,215.389,0,0,0,320.498,850,1170.5,260.224,0,260.224
2026-01-24T17:00:00+05:30,21600,-19.48,0,1.8,-11.5907,12.54,0,0,0,0,0,0,0,850,850,0,0,0
2026-01-24T18:00:00+05:30,25200,-21.36,0,2.07,-11.5925,13.566,0,0,0,0,0,0,0,850,850,0,0,0
2026-01-24T19:00:00+05:30,28800,-22.84,0,2.16,-11.5943,13.908,0,0,0,0,0,0,0,850,850,0,0,0
2026-01-24T20:00:00+05:30,32400,-24.34,0,2.25,-11.5961,14.25,0,0,0,0,0,0,0,850,850,0,0,0
2026-01-24T21:00:00+05:30,36000,-26,0,2.42,-11.5979,14.896,0,0,0,0,0,0,0,850,850,0,0,0
2026-01-24T22:00:00+05:30,39600,-27.46,0,2.54,-11.5996,15.352,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-24T23:00:00+05:30,43200,-28.64,0,2.68,-11.6014,15.884,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T00:00:00+05:30,46800,-29.43,0,2.81,-11.6032,16.378,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T01:00:00+05:30,50400,-29.86,0,2.84,-11.6049,16.492,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T02:00:00+05:30,54000,-30.28,0,2.81,-11.6067,16.378,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T03:00:00+05:30,57600,-30.63,0,2.74,-11.6085,16.112,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T04:00:00+05:30,61200,-30.56,0,2.71,-11.6102,15.998,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T05:00:00+05:30,64800,-30.05,0,2.75,-11.612,16.15,0,0,0,0,0,0,0,250,250,0,600,600
2026-01-25T06:00:00+05:30,68400,-29.44,0,2.77,-11.6137,16.226,0,0,0,0,0,0,0,250,250,0,600,600
