timestamp,T_airlock_f0_C,Qenv_loss_airlock_f0_W,Qinterzone_in_airlock_f0_W,T_living_f0_C,Qenv_loss_living_f0_W,Qinterzone_in_living_f0_W,T_sleeping_f1_C,Qenv_loss_sleeping_f1_W,Qinterzone_in_sleeping_f1_W
2026-01-24T12:00:00+05:30,9.6681,322.612,0.0,10.4498,616.643,0.0,10.1065,672.8,0.0
2026-01-24T13:00:00+05:30,9.3507,314.41,6.003,10.9749,621.811,-18.353,10.2695,666.147,12.351
2026-01-24T14:00:00+05:30,9.0483,306.397,12.471,11.3944,628.884,-37.847,10.3535,660.978,25.376
2026-01-24T15:00:00+05:30,8.7558,302.281,18.015,11.7567,639.173,-55.457,10.3947,662.659,37.443
2026-01-24T16:00:00+05:30,8.4683,302.436,23.043,12.0125,654.595,-72.039,10.3456,673.186,48.996
2026-01-24T17:00:00+05:30,8.1687,318.35,27.214,12.1484,692.256,-87.175,10.1819,719.13,59.961
2026-01-24T18:00:00+05:30,7.8495,340.866,30.557,12.1522,737.62,-101.297,9.8914,778.335,70.74
2026-01-24T19:00:00+05:30,7.5159,357.242,33.038,12.1402,770.29,-114.365,9.5882,820.045,81.327
2026-01-24T20:00:00+05:30,7.1727,369.074,35.507,12.1148,795.631,-127.309,9.2766,850.924,91.801
2026-01-24T21:00:00+05:30,6.8197,380.999,37.948,12.0762,820.981,-140.047,8.9564,882.108,102.098
2026-01-24T22:00:00+05:30,6.4552,394.543,40.362,12.0236,848.767,-152.59,8.626,917.265,112.228
2026-01-24T23:00:00+05:30,6.0817,405.758,42.757,11.7499,872.733,-164.979,8.5338,946.905,122.223
2026-01-25T00:00:00+05:30,5.7007,413.805,43.523,11.4735,886.253,-159.217,8.4272,975.449,115.694
2026-01-25T01:00:00+05:30,5.3168,417.505,44.326,11.1966,892.951,-153.912,8.3107,993.381,109.586
2026-01-25T02:00:00+05:30,4.9339,417.242,45.148,10.9213,893.401,-148.964,8.1884,1001.608,103.815
2026-01-25T03:00:00+05:30,4.5522,416.885,45.974,10.6474,893.719,-144.282,8.0607,1009.421,98.308
2026-01-25T04:00:00+05:30,4.1726,415.781,46.802,10.3755,892.862,-139.853,7.9285,1015.254,93.052
2026-01-25T05:00:00+05:30,3.7996,410.124,47.628,10.1077,884.778,-135.653,7.7963,1009.947,88.025
2026-01-25T06:00:00+05:30,3.4381,399.758,48.437,9.8469,869.183,-131.585,7.6691,993.097,83.148
2026-01-25T07:00:00+05:30,3.0891,388.449,49.209,9.5933,852.027,-127.549,7.5479,973.752,78.34
2026-01-25T08:00:00+05:30,2.7566,373.051,49.943,9.5977,828.305,-123.525,7.2544,944.33,73.582
2026-01-25T09:00:00+05:30,2.4712,329.855,52.529,9.714,766.603,-136.824,7.1404,842.951,84.295
2026-01-25T10:00:00+05:30,2.2398,280.509,55.613,9.987,696.998,-148.192,7.2346,730.015,92.579
2026-01-25T11:00:00+05:30,2.0702,224.339,59.486,10.3577,619.41,-158.495,7.4302,604.435,99.009
2026-01-25T12:00:00+05:30,1.9441,186.186,63.635,10.7909,571.66,-168.945,7.6656,522.974,105.31
2026-01-25T13:00:00+05:30,1.8368,172.247,67.929,11.2076,563.071,-180.356,7.8755,499.498,112.427
2026-01-25T14:00:00+05:30,1.7379,168.032,71.953,11.6047,569.13,-191.817,8.0738,498.185,119.864
2026-01-25T15:00:00+05:30,1.6429,168.068,75.762,11.9365,581.277,-202.778,8.2164,506.537,127.017
2026-01-25T16:00:00+05:30,1.5483,170.988,79.038,12.1458,596.271,-212.862,8.2502,520.249,133.823
2026-01-25T17:00:00+05:30,1.4408,185.902,81.372,12.2373,627.213,-221.507,8.1672,559.972,140.135
2026-01-25T18:00:00+05:30,1.3147,205.445,82.9,12.2226,662.794,-229.312,7.9777,608.175,146.411
2026-01-25T19:00:00+05:30,1.1766,217.991,83.756,12.1978,684.951,-236.459,7.7787,637.314,152.703
2026-01-25T20:00:00+05:30,1.0287,228.311,84.626,12.1641,703.559,-243.592,7.5726,661.221,158.966
2026-01-25T21:00:00+05:30,0.8694,240.359,85.502,12.1204,724.886,-250.67,7.3574,689.399,165.168
2026-01-25T22:00:00+05:30,0.6961,254.765,86.39,12.0656,749.945,-257.73,7.1308,723.376,171.339
2026-01-25T23:00:00+05:30,0.5075,270.627,87.3,11.7904,777.319,-264.819,7.1376,760.988,177.519
2026-01-26T00:00:00+05:30,0.2979,290.323,86.635,11.5091,805.52,-254.008,7.1183,814.434,167.374
2026-01-26T01:00:00+05:30,0.0663,311.165,86.084,11.2207,835.819,-244.033,7.072,870.606,157.949
2026-01-26T02:00:00+05:30,-0.1843,329.217,85.648,10.9264,861.956,-234.888,7.0019,920.037,149.239
2026-01-26T03:00:00+05:30,-0.4568,350.184,85.313,10.6243,892.966,-226.489,6.9054,976.45,141.176
2026-01-26T04:00:00+05:30,-0.7454,365.528,85.086,10.3171,915.29,-218.867,6.7882,1019.312,133.781
2026-01-26T05:00:00+05:30,-1.0396,370.856,84.943,10.01,921.9,-211.888,6.6605,1038.016,126.945
2026-01-26T06:00:00+05:30,-1.332,369.026,84.843,9.7068,917.255,-205.334,6.5296,1039.389,120.491
2026-01-26T07:00:00+05:30,-1.6198,364.495,84.76,9.4088,908.38,-199.053,6.3983,1034.117,114.292
2026-01-26T08:00:00+05:30,-1.893,350.213,84.683,9.3559,884.051,-192.979,6.07,1005.219,108.297
2026-01-26T09:00:00+05:30,-2.1145,301.569,86.374,9.4067,811.027,-204.576,5.9117,887.97,118.202
2026-01-26T10:00:00+05:30,-2.2754,244.873,88.465,9.5565,726.776,-214.193,5.8943,754.188,125.728
2026-01-26T11:00:00+05:30,-2.3768,189.393,90.85,9.7675,645.72,-222.589,5.9564,625.155,131.739
