timestamp,T_surf_airlock_f0_west_C,T_surf_airlock_f0_south_C,T_surf_airlock_f0_north_C,T_surf_airlock_f0_floor_C,T_surf_airlock_f0_roof_C,T_surf_living_f0_east_C,T_surf_living_f0_south_C,T_surf_living_f0_north_C,T_surf_living_f0_floor_C,T_surf_sleeping_f1_west_C,T_surf_sleeping_f1_east_C,T_surf_sleeping_f1_south_C,T_surf_sleeping_f1_north_C,T_surf_sleeping_f1_roof_C,T_surf_airlock_f0_living_f0_partition_C,T_surf_living_f0_sleeping_f1_ceiling_C
2026-01-24T12:00:00+05:30,9.9754,9.8952,9.9769,9.987,9.8821,10.0477,10.0144,10.0566,12.9964,10.1079,10.0747,10.0687,10.1064,10.2411,9.9789,10.1232
2026-01-24T13:00:00+05:30,9.8864,9.5463,9.895,9.9281,9.5973,10.0851,10.0195,10.1038,14.5986,10.1643,10.0974,10.0841,10.1663,10.3386,9.8813,10.4113
2026-01-24T14:00:00+05:30,9.7571,9.0952,9.778,9.8282,9.2859,10.1,10.0079,10.1285,15.1587,10.1331,10.0354,10.0146,10.1387,10.2174,9.7206,10.7376
2026-01-24T15:00:00+05:30,9.6126,8.6479,9.648,9.7061,9.0055,10.1101,9.9964,10.1481,15.557,10.0681,9.9418,9.9141,10.075,10.0386,9.5342,11.0225
2026-01-24T16:00:00+05:30,9.4628,8.2329,9.5138,9.574,8.7586,10.1135,9.9808,10.1605,15.6037,9.9688,9.8162,9.7819,9.9765,9.7897,9.3449,11.2328
2026-01-24T17:00:00+05:30,9.3084,7.8422,9.3753,9.4371,8.5271,10.1036,9.9506,10.1592,15.4308,9.8322,9.6525,9.6111,9.8401,9.4541,9.1566,11.3484
2026-01-24T18:00:00+05:30,9.1453,7.4533,9.2285,9.2965,8.2897,10.0725,9.8958,10.136,15.0512,9.6537,9.4447,9.3954,9.6614,9.0256,8.9623,11.3597
2026-01-24T19:00:00+05:30,8.9701,7.0517,9.0704,9.1512,8.0377,10.0315,9.8294,10.1023,15.0214,9.4777,9.2379,9.1809,9.484,8.6571,8.7556,11.3012
2026-01-24T20:00:00+05:30,8.7831,6.6381,8.9011,9.001,7.7747,9.9831,9.7553,10.0608,15.0656,9.3016,9.0318,8.9674,9.3069,8.3419,8.5377,11.2151
2026-01-24T21:00:00+05:30,8.5859,6.2182,8.7222,8.846,7.5057,9.9281,9.6744,10.0125,15.1322,9.1203,8.8213,8.7499,9.1251,8.0534,8.3117,11.1205
2026-01-24T22:00:00+05:30,8.3793,5.7937,8.5343,8.6866,7.2313,9.8666,9.5868,9.9577,15.2035,8.932,8.604,8.5256,8.9362,7.7762,8.0796,11.0228
2026-01-24T23:00:00+05:30,8.1634,5.364,8.3375,8.5226,6.9508,9.7719,9.4639,9.8687,14.3225,8.8393,8.483,8.3999,8.8414,7.8213,7.8387,10.935
2026-01-25T00:00:00+05:30,7.9388,4.9309,8.1323,8.3536,6.6648,9.673,9.3368,9.7747,13.9909,8.73,8.3493,8.2614,8.7339,7.8118,7.5869,10.9233
2026-01-25T01:00:00+05:30,7.7069,4.4992,7.92,8.1802,6.3779,9.5753,9.2125,9.6819,13.7734,8.6005,8.1954,8.1025,8.6054,7.7235,7.3309,10.9446
2026-01-25T02:00:00+05:30,7.4703,4.0756,7.7028,8.0031,6.0955,9.4782,9.0908,9.5896,13.5993,8.4621,8.0337,7.9361,8.4675,7.6021,7.0759,10.967
2026-01-25T03:00:00+05:30,7.231,3.6655,7.4826,7.8233,5.8209,9.3811,8.971,9.4972,13.4447,8.32,7.8696,7.7678,8.3258,7.4669,6.825,10.9795
2026-01-25T04:00:00+05:30,6.9903,3.2703,7.2606,7.6413,5.5542,9.2839,8.8528,9.4046,13.2997,8.1763,7.7054,7.5997,8.1824,7.3255,6.5789,10.9799
2026-01-25T05:00:00+05:30,6.7495,2.8918,7.0377,7.4577,5.2962,9.187,8.7371,9.312,13.1606,8.0327,7.5432,7.434,8.039,7.1853,6.3379,10.969
2026-01-25T06:00:00+05:30,6.5103,2.5344,6.8158,7.2731,5.0505,9.0918,8.6257,9.2208,13.0257,7.8913,7.3855,7.2735,7.8977,7.0535,6.1035,10.9485
2026-01-25T07:00:00+05:30,6.2749,2.203,6.5967,7.0883,4.8198,8.9992,8.5197,9.132,12.8943,7.7536,7.2341,7.1199,7.7602,6.9331,5.8778,10.9196
2026-01-25T08:00:00+05:30,6.0451,1.9008,6.382,6.9044,4.6065,8.9434,8.4557,9.0804,13.8979,7.545,7.0143,6.897,7.5529,6.592,5.6663,10.8897
2026-01-25T09:00:00+05:30,5.8258,1.6415,6.1763,6.7232,4.4253,8.9113,8.4238,9.0529,14.6844,7.4115,6.8733,6.756,7.4168,6.5065,5.4786,10.8406
2026-01-25T10:00:00+05:30,5.6251,1.4518,5.987,6.5477,4.296,8.914,8.436,9.0601,15.7104,7.3697,6.834,6.72,7.374,6.7136,5.3245,10.8623
2026-01-25T11:00:00+05:30,5.4502,1.3497,5.8206,6.3813,4.2279,8.9532,8.4941,9.1039,16.6185,7.3635,6.8399,6.7311,7.3687,6.9923,5.2136,10.9814
2026-01-25T12:00:00+05:30,5.3046,1.3361,5.6801,6.2264,4.2151,9.0257,8.5914,9.1815,17.4421,7.3718,6.8649,6.7623,7.3781,7.247,5.1489,11.1608
