timestamp,elapsed_s,T_airlock_f0_C,T_airlock_f0_min_C,T_airlock_f0_max_C,T_living_f0_C,T_living_f0_min_C,T_living_f0_max_C,T_sleeping_f1_C,T_sleeping_f1_min_C,T_sleeping_f1_max_C
2026-01-24T12:00:00+05:30,3600.0,9.9491,9.9127,9.9693,10.4453,9.8488,10.7801,10.7547,10.2222,11.2477
2026-01-24T13:00:00+05:30,7200.0,9.7833,9.6261,9.8617,10.8642,10.212,11.3497,11.0659,10.4837,11.7087
2026-01-24T14:00:00+05:30,10800.0,9.5641,9.2609,9.7093,11.1027,10.4422,11.634,10.9039,10.3314,11.4927
2026-01-24T15:00:00+05:30,14400.0,9.3402,8.9072,9.5442,11.2845,10.6135,11.847,10.7116,10.1416,11.2592
2026-01-24T16:00:00+05:30,18000.0,9.127,8.5885,9.3789,11.3676,10.6846,11.9299,10.3787,9.8137,10.836
2026-01-24T17:00:00+05:30,21600.0,8.9211,8.2961,9.2135,11.3589,10.6375,11.9055,9.9408,9.3566,10.3003
2026-01-24T18:00:00+05:30,25200.0,8.7108,8.0082,9.0428,11.2596,10.4883,11.7769,9.4129,8.791,9.7163
2026-01-24T19:00:00+05:30,28800.0,8.4889,7.711,8.8611,11.1963,10.3795,11.7197,9.1163,8.4549,9.4489
2026-01-24T20:00:00+05:30,32400.0,8.2567,7.4054,8.6693,11.1388,10.2839,11.6769,8.8749,8.1814,9.236
2026-01-24T21:00:00+05:30,36000.0,8.0174,7.0959,8.4697,11.0803,10.187,11.6363,8.6456,7.9203,9.0327
2026-01-24T22:00:00+05:30,39600.0,7.7721,6.7836,8.2632,11.0177,10.0826,11.5932,8.416,7.6561,8.8281
2026-01-24T23:00:00+05:30,43200.0,7.5195,6.4665,8.0489,10.7654,9.8019,11.2716,8.8591,8.034,9.4375
2026-01-25T00:00:00+05:30,46800.0,7.2592,6.1448,7.8263,10.6264,9.6359,11.1042,8.8709,8.0141,9.4965
2026-01-25T01:00:00+05:30,50400.0,6.9955,5.8238,7.5988,10.527,9.5173,10.9863,8.7782,7.9011,9.4245
2026-01-25T02:00:00+05:30,54000.0,6.7329,5.5097,7.3695,10.442,9.4212,10.8873,8.6586,7.7691,9.3198
2026-01-25T03:00:00+05:30,57600.0,6.4744,5.2065,7.1406,10.3596,9.3284,10.794,8.5286,7.6279,9.2032
2026-01-25T04:00:00+05:30,61200.0,6.2206,4.9147,6.913,10.2767,9.2367,10.7019,8.3944,7.4842,9.0812
2026-01-25T05:00:00+05:30,64800.0,5.9722,4.6348,6.6874,10.1949,9.1556,10.6111,8.2623,7.3507,8.959
2026-01-25T06:00:00+05:30,68400.0,5.7315,4.3699,6.4654,10.1152,9.0872,10.5223,8.1367,7.2324,8.8405
2026-01-25T07:00:00+05:30,72000.0,5.5008,4.1236,6.249,10.0363,9.0225,10.4346,8.0174,7.1234,8.7266
2026-01-25T08:00:00+05:30,75600.0,5.2836,3.8993,6.0409,10.1892,9.1877,10.6864,7.4094,6.5695,7.9643
2026-01-25T09:00:00+05:30,79200.0,5.0892,3.7101,5.8479,10.3381,9.4075,10.9128,7.5244,6.7273,8.1575
2026-01-25T10:00:00+05:30,82800.0,4.931,3.5774,5.6791,10.5756,9.7242,11.2467,7.956,7.2026,8.751
2026-01-25T11:00:00+05:30,86400.0,4.8182,3.5151,5.5416,10.8482,10.0847,11.5975,8.249,7.5256,9.1132
2026-01-25T12:00:00+05:30,90000.0,4.7515,3.5215,5.4373,11.1318,10.3447,11.9496,8.4159,7.6733,9.2913
2026-01-25T13:00:00+05:30,93600.0,4.7175,3.5718,5.3596,11.359,10.5243,12.2175,8.4303,7.7165,9.2645
2026-01-25T14:00:00+05:30,97200.0,4.6963,3.632,5.2984,11.5597,10.688,12.4509,8.4478,7.7496,9.2606
2026-01-25T15:00:00+05:30,100800.0,4.6739,3.679,5.2406,11.6985,10.8118,12.5984,8.3418,7.6939,9.0908
2026-01-25T16:00:00+05:30,104400.0,4.6426,3.7033,5.1796,11.7358,10.8661,12.6094,8.0406,7.4962,8.6632
2026-01-25T17:00:00+05:30,108000.0,4.5963,3.6982,5.1106,11.6955,10.8585,12.5322,7.6477,7.1188,8.1451
2026-01-25T18:00:00+05:30,111600.0,4.529,3.655,5.0287,11.5941,10.7979,12.3908,7.2227,6.6805,7.6247
2026-01-25T19:00:00+05:30,115200.0,4.4387,3.5728,4.9321,11.5286,10.749,12.3182,7.0029,6.4398,7.4051
2026-01-25T20:00:00+05:30,118800.0,4.3303,3.4604,4.8234,11.4704,10.6714,12.262,6.8316,6.2497,7.2444
2026-01-25T21:00:00+05:30,122400.0,4.2081,3.3261,4.7051,11.4125,10.5863,12.2095,6.6701,6.0659,7.0957
2026-01-25T22:00:00+05:30,126000.0,4.0737,3.173,4.5782,11.3521,10.4932,12.156,6.5067,5.8757,6.9459
2026-01-25T23:00:00+05:30,129600.0,3.9254,2.9998,4.4409,11.1006,10.2228,11.8184,7.0112,6.3013,7.6661
2026-01-26T00:00:00+05:30,133200.0,3.7606,2.804,4.291,10.9577,10.0425,11.6386,7.0737,6.3201,7.7757
2026-01-26T01:00:00+05:30,136800.0,3.5795,2.5849,4.1288,10.8483,9.8905,11.5042,7.0173,6.2209,7.7387
2026-01-26T02:00:00+05:30,140400.0,3.3833,2.344,3.9551,10.7487,9.7517,11.3848,6.9204,6.0853,7.6571
2026-01-26T03:00:00+05:30,144000.0,3.1729,2.0837,3.7703,10.6453,9.5988,11.2656,6.7973,5.9183,7.55
2026-01-26T04:00:00+05:30,147600.0,2.9491,1.8059,3.5747,10.5394,9.4529,11.1454,6.6606,5.7459,7.4286
2026-01-26T05:00:00+05:30,151200.0,2.7161,1.5182,3.3706,10.4344,9.328,11.0267,6.5218,5.5878,7.3025
2026-01-26T06:00:00+05:30,154800.0,2.4811,1.2329,3.1628,10.3305,9.2197,10.9091,6.3868,5.4466,7.1773
2026-01-26T07:00:00+05:30,158400.0,2.2506,0.9605,2.9557,10.2263,9.1178,10.7917,6.2572,5.3164,7.055
2026-01-26T08:00:00+05:30,162000.0,2.0311,0.7096,2.7546,10.3421,9.2458,10.997,5.5773,4.6937,6.1887
2026-01-26T09:00:00+05:30,165600.0,1.8364,0.5002,2.5695,10.4487,9.4326,11.1675,5.628,4.8009,6.3038
2026-01-26T10:00:00+05:30,169200.0,1.6837,0.3605,2.4121,10.5862,9.667,11.3638,5.8352,5.0844,6.5857
2026-01-26T11:00:00+05:30,172800.0,1.5824,0.3035,2.29,10.7359,9.9154,11.5572,5.9805,5.3054,6.7531
