timestamp,Q_surf_airlock_f0_west_W,Q_surf_airlock_f0_south/op_airlock_entry_door_W,Q_surf_airlock_f0_south_W,Q_surf_airlock_f0_north_W,Q_surf_airlock_f0_floor_W,Q_surf_airlock_f0_roof_W,Q_surf_living_f0_east_W,Q_surf_living_f0_south/op_living_south_window_W,Q_surf_living_f0_south_W,Q_surf_living_f0_north_W,Q_surf_living_f0_floor_W,Q_surf_sleeping_f1_west_W,Q_surf_sleeping_f1_east/op_sleeping_east_window_W,Q_surf_sleeping_f1_east_W,Q_surf_sleeping_f1_south/op_sleeping_south_window_W,Q_surf_sleeping_f1_south_W,Q_surf_sleeping_f1_north_W,Q_surf_sleeping_f1_roof_W,Q_surf_airlock_f0_living_f0_partition_W,Q_surf_living_f0_sleeping_f1_ceiling_W
2026-01-24T12:00:00+05:30,162.508,314.934,49.138,48.753,48.096,60.256,162.526,124.075,200.848,195.033,193.49,162.471,65.766,173.238,103.212,201.649,195.056,208.669,-2.321,58.029
2026-01-24T13:00:00+05:30,164.571,233.255,43.115,49.373,47.689,47.855,164.713,117.167,202.554,197.675,195.727,164.767,60.647,174.007,96.771,202.96,197.796,188.101,-7.547,84.324
2026-01-24T14:00:00+05:30,213.512,196.603,46.674,64.061,47.399,56.102,214.094,119.173,253.256,256.983,200.388,214.336,61.131,218.985,97.279,255.006,257.269,228.654,-12.15,69.032
2026-01-24T15:00:00+05:30,304.569,177.992,56.281,91.399,47.138,77.559,306.304,123.672,345.733,367.751,205.748,306.702,63.173,302.223,99.858,350.728,368.121,319.96,-15.231,49.583
2026-01-24T16:00:00+05:30,284.139,167.417,52.762,85.294,46.884,71.935,286.843,124.487,325.879,344.479,210.91,287.001,62.696,284.02,99.32,329.802,344.481,296.945,-17.259,25.648
2026-01-24T17:00:00+05:30,262.52,176.791,51.07,78.83,46.628,67.92,265.967,131.382,306.843,319.482,215.333,265.68,65.439,265.928,103.793,309.143,318.902,276.745,-18.758,2.114
2026-01-24T18:00:00+05:30,247.796,191.179,50.673,74.434,46.366,64.852,251.839,140.44,295.03,302.568,218.713,251.016,69.243,254.209,109.997,295.811,301.308,261.776,-20.058,-18.872
2026-01-24T19:00:00+05:30,242.796,196.675,50.597,72.958,46.097,62.95,247.546,147.246,292.233,297.466,221.074,246.084,71.961,250.663,114.653,291.82,295.389,253.874,-21.263,-20.492
2026-01-24T20:00:00+05:30,246.732,198.272,51.245,74.17,45.82,63.234,252.364,152.951,298.31,303.31,222.794,250.144,74.279,255.0,118.595,296.891,300.26,254.965,-22.4,-15.417
2026-01-24T21:00:00+05:30,250.871,201.584,52.069,75.443,45.536,63.958,257.361,158.868,304.589,309.364,224.167,254.359,76.759,259.521,122.775,302.164,305.313,257.334,-23.474,-8.757
2026-01-24T22:00:00+05:30,250.966,207.296,52.614,75.5,45.242,63.902,258.15,165.199,306.635,310.352,225.342,254.44,79.412,260.374,127.303,303.199,305.404,256.473,-24.535,-2.206
2026-01-24T23:00:00+05:30,252.374,210.498,53.079,75.952,44.94,63.938,260.301,170.197,309.807,312.977,226.042,255.908,82.164,262.404,132.413,305.59,307.161,257.147,-25.451,-32.416
2026-01-25T00:00:00+05:30,250.492,210.834,52.861,75.417,44.628,63.022,259.067,173.896,309.05,311.531,225.824,254.204,84.064,261.254,135.943,304.275,305.11,255.056,-26.127,-57.731
2026-01-25T01:00:00+05:30,246.595,207.55,52.041,74.277,44.307,61.49,255.782,176.005,305.677,307.62,224.974,250.619,84.876,258.011,137.632,300.521,300.8,250.909,-26.757,-81.383
2026-01-25T02:00:00+05:30,245.992,201.84,51.377,74.131,43.976,60.789,255.975,176.994,305.627,307.893,223.819,250.49,85.118,257.703,138.263,300.152,300.639,250.054,-27.397,-102.274
2026-01-25T03:00:00+05:30,248.849,198.181,51.304,75.029,43.636,61.257,259.776,178.35,309.448,312.503,222.543,253.928,85.619,260.75,139.178,303.673,304.763,253.292,-28.04,-120.646
2026-01-25T04:00:00+05:30,253.561,194.895,51.472,76.487,43.287,62.235,265.568,179.577,315.346,319.508,221.232,259.307,86.099,265.567,139.99,309.244,311.217,258.527,-28.69,-136.74
2026-01-25T05:00:00+05:30,252.981,187.319,50.578,76.356,42.93,61.616,265.996,178.641,315.13,320.07,219.922,259.377,85.404,265.112,139.001,308.691,311.298,257.695,-29.317,-150.43
2026-01-25T06:00:00+05:30,245.366,176.103,48.471,74.106,42.565,59.162,259.191,175.428,306.826,311.935,218.629,252.321,83.468,257.717,136.128,300.076,302.828,249.362,-29.865,-161.832
2026-01-25T07:00:00+05:30,238.514,166.106,46.543,72.086,42.194,57.166,253.207,171.998,299.351,304.788,217.36,246.06,81.487,251.038,133.113,292.282,295.311,242.389,-30.312,-171.454
2026-01-25T08:00:00+05:30,232.177,153.053,44.356,70.227,41.817,55.104,247.959,167.576,292.314,298.534,216.533,240.404,78.365,244.549,127.891,284.693,288.52,235.379,-30.852,-138.154
2026-01-25T09:00:00+05:30,195.669,110.144,35.731,59.282,41.437,43.795,211.677,150.129,249.691,254.985,216.876,204.036,68.424,207.471,112.739,241.564,244.864,193.225,-31.502,-100.055
2026-01-25T10:00:00+05:30,162.683,69.007,27.589,49.402,41.054,34.447,179.271,131.264,210.656,216.105,218.518,171.338,58.334,173.534,97.297,202.014,205.615,157.397,-31.996,-58.935
2026-01-25T11:00:00+05:30,130.324,25.923,19.219,39.722,40.671,25.418,147.938,109.976,172.23,178.536,221.404,139.565,47.124,140.037,79.754,162.954,167.475,123.8,-32.337,-29.212
2026-01-25T12:00:00+05:30,92.6,7.891,12.922,28.329,40.292,17.982,108.442,95.364,127.376,131.013,225.269,101.013,39.142,102.124,67.38,118.813,121.211,90.367,-32.686,-8.747
2026-01-25T13:00:00+05:30,76.215,15.341,11.43,23.361,39.92,16.126,90.984,91.186,108.185,109.98,229.731,84.164,36.668,86.081,63.407,100.113,100.997,79.437,-33.326,-0.442
2026-01-25T14:00:00+05:30,73.334,27.414,11.864,22.499,39.56,16.553,88.694,91.257,106.075,107.242,234.369,81.691,36.554,83.94,62.975,97.624,98.035,80.509,-34.373,5.435
2026-01-25T15:00:00+05:30,76.369,39.287,13.032,23.437,39.212,17.935,93.256,93.088,111.685,112.776,238.855,85.618,37.384,87.962,63.891,102.327,102.753,86.598,-35.704,5.442
2026-01-25T16:00:00+05:30,90.425,51.145,15.497,27.746,38.877,21.822,111.137,96.678,131.774,134.408,242.804,101.78,39.27,103.418,66.084,120.335,122.155,104.4,-37.059,-2.235
2026-01-25T17:00:00+05:30,146.494,74.659,23.746,44.873,38.557,37.117,178.841,107.734,204.608,216.21,245.838,164.118,45.395,161.644,74.314,187.846,196.98,171.584,-38.282,-9.171
2026-01-25T18:00:00+05:30,168.304,97.574,28.627,51.456,38.249,43.815,203.525,117.253,233.056,245.942,247.796,187.221,50.122,184.62,81.239,214.553,224.716,196.831,-39.376,-11.634
2026-01-25T19:00:00+05:30,176.418,108.403,30.835,53.88,37.951,45.625,212.766,122.937,244.653,257.058,248.818,195.533,52.742,193.449,85.274,224.885,234.694,203.175,-40.349,1.606
2026-01-25T20:00:00+05:30,186.725,116.329,32.987,56.98,37.661,48.0,224.843,128.047,258.724,271.606,249.292,206.277,55.132,204.204,88.979,237.4,247.588,211.928,-41.213,18.92
2026-01-25T21:00:00+05:30,193.878,125.922,34.969,59.109,37.377,49.91,232.706,133.707,268.634,281.046,249.495,213.277,57.809,211.743,93.204,246.206,255.986,217.888,-42.003,35.858
2026-01-25T22:00:00+05:30,196.093,137.11,36.558,59.726,37.098,50.67,234.262,139.935,272.268,282.853,249.567,214.668,60.733,214.39,97.927,249.375,257.651,218.824,-42.787,51.106
2026-01-25T23:00:00+05:30,191.632,148.424,37.368,58.313,36.82,49.611,227.733,145.683,267.468,274.896,249.223,208.791,64.08,210.542,103.936,245.037,250.595,212.865,-43.453,27.858
2026-01-26T00:00:00+05:30,188.21,162.793,38.549,57.215,36.544,48.943,222.09,153.015,263.707,268.0,248.014,204.097,68.043,207.953,110.723,242.134,244.959,209.198,-43.967,7.468
2026-01-26T01:00:00+05:30,192.043,176.936,40.536,58.329,36.267,49.973,225.044,161.453,268.906,271.48,246.223,207.46,72.341,212.716,117.845,247.742,248.992,213.506,-44.583,-13.169
2026-01-26T02:00:00+05:30,202.313,187.039,42.917,61.408,35.987,52.354,235.884,169.437,282.108,284.488,244.173,218.025,76.378,223.846,124.392,260.726,261.67,224.281,-45.357,-32.467
2026-01-26T03:00:00+05:30,204.349,199.987,44.55,61.985,35.704,52.896,236.853,177.941,285.0,285.581,242.043,219.628,80.476,226.857,131.267,264.282,263.594,226.122,-46.251,-50.756
2026-01-26T04:00:00+05:30,203.326,205.57,45.1,61.651,35.416,52.162,234.92,183.949,284.124,283.201,239.914,218.26,83.184,226.574,136.014,263.995,261.952,223.703,-47.208,-67.348
2026-01-26T05:00:00+05:30,202.12,201.086,44.679,61.282,35.122,50.99,233.655,186.245,282.988,281.66,237.82,217.118,84.017,225.726,137.69,263.025,260.58,220.454,-48.096,-81.753
2026-01-26T06:00:00+05:30,207.231,192.014,44.574,62.841,34.82,51.463,240.273,186.658,289.718,289.639,235.773,223.048,84.11,230.998,137.878,269.15,267.694,224.378,-48.793,-94.136
2026-01-26T07:00:00+05:30,212.227,183.153,44.405,64.373,34.512,52.187,247.011,186.196,296.327,297.772,233.779,228.988,83.825,236.108,137.388,275.069,274.822,228.94,-49.279,-104.926
2026-01-26T08:00:00+05:30,212.127,165.618,42.736,64.38,34.196,51.188,248.863,182.121,296.807,300.047,232.23,229.922,80.945,235.735,132.421,274.593,275.939,227.253,-49.739,-73.903
2026-01-26T09:00:00+05:30,180.52,112.772,33.881,54.899,33.873,40.452,217.376,162.284,258.434,262.242,231.8,198.375,69.846,202.562,115.304,235.962,238.067,188.214,-50.132,-36.879
2026-01-26T10:00:00+05:30,139.538,61.831,24.013,42.571,33.546,29.017,174.829,139.2,207.678,211.103,232.498,156.59,57.437,159.572,96.194,185.864,187.912,142.664,-50.129,-1.807
2026-01-26T11:00:00+05:30,117.063,20.225,16.909,35.882,33.216,22.558,155.223,118.478,181.623,187.656,234.096,135.479,46.755,135.914,79.098,158.212,162.569,119.414,-49.776,24.602
