timestamp,T_surf_airlock_f0_west_C,T_surf_airlock_f0_south_C,T_surf_airlock_f0_north_C,T_surf_airlock_f0_floor_C,T_surf_airlock_f0_roof_C,T_surf_living_f0_east_C,T_surf_living_f0_south_C,T_surf_living_f0_north_C,T_surf_living_f0_floor_C,T_surf_sleeping_f1_west_C,T_surf_sleeping_f1_east_C,T_surf_sleeping_f1_south_C,T_surf_sleeping_f1_north_C,T_surf_sleeping_f1_roof_C,T_surf_airlock_f0_living_f0_partition_C,T_surf_living_f0_sleeping_f1_ceiling_C
2026-01-24T12:00:00+05:30,9.9753,9.8693,9.9768,9.9835,9.8819,10.0395,10.0028,10.0478,12.8713,10.105,10.048,10.0551,10.1043,10.2226,9.9805,10.118
2026-01-24T13:00:00+05:30,9.8877,9.445,9.8963,9.9208,9.5979,10.075,9.9967,10.093,14.5166,10.1628,10.0416,10.0544,10.1659,10.3145,9.8888,10.4046
2026-01-24T14:00:00+05:30,9.7599,8.8929,9.7806,9.8202,9.2884,10.0911,9.9748,10.119,15.1234,10.1351,9.9559,9.9718,10.1415,10.2025,9.7357,10.7314
2026-01-24T15:00:00+05:30,9.6159,8.3425,9.6513,9.6985,9.0091,10.1015,9.9519,10.1391,15.534,10.0715,9.842,9.8594,10.0791,10.0314,9.5552,11.0162
2026-01-24T16:00:00+05:30,9.4659,7.8331,9.5172,9.5669,8.7619,10.1053,9.9257,10.1521,15.597,9.9732,9.6987,9.7165,9.9816,9.7861,9.3689,11.2266
2026-01-24T17:00:00+05:30,9.3109,7.358,9.3785,9.4302,8.5289,10.096,9.8857,10.1517,15.4343,9.8372,9.5169,9.5349,9.8459,9.4508,9.1811,11.3425
2026-01-24T18:00:00+05:30,9.1469,6.8911,9.2314,9.2895,8.289,10.0658,9.8213,10.1295,15.0629,9.6591,9.2893,9.3072,9.6677,9.021,8.9855,11.3542
2026-01-24T19:00:00+05:30,8.9708,6.4142,9.0728,9.1441,8.0339,10.0241,9.7436,10.0952,15.0177,9.4814,9.0611,9.0789,9.4888,8.6499,8.7768,11.295
2026-01-24T20:00:00+05:30,8.7825,5.9274,8.9029,8.9935,7.7677,9.9747,9.6579,10.0529,15.0557,9.3037,8.8347,8.8524,9.3103,8.3318,8.5567,11.2079
2026-01-24T21:00:00+05:30,8.5838,5.4367,8.7232,8.8379,7.4953,9.9187,9.5656,10.0038,15.1192,9.1212,8.6048,8.6222,9.1271,8.0402,8.3286,11.1121
2026-01-24T22:00:00+05:30,8.3755,4.9437,8.5344,8.6777,7.2172,9.8561,9.4667,9.9481,15.1888,8.9316,8.3684,8.3856,8.9368,7.7593,8.0941,11.0131
2026-01-24T23:00:00+05:30,8.1577,4.4479,8.3365,8.5127,6.9327,9.7633,9.3355,9.8611,14.3454,8.8337,8.2283,8.246,8.8368,7.7972,7.85,10.9259
2026-01-25T00:00:00+05:30,7.931,3.9512,8.13,8.3427,6.6427,9.6633,9.1973,9.7663,13.9925,8.724,8.0795,8.0978,8.7284,7.7819,7.5948,10.9128
