timestamp,elapsed_s,T_airlock_f0_C,T_airlock_f0_min_C,T_airlock_f0_max_C,T_living_f0_C,T_living_f0_min_C,T_living_f0_max_C,T_sleeping_f1_C,T_sleeping_f1_min_C,T_sleeping_f1_max_C
2026-01-24T12:00:00+05:30,3600.0,9.9484,9.9116,9.9688,10.4203,9.8377,10.7414,10.767,10.2533,11.2573
2026-01-24T13:00:00+05:30,7200.0,9.7845,9.6312,9.8623,10.8438,10.1989,11.3205,11.0697,10.5132,11.7114
2026-01-24T14:00:00+05:30,10800.0,9.5677,9.2732,9.7118,11.091,10.4345,11.618,10.9067,10.3595,11.495
2026-01-24T15:00:00+05:30,14400.0,9.3445,8.9221,9.5475,11.2744,10.6057,11.8339,10.7137,10.1691,11.2612
2026-01-24T16:00:00+05:30,18000.0,9.1302,8.6016,9.382,11.3602,10.6786,11.922,10.3797,9.8296,10.8364
2026-01-24T17:00:00+05:30,21600.0,8.9217,8.3045,9.2154,11.3535,10.6338,11.9007,9.9411,9.3598,10.3007
2026-01-24T18:00:00+05:30,25200.0,8.7081,8.0108,9.043,11.2559,10.4875,11.7745,9.412,8.7878,9.7173
2026-01-24T19:00:00+05:30,28800.0,8.4827,7.7077,8.8596,11.1883,10.3746,11.7118,9.1117,8.4468,9.4475
2026-01-24T20:00:00+05:30,32400.0,8.247,7.3962,8.6661,11.1276,10.2756,11.6656,8.8661,8.1686,9.2319
2026-01-24T21:00:00+05:30,36000.0,8.0039,7.0806,8.4645,11.0665,10.1757,11.6225,8.6327,7.9027,9.0261
2026-01-24T22:00:00+05:30,39600.0,7.7548,6.762,8.2559,11.0017,10.0687,11.5772,8.3991,7.6337,8.8189
2026-01-24T23:00:00+05:30,43200.0,7.498,6.4385,8.0393,10.7571,9.796,11.2667,8.8339,8.0186,9.4193
2026-01-25T00:00:00+05:30,46800.0,7.2335,6.1103,7.8143,10.6121,9.6212,11.0927,8.841,7.9976,9.474
2026-01-25T01:00:00+05:30,50400.0,6.9656,5.7829,7.5843,10.5083,9.4957,10.9701,8.744,7.8809,9.3985
2026-01-25T02:00:00+05:30,54000.0,6.6988,5.4623,7.3524,10.4197,9.3936,10.8678,8.6197,7.7448,9.2902
2026-01-25T03:00:00+05:30,57600.0,6.4359,5.1524,7.1207,10.3343,9.2955,10.7716,8.4851,7.5995,9.17
2026-01-25T04:00:00+05:30,61200.0,6.1776,4.8538,6.8902,10.2485,9.1991,10.6768,8.3461,7.4516,9.0441
