timestamp,Q_surf_airlock_west_W,Q_surf_airlock_south/op_airlock_entry_door_W,Q_surf_airlock_south_W,Q_surf_airlock_north_W,Q_surf_airlock_floor_W,Q_surf_airlock_roof_W,Q_surf_living_east_W,Q_surf_living_south/op_living_south_window_W,Q_surf_living_south_W,Q_surf_living_north_W,Q_surf_living_floor_W,Q_surf_living_roof_W,Q_surf_partition_airlock_living_W
2026-01-24T12:00:00+05:30,4313.544,347.804,561.905,1294.063,48.052,56.623,4313.675,216.921,4186.047,5176.413,198.501,226.514,-4.736
2026-01-24T13:00:00+05:30,3635.446,258.572,464.119,1090.637,47.636,53.157,3636.487,189.507,3516.303,4363.802,211.721,212.942,-17.587
2026-01-24T14:00:00+05:30,3424.772,214.582,428.892,1027.446,47.255,66.553,3428.065,178.949,3303.499,4113.727,227.078,267.827,-29.39
2026-01-24T15:00:00+05:30,3422.105,190.138,420.607,1026.672,46.842,93.542,3429.266,175.177,3294.39,4115.233,241.428,379.708,-37.351
2026-01-24T16:00:00+05:30,3212.168,174.207,390.545,963.726,46.384,86.29,3223.894,172.119,3091.305,3868.87,254.064,354.668,-42.649
2026-01-24T17:00:00+05:30,3200.869,180.811,388.882,960.376,45.884,79.539,3217.368,181.428,3084.761,3861.131,264.547,331.161,-47.032
2026-01-24T18:00:00+05:30,3235.895,193.231,394.515,970.922,45.348,74.811,3257.008,194.031,3124.613,3908.796,272.822,315.349,-51.486
2026-01-24T19:00:00+05:30,3160.334,195.723,385.956,948.293,44.777,72.594,3186.066,201.026,3057.288,3823.77,279.688,310.128,-56.198
2026-01-24T20:00:00+05:30,3051.36,193.762,373.028,915.641,44.171,72.976,3081.95,205.228,2957.739,3698.945,286.027,316.113,-60.911
2026-01-24T21:00:00+05:30,2960.245,193.649,362.869,888.346,43.526,73.533,2995.699,209.86,2876.132,3595.56,291.758,322.738,-65.352
2026-01-24T22:00:00+05:30,2883.478,196.192,355.222,865.352,42.843,73.004,2923.454,215.461,2808.981,3508.978,296.627,324.269,-69.492
2026-01-24T23:00:00+05:30,2777.318,195.985,343.863,833.538,42.121,72.757,2821.727,219.229,2713.446,3387.02,300.689,327.106,-73.396
2026-01-25T00:00:00+05:30,2623.431,192.591,326.597,787.403,41.361,71.479,2671.983,220.701,2571.768,3207.438,304.207,325.427,-77.038
2026-01-25T01:00:00+05:30,2416.398,185.219,302.63,725.322,40.561,69.538,2468.883,219.336,2378.692,2963.825,307.385,320.959,-80.364
2026-01-25T02:00:00+05:30,2190.174,175.289,276.097,657.484,39.725,68.474,2246.832,216.042,2167.319,2697.474,310.288,320.825,-83.277
2026-01-25T03:00:00+05:30,2006.213,167.885,255.007,602.326,38.854,68.471,2067.313,213.854,1997.353,2482.165,312.942,325.549,-85.739
2026-01-25T04:00:00+05:30,1843.213,161.224,236.508,553.456,37.954,68.962,1909.034,211.899,1848.028,2292.346,315.367,332.81,-87.84
2026-01-25T05:00:00+05:30,1623.608,150.123,210.653,487.601,37.027,67.789,1694.037,206.903,1643.822,2034.457,317.576,332.97,-89.632
2026-01-25T06:00:00+05:30,1347.702,135.267,177.629,404.851,36.082,64.577,1422.296,198.984,1384.868,1708.458,319.592,323.921,-91.075
2026-01-25T07:00:00+05:30,1093.576,122.053,147.491,328.633,35.122,61.666,1172.291,191.626,1147.228,1408.534,321.656,316.268,-92.173
2026-01-25T08:00:00+05:30,807.939,105.79,113.197,242.96,34.155,58.724,891.124,182.322,879.457,1071.213,324.215,309.419,-93.028
2026-01-25T09:00:00+05:30,98.419,57.024,23.847,30.108,33.189,46.612,184.404,152.609,198.941,223.173,327.793,261.574,-93.428
2026-01-25T10:00:00+05:30,-594.167,10.598,-62.759,-177.666,32.232,35.756,-505.148,122.777,-463.845,-604.282,333.043,220.173,-92.945
2026-01-25T11:00:00+05:30,-1305.661,-37.15,-151.504,-391.113,31.298,24.948,-1212.743,90.966,-1143.24,-1453.402,340.016,180.82,-91.635
2026-01-25T12:00:00+05:30,-1525.93,-54.364,-178.568,-457.236,30.405,15.584,-1435.207,76.944,-1354.472,-1720.515,348.145,134.301,-89.793
2026-01-25T13:00:00+05:30,-1343.203,-42.258,-154.455,-402.467,29.572,12.427,-1255.3,81.217,-1176.979,-1504.804,356.682,115.976,-88.237
2026-01-25T14:00:00+05:30,-1126.614,-25.463,-125.766,-337.522,28.815,11.983,-1037.855,89.929,-962.932,-1243.984,365.017,116.081,-87.819
2026-01-25T15:00:00+05:30,-929.117,-9.489,-99.427,-278.292,28.142,12.661,-836.694,99.441,-764.611,-1002.658,372.732,124.814,-88.741
2026-01-25T16:00:00+05:30,-768.54,5.42,-76.945,-230.115,27.554,15.39,-666.947,109.157,-595.125,-798.949,379.089,151.738,-90.643
2026-01-25T17:00:00+05:30,-478.37,32.123,-35.658,-143.015,27.046,27.228,-355.954,127.466,-284.377,-425.594,383.6,248.859,-93.168
2026-01-25T18:00:00+05:30,-65.042,59.529,18.066,-19.014,26.608,33.761,68.288,146.52,129.685,83.534,386.422,286.364,-96.137
