timestamp,T_airlock_C,Qenv_loss_airlock_W,Qinterzone_in_airlock_W,T_living_C,Qenv_loss_living_W,Qinterzone_in_living_W
2026-01-24T12:00:00+05:30,9.6197,352.954,0.0,10.8472,799.292,0.0
2026-01-24T13:00:00+05:30,9.26,343.26,9.425,11.7816,818.045,-9.425
2026-01-24T14:00:00+05:30,8.9212,333.856,19.361,12.589,839.625,-19.361
2026-01-24T15:00:00+05:30,8.5972,328.845,28.163,13.3261,865.362,-28.163
2026-01-24T16:00:00+05:30,8.2823,328.625,36.311,13.9335,898.065,-36.311
2026-01-24T17:00:00+05:30,7.9563,345.896,43.393,14.3919,961.608,-43.393
2026-01-24T18:00:00+05:30,7.6104,370.487,49.415,14.7063,1035.404,-49.415
2026-01-24T19:00:00+05:30,7.2508,388.285,54.485,15.0162,1091.384,-54.485
2026-01-24T20:00:00+05:30,6.8829,401.067,59.626,15.305,1137.481,-59.626
2026-01-24T21:00:00+05:30,6.5065,413.974,64.669,15.5318,1183.381,-64.669
2026-01-24T22:00:00+05:30,6.1193,428.692,69.3,15.696,1231.162,-69.3
2026-01-24T23:00:00+05:30,5.7235,440.844,73.534,15.8211,1272.041,-73.534
2026-01-25T00:00:00+05:30,5.3228,449.5,77.533,15.9311,1304.837,-77.533
2026-01-25T01:00:00+05:30,4.9221,453.383,81.455,16.0301,1327.65,-81.455
2026-01-25T02:00:00+05:30,4.5259,452.926,85.292,16.1218,1341.344,-85.292
2026-01-25T03:00:00+05:30,4.1344,452.414,89.038,16.2067,1354.56,-89.038
2026-01-25T04:00:00+05:30,3.7483,451.123,92.696,16.2853,1365.847,-92.696
2026-01-25T05:00:00+05:30,3.3727,444.842,96.265,16.3622,1366.711,-96.265
2026-01-25T06:00:00+05:30,3.0132,433.406,99.739,16.4417,1356.806,-99.739
2026-01-25T07:00:00+05:30,2.6707,420.99,103.11,16.5659,1344.553,-103.11
2026-01-25T08:00:00+05:30,2.3502,404.111,106.694,16.7645,1324.259,-106.694
2026-01-25T09:00:00+05:30,2.0853,356.556,110.679,17.1071,1243.826,-110.679
2026-01-25T10:00:00+05:30,1.8839,302.307,115.344,17.6464,1152.975,-115.344
2026-01-25T11:00:00+05:30,1.755,240.632,121.031,18.3129,1051.714,-121.031
2026-01-25T12:00:00+05:30,1.6776,199.032,127.139,19.0596,993.041,-127.139
2026-01-25T13:00:00+05:30,1.6228,184.319,133.467,19.7866,989.787,-133.467
2026-01-25T14:00:00+05:30,1.5786,180.416,139.47,20.4882,1007.071,-139.47
2026-01-25T15:00:00+05:30,1.5398,181.244,145.195,21.109,1032.778,-145.195
2026-01-25T16:00:00+05:30,1.5021,185.283,150.261,21.5811,1062.193,-150.261
2026-01-25T17:00:00+05:30,1.4499,202.599,154.175,21.9075,1113.554,-154.175
2026-01-25T18:00:00+05:30,1.3767,225.018,157.082,22.122,1170.895,-157.082
2026-01-25T19:00:00+05:30,1.2901,239.665,159.291,22.3403,1209.514,-159.291
2026-01-25T20:00:00+05:30,1.1929,251.832,161.632,22.5436,1243.63,-161.632
2026-01-25T21:00:00+05:30,1.0831,265.9,163.939,22.6893,1281.398,-163.939
2026-01-25T22:00:00+05:30,0.9574,282.562,165.902,22.7761,1322.896,-165.902
2026-01-25T23:00:00+05:30,0.8138,300.81,167.533,22.8239,1366.13,-167.533
2026-01-26T00:00:00+05:30,0.6476,323.267,169.003,22.8501,1417.106,-169.003
2026-01-26T01:00:00+05:30,0.4574,346.973,170.481,22.8538,1470.547,-170.481
2026-01-26T02:00:00+05:30,0.2467,367.568,171.969,22.8375,1517.656,-171.969
2026-01-26T03:00:00+05:30,0.0119,391.37,173.463,22.7987,1571.176,-173.463
2026-01-26T04:00:00+05:30,-0.2402,408.926,174.967,22.7424,1612.035,-174.967
2026-01-26T05:00:00+05:30,-0.4976,415.386,176.47,22.6779,1630.424,-176.47
2026-01-26T06:00:00+05:30,-0.7519,413.933,177.951,22.6119,1632.726,-177.951
2026-01-26T07:00:00+05:30,-0.9998,409.511,179.397,22.5879,1628.893,-179.397
2026-01-26T08:00:00+05:30,-1.2295,394.325,181.117,22.6245,1604.518,-181.117
2026-01-26T09:00:00+05:30,-1.3998,341.175,183.161,22.7987,1504.952,-183.161
2026-01-26T10:00:00+05:30,-1.5004,279.217,185.806,23.1051,1390.378,-185.806
2026-01-26T11:00:00+05:30,-1.5325,218.721,188.932,23.4978,1281.07,-188.932
