timestamp,T_surf_airlock_west_C,T_surf_airlock_south_C,T_surf_airlock_north_C,T_surf_airlock_floor_C,T_surf_airlock_roof_C,T_surf_living_east_C,T_surf_living_south_C,T_surf_living_north_C,T_surf_living_floor_C,T_surf_living_roof_C,T_surf_partition_airlock_living_C
2026-01-24T12:00:00+05:30,9.8581,9.7839,9.8684,9.9462,9.9627,11.0867,10.8639,11.1025,14.467,10.4482,9.9721
2026-01-24T13:00:00+05:30,9.3679,9.0617,9.4167,9.7953,9.7448,11.9825,11.655,12.0113,16.9567,11.177,9.7885
2026-01-24T14:00:00+05:30,8.7381,8.1824,8.8312,9.5859,9.353,12.5291,12.1453,12.5836,18.3782,11.7967,9.4466
2026-01-24T15:00:00+05:30,8.1207,7.3618,8.2503,9.3444,8.8826,12.9894,12.5655,13.0634,19.6286,12.2965,9.0297
2026-01-24T16:00:00+05:30,7.5569,6.6435,7.7141,9.0853,8.4007,13.3382,12.8847,13.4284,20.4995,12.7051,8.6032
2026-01-24T17:00:00+05:30,7.0179,5.9818,7.196,8.814,7.9265,13.5373,13.0543,13.6456,21.0826,13.0084,8.1832
2026-01-24T18:00:00+05:30,6.4613,5.3136,6.6572,8.5294,7.4478,13.5807,13.0678,13.7092,21.4494,13.1992,7.753
2026-01-24T19:00:00+05:30,5.8618,4.6036,6.0746,8.2281,6.9447,13.6411,13.0928,13.7842,22.1058,13.3478,7.2926
2026-01-24T20:00:00+05:30,5.2249,3.8587,5.4537,7.9079,6.4099,13.6808,13.0995,13.8378,22.724,13.4825,6.7994
2026-01-24T21:00:00+05:30,4.5648,3.0963,4.808,7.5691,5.8477,13.643,13.0339,13.8156,23.146,13.5742,6.279
2026-01-24T22:00:00+05:30,3.8859,2.3213,4.1423,7.2123,5.2629,13.533,12.8983,13.7217,23.4507,13.6079,5.7348
2026-01-24T23:00:00+05:30,3.188,1.5323,3.4565,6.8376,4.6567,13.3849,12.7259,13.5881,23.7327,13.5954,5.1676
2026-01-25T00:00:00+05:30,2.4758,0.735,2.7553,6.4453,4.0314,13.229,12.547,13.4447,24.0375,13.5574,4.5806
2026-01-25T01:00:00+05:30,1.7584,-0.0594,2.0475,6.0366,3.3921,13.0682,12.3664,13.2947,24.323,13.5045,3.9806
2026-01-25T02:00:00+05:30,1.0485,-0.8353,1.3453,5.6137,2.7469,12.909,12.1914,13.1445,24.5842,13.4417,3.3767
2026-01-25T03:00:00+05:30,0.3587,-1.5787,0.6611,5.1792,2.1053,12.7558,12.0248,12.9989,24.8218,13.3725,2.779
2026-01-25T04:00:00+05:30,-0.3041,-2.2838,0.0022,4.7363,1.4751,12.6124,11.8701,12.8616,25.0375,13.3004,2.1954
2026-01-25T05:00:00+05:30,-0.9352,-2.9463,-0.6266,4.2876,0.8618,12.4857,11.7359,12.739,25.2339,13.2307,1.6313
2026-01-25T06:00:00+05:30,-1.5274,-3.5572,-1.2185,3.8361,0.2713,12.3825,11.6292,12.6376,25.4137,13.1692,1.0925
2026-01-25T07:00:00+05:30,-2.0731,-4.1073,-1.7659,3.3853,-0.2892,12.3574,11.6003,12.6109,25.7387,13.1419,0.5868
2026-01-25T08:00:00+05:30,-2.5644,-4.5894,-2.261,2.9389,-0.8125,12.4438,11.6833,12.6921,26.2347,13.1802,0.1233
2026-01-25T09:00:00+05:30,-2.9795,-4.9746,-2.6829,2.5019,-1.2869,12.7307,11.9768,12.9641,27.0183,13.3378,-0.2829
2026-01-25T10:00:00+05:30,-3.2732,-5.2035,-2.9892,2.0828,-1.6856,13.2852,12.5412,13.4962,28.1842,13.6703,-0.5999
2026-01-25T11:00:00+05:30,-3.4091,-5.2352,-3.1442,1.6928,-1.977,14.0148,13.2919,14.2009,29.3403,14.1658,-0.7932
2026-01-25T12:00:00+05:30,-3.3718,-5.061,-3.1314,1.3426,-2.1381,14.867,14.1647,15.0302,30.4924,14.7829,-0.8428
2026-01-25T13:00:00+05:30,-3.1865,-4.7287,-2.972,1.0389,-2.1683,15.7182,15.0308,15.8658,31.4139,15.4548,-0.7548
2026-01-25T14:00:00+05:30,-2.9155,-4.3236,-2.7238,0.7815,-2.0948,16.5554,15.8746,16.6913,32.2717,16.1439,-0.5652
2026-01-25T15:00:00+05:30,-2.6183,-3.9163,-2.4444,0.5655,-1.9574,17.2919,16.6148,17.4218,32.8847,16.8068,-0.3207
2026-01-25T16:00:00+05:30,-2.3366,-3.5497,-2.1754,0.384,-1.7921,17.835,17.1634,17.9655,33.0977,17.3777,-0.0641
2026-01-25T17:00:00+05:30,-2.1032,-3.2559,-1.9501,0.2293,-1.629,18.1936,17.5226,18.3301,33.1,17.8252,0.169
2026-01-25T18:00:00+05:30,-1.9434,-3.0635,-1.7938,0.0929,-1.4945,18.4155,17.7389,18.5601,33.0345,18.1601,0.3508
2026-01-25T19:00:00+05:30,-1.8602,-2.9738,-1.7093,-0.0329,-1.4054,18.6517,17.9616,18.7999,33.255,18.4523,0.4695
2026-01-25T20:00:00+05:30,-1.8404,-2.9655,-1.6852,-0.1528,-1.3635,18.8626,18.1574,19.0148,33.4673,18.7242,0.5308
2026-01-25T21:00:00+05:30,-1.8723,-3.0208,-1.711,-0.2697,-1.3638,18.9866,18.2675,19.1456,33.516,18.9452,0.5431
2026-01-25T22:00:00+05:30,-1.953,-3.1349,-1.7842,-0.3865,-1.4033,19.0268,18.2931,19.1943,33.4781,19.0993,0.5096
2026-01-25T23:00:00+05:30,-2.0853,-3.3108,-1.9075,-0.5061,-1.4827,19.0111,18.2598,19.1874,33.445,19.1953,0.43
2026-01-26T00:00:00+05:30,-2.2741,-3.5543,-2.0861,-0.6319,-1.6051,18.9559,18.1823,19.1419,33.4585,19.2473,0.3029
2026-01-26T01:00:00+05:30,-2.5252,-3.8721,-2.3254,-0.7676,-1.7748,18.8525,18.0537,19.0495,33.4719,19.258,0.1255
2026-01-26T02:00:00+05:30,-2.8382,-4.2625,-2.6253,-0.9164,-1.995,18.7033,17.8795,18.9119,33.4764,19.2273,-0.1044
2026-01-26T03:00:00+05:30,-3.2092,-4.7183,-2.9823,-1.0808,-2.2653,18.5061,17.6554,18.7276,33.4687,19.1542,-0.3855
2026-01-26T04:00:00+05:30,-3.6371,-5.2367,-3.3957,-1.2631,-2.5855,18.2677,17.392,18.5019,33.4474,19.0414,-0.717
2026-01-26T05:00:00+05:30,-4.1082,-5.7972,-3.8527,-1.4645,-2.951,18.0064,17.1111,18.2511,33.413,18.8981,-1.0931
2026-01-26T06:00:00+05:30,-4.5951,-6.3633,-4.3277,-1.6838,-3.3483,17.7429,16.8345,17.9955,33.367,18.7358,-1.4983
2026-01-26T07:00:00+05:30,-5.0708,-6.9017,-4.7945,-1.9176,-3.7585,17.5449,16.6253,17.8012,33.4704,18.5877,-1.9115
2026-01-26T08:00:00+05:30,-5.513,-7.3872,-5.2311,-2.1615,-4.1631,17.4382,16.5127,17.6934,33.6865,18.4855,-2.3109
2026-01-26T09:00:00+05:30,-5.8839,-7.7702,-5.6015,-2.4091,-4.5389,17.5294,16.6136,17.7714,34.1689,18.4885,-2.6693
2026-01-26T10:00:00+05:30,-6.1222,-7.9715,-5.8475,-2.6492,-4.8461,17.8174,16.9232,18.0394,34.7845,18.6273,-2.9421
2026-01-26T11:00:00+05:30,-6.1886,-7.9491,-5.9305,-2.8684,-5.0446,18.2486,17.3858,18.448,35.3727,18.8873,-3.0886
