timestamp,elapsed_s,T_airlock_C,T_airlock_min_C,T_airlock_max_C,T_living_C,T_living_min_C,T_living_max_C
2026-01-24T12:00:00+05:30,3600.0,9.9066,9.8594,9.9271,11.2236,10.5679,11.6944
2026-01-24T13:00:00+05:30,7200.0,9.5452,9.3493,9.6242,12.3472,11.6118,12.9899
2026-01-24T14:00:00+05:30,10800.0,9.0401,8.6867,9.1971,13.1082,12.3376,13.8259
2026-01-24T15:00:00+05:30,14400.0,8.5131,8.0361,8.7445,13.7411,12.9351,14.5347
2026-01-24T16:00:00+05:30,18000.0,8.0134,7.4447,8.3084,14.2171,13.3786,15.0606
2026-01-24T17:00:00+05:30,21600.0,7.5327,6.8926,7.8825,14.5243,13.6307,15.4042
2026-01-24T18:00:00+05:30,25200.0,7.0409,6.3372,7.4413,14.6756,13.7181,15.5852
2026-01-24T19:00:00+05:30,28800.0,6.5153,5.7497,6.966,14.8627,13.8449,15.8332
2026-01-24T20:00:00+05:30,32400.0,5.957,5.1319,6.4588,15.0329,13.9649,16.0612
2026-01-24T21:00:00+05:30,36000.0,5.3752,4.4951,5.9278,15.1207,14.0076,16.193
2026-01-24T22:00:00+05:30,39600.0,4.7738,3.8429,5.3761,15.1326,13.9731,16.2445
2026-01-24T23:00:00+05:30,43200.0,4.1525,3.1742,4.8035,15.1052,13.9037,16.2582
2026-01-25T00:00:00+05:30,46800.0,3.5152,2.4924,4.2136,15.0688,13.8308,16.2664
2026-01-25T01:00:00+05:30,50400.0,2.8692,1.8056,3.6133,15.0234,13.7582,16.2637
2026-01-25T02:00:00+05:30,54000.0,2.225,1.1272,3.0121,14.9725,13.6889,16.2529
2026-01-25T03:00:00+05:30,57600.0,1.5933,0.4686,2.4195,14.9175,13.6172,16.2352
2026-01-25T04:00:00+05:30,61200.0,0.9806,-0.1643,1.8419,14.8617,13.5471,16.214
2026-01-25T05:00:00+05:30,64800.0,0.3917,-0.7673,1.2838,14.8127,13.4937,16.1959
2026-01-25T06:00:00+05:30,68400.0,-0.167,-1.333,0.7511,14.7764,13.4446,16.1862
2026-01-25T07:00:00+05:30,72000.0,-0.6879,-1.8533,0.251,14.8108,13.4483,16.256
2026-01-25T08:00:00+05:30,75600.0,-1.1632,-2.3223,-0.2084,14.9499,13.5526,16.4385
2026-01-25T09:00:00+05:30,79200.0,-1.575,-2.7162,-0.6104,15.2849,13.8468,16.8263
2026-01-25T10:00:00+05:30,82800.0,-1.8853,-2.9885,-0.9205,15.8727,14.3861,17.486
2026-01-25T11:00:00+05:30,86400.0,-2.0605,-3.1036,-1.1075,16.6063,15.0875,18.2731
2026-01-25T12:00:00+05:30,90000.0,-2.0847,-3.0517,-1.1567,17.4315,15.8927,19.1431
2026-01-25T13:00:00+05:30,93600.0,-1.9751,-2.8591,-1.0823,18.2274,16.6883,19.9585
2026-01-25T14:00:00+05:30,97200.0,-1.7797,-2.5876,-0.9262,19.0056,17.4708,20.7501
2026-01-25T15:00:00+05:30,100800.0,-1.5479,-2.2938,-0.7325,19.6876,18.1678,21.4256
2026-01-25T16:00:00+05:30,104400.0,-1.3177,-2.0167,-0.5365,20.1815,18.6932,21.8844
2026-01-25T17:00:00+05:30,108000.0,-1.1195,-1.7867,-0.3674,20.5027,19.0481,22.1648
2026-01-25T18:00:00+05:30,111600.0,-0.9787,-1.6302,-0.2485,20.7033,19.2767,22.3308
2026-01-25T19:00:00+05:30,115200.0,-0.9029,-1.554,-0.1867,20.9405,19.5197,22.5656
2026-01-25T20:00:00+05:30,118800.0,-0.8831,-1.546,-0.1737,21.161,19.7432,22.7854
2026-01-25T21:00:00+05:30,122400.0,-0.9094,-1.5904,-0.2012,21.2976,19.8879,22.9108
2026-01-25T22:00:00+05:30,126000.0,-0.9791,-1.6841,-0.2678,21.3553,19.9536,22.9561
2026-01-25T23:00:00+05:30,129600.0,-1.094,-1.829,-0.3752,21.3653,19.9661,22.9602
2026-01-26T00:00:00+05:30,133200.0,-1.2574,-2.0279,-0.5265,21.3466,19.9419,22.9457
2026-01-26T01:00:00+05:30,136800.0,-1.4741,-2.2859,-0.7256,21.2913,19.8755,22.8993
2026-01-26T02:00:00+05:30,140400.0,-1.7448,-2.6032,-0.9737,21.201,19.7697,22.8209
2026-01-26T03:00:00+05:30,144000.0,-2.0671,-2.9755,-1.2688,21.0706,19.5991,22.706
2026-01-26T04:00:00+05:30,147600.0,-2.44,-3.401,-1.6105,20.9081,19.3964,22.5615
2026-01-26T05:00:00+05:30,151200.0,-2.8539,-3.8658,-1.9907,20.7272,19.1945,22.3991
2026-01-26T06:00:00+05:30,154800.0,-3.2881,-4.3437,-2.3916,20.5399,19.0008,22.2291
2026-01-26T07:00:00+05:30,158400.0,-3.7196,-4.8085,-2.7929,20.4117,18.8628,22.1295
2026-01-26T08:00:00+05:30,162000.0,-4.1283,-5.2386,-3.1757,20.3653,18.7873,22.1153
2026-01-26T09:00:00+05:30,165600.0,-4.4828,-5.5968,-3.5115,20.5075,18.8969,22.2973
2026-01-26T10:00:00+05:30,169200.0,-4.7311,-5.8214,-3.7537,20.817,19.1816,22.6445
2026-01-26T11:00:00+05:30,172800.0,-4.8356,-5.8719,-3.8679,21.2324,19.5889,23.0829
