timestamp,T_python_C,T_ansys_C,abs_error_C
2026-01-12 00:00:00,9.867,8.969,0.898
2026-01-12 01:00:00,9.734,8.746,0.988
2026-01-12 02:00:00,9.6,8.641,0.959
2026-01-12 03:00:00,9.467,8.539,0.927
2026-01-12 04:00:00,9.333,8.434,0.899
2026-01-12 05:00:00,9.199,8.324,0.875
2026-01-12 06:00:00,9.066,8.21,0.856
2026-01-12 07:00:00,8.951,8.154,0.798
2026-01-12 08:00:00,8.892,8.236,0.656
2026-01-12 09:00:00,8.891,8.443,0.449
2026-01-12 10:00:00,8.942,8.729,0.213
2026-01-12 11:00:00,9.02,8.934,0.085
2026-01-12 12:00:00,9.11,9.076,0.035
2026-01-12 13:00:00,9.18,9.109,0.071
2026-01-12 14:00:00,9.211,9.024,0.187
2026-01-12 15:00:00,9.186,8.817,0.368
2026-01-12 16:00:00,9.1,8.462,0.638
2026-01-12 17:00:00,8.99,8.131,0.859
2026-01-12 18:00:00,8.876,7.9,0.976
2026-01-12 19:00:00,8.761,7.728,1.033
2026-01-12 20:00:00,8.646,7.582,1.064
2026-01-12 21:00:00,8.53,7.442,1.088
2026-01-12 22:00:00,8.412,7.292,1.121
2026-01-12 23:00:00,8.292,7.141,1.151
2026-01-13 00:00:00,8.171,6.995,1.176
2026-01-13 01:00:00,8.048,6.856,1.192
2026-01-13 02:00:00,7.925,6.731,1.194
2026-01-13 03:00:00,7.803,6.614,1.189
2026-01-13 04:00:00,7.68,6.498,1.183
2026-01-13 05:00:00,7.558,6.38,1.179
2026-01-13 06:00:00,7.436,6.263,1.173
2026-01-13 07:00:00,7.339,6.215,1.124
2026-01-13 08:00:00,7.313,6.355,0.957
2026-01-13 09:00:00,7.355,6.631,0.724
2026-01-13 10:00:00,7.445,6.877,0.568
2026-01-13 11:00:00,7.563,7.088,0.475
2026-01-13 12:00:00,7.686,7.244,0.442
2026-01-13 13:00:00,7.783,7.304,0.479
2026-01-13 14:00:00,7.836,7.259,0.577
2026-01-13 15:00:00,7.832,7.103,0.729
2026-01-13 16:00:00,7.761,6.822,0.939
2026-01-13 17:00:00,7.667,6.553,1.113
2026-01-13 18:00:00,7.57,6.363,1.207
2026-01-13 19:00:00,7.471,6.202,1.269
2026-01-13 20:00:00,7.37,6.048,1.322
2026-01-13 21:00:00,7.267,5.902,1.365
2026-01-13 22:00:00,7.161,5.762,1.399
2026-01-13 23:00:00,7.053,5.625,1.428
