timestamp,T_python_C,T_ansys_C,abs_error_C
2026-01-12 00:00:00,9.63,8.459,1.171
2026-01-12 01:00:00,9.262,7.844,1.419
2026-01-12 02:00:00,8.9,7.565,1.335
2026-01-12 03:00:00,8.541,7.32,1.221
2026-01-12 04:00:00,8.187,7.065,1.123
2026-01-12 05:00:00,7.839,6.795,1.045
2026-01-12 06:00:00,7.497,6.511,0.986
2026-01-12 07:00:00,7.21,6.308,0.902
2026-01-12 08:00:00,7.082,6.326,0.755
2026-01-12 09:00:00,7.118,6.57,0.548
2026-01-12 10:00:00,7.296,6.974,0.321
2026-01-12 11:00:00,7.548,7.293,0.255
2026-01-12 12:00:00,7.832,7.512,0.321
2026-01-12 13:00:00,8.054,7.562,0.492
2026-01-12 14:00:00,8.165,7.414,0.751
2026-01-12 15:00:00,8.116,7.055,1.061
2026-01-12 16:00:00,7.899,6.44,1.458
2026-01-12 17:00:00,7.619,5.819,1.799
2026-01-12 18:00:00,7.33,5.343,1.987
2026-01-12 19:00:00,7.042,4.974,2.068
2026-01-12 20:00:00,6.756,4.655,2.102
2026-01-12 21:00:00,6.473,4.352,2.121
2026-01-12 22:00:00,6.188,4.035,2.153
2026-01-12 23:00:00,5.9,3.714,2.187
2026-01-13 00:00:00,5.612,3.397,2.214
2026-01-13 01:00:00,5.323,3.092,2.231
2026-01-13 02:00:00,5.038,2.808,2.23
2026-01-13 03:00:00,4.758,2.541,2.217
2026-01-13 04:00:00,4.481,2.278,2.203
2026-01-13 05:00:00,4.208,2.014,2.194
2026-01-13 06:00:00,3.938,1.752,2.186
2026-01-13 07:00:00,3.741,1.597,2.144
2026-01-13 08:00:00,3.745,1.745,2.0
2026-01-13 09:00:00,3.938,2.149,1.789
2026-01-13 10:00:00,4.261,2.558,1.704
2026-01-13 11:00:00,4.66,2.924,1.736
2026-01-13 12:00:00,5.063,3.21,1.853
2026-01-13 13:00:00,5.391,3.347,2.043
2026-01-13 14:00:00,5.59,3.305,2.285
2026-01-13 15:00:00,5.625,3.074,2.551
2026-01-13 16:00:00,5.475,2.627,2.849
2026-01-13 17:00:00,5.259,2.16,3.099
2026-01-13 18:00:00,5.041,1.807,3.233
2026-01-13 19:00:00,4.819,1.512,3.307
2026-01-13 20:00:00,4.593,1.234,3.359
2026-01-13 21:00:00,4.364,0.969,3.394
2026-01-13 22:00:00,4.13,0.713,3.418
2026-01-13 23:00:00,3.893,0.461,3.432
