elapsed_seconds,timestamp,T_ansys_C,T_ansys_min_C,T_ansys_max_C
3600,2026-01-12 00:00:00,8.45928259535765,7.777676713305652,8.633279057691084
7200,2026-01-12 01:00:00,7.843676478948794,7.064585594361688,8.04750846765478
10800,2026-01-12 02:00:00,7.564694023130301,6.773563900141369,7.773614287061889
14400,2026-01-12 03:00:00,7.320082350789278,6.5252027312876635,7.530122016021664
18000,2026-01-12 04:00:00,7.064898666341151,6.271167148025711,7.2734936320783845
21600,2026-01-12 05:00:00,6.7946811525671365,6.004942165105263,7.000249337796959
25200,2026-01-12 06:00:00,6.510970445630335,5.726696620994858,6.71268464879887
28800,2026-01-12 07:00:00,6.307779859958373,5.550182988894505,6.503580559556724
32400,2026-01-12 08:00:00,6.326099295686788,5.630754795909638,6.516471761905166
36000,2026-01-12 09:00:00,6.570033155834437,5.977794561638575,6.752052804983975
39600,2026-01-12 10:00:00,6.974330113190888,6.5144560513747365,7.14765972601549
43200,2026-01-12 11:00:00,7.293045211517608,6.907698074527445,7.469609250034978
46800,2026-01-12 12:00:00,7.511646130440681,7.169959092424506,7.694745035623669
50400,2026-01-12 13:00:00,7.562032700973077,7.238429241526603,7.746853026152621
54000,2026-01-12 14:00:00,7.413734444148304,7.081111103263424,7.5955157157775375
57600,2026-01-12 15:00:00,7.054561456980025,6.690273853675535,7.227540419793229
61200,2026-01-12 16:00:00,6.440357404889994,5.987364532328286,6.611265456126603
64800,2026-01-12 17:00:00,5.819076731419841,5.283460940783641,5.993603395452908
68400,2026-01-12 18:00:00,5.3433133419230785,4.771580935017369,5.517830092281827
72000,2026-01-12 19:00:00,4.973754884747734,4.392319369534448,5.145707204363134
75600,2026-01-12 20:00:00,4.654573235589453,4.072297469753664,4.823829407237895
79200,2026-01-12 21:00:00,4.351621988814088,3.7682312188916853,4.519401157294567
82800,2026-01-12 22:00:00,4.035008173544725,3.4406653637498152,4.204246140917348
86400,2026-01-12 23:00:00,3.7139499973907846,3.1064477277826086,3.8858754137200435
90000,2026-01-13 00:00:00,3.397409990589665,2.7782140340393084,3.5722946177107815
93600,2026-01-13 01:00:00,3.0920385377120283,2.465123324134538,3.26948840556355
97200,2026-01-13 02:00:00,2.8083453861211183,2.181793217848451,2.9869875683722853
100800,2026-01-13 03:00:00,2.5409718843570204,1.9192612232702686,2.720064766801727
104400,2026-01-13 04:00:00,2.278420374811901,1.6611411515850705,2.458212361314054
108000,2026-01-13 05:00:00,2.013995663039509,1.3986475562522287,2.1951863956718967
111600,2026-01-13 06:00:00,1.7523533580430808,1.1391065189515075,1.9350896390491243
115200,2026-01-13 07:00:00,1.597255469811671,1.0019880790601405,1.7847151653595574
118800,2026-01-13 08:00:00,1.7448046023656616,1.2157503732426562,1.9423719744459618
122400,2026-01-13 09:00:00,2.149202382185024,1.7230359730070859,2.3558425382882433
126000,2026-01-13 10:00:00,2.557855303354927,2.1890702885515907,2.7841727353614374
129600,2026-01-13 11:00:00,2.9243313304672824,2.5880897913338003,3.1720571095285663
133200,2026-01-13 12:00:00,3.209778860976769,2.8978870073567577,3.4728343558829806
136800,2026-01-13 13:00:00,3.347368291199416,3.050128121058492,3.6154747948652357
140400,2026-01-13 14:00:00,3.3048196064033846,3.012642209215926,3.5673785862449563
144000,2026-01-13 15:00:00,3.0741267217373434,2.776550593158106,3.321956610603479
147600,2026-01-13 16:00:00,2.6265617893163267,2.295838536710619,2.8558910904471873
151200,2026-01-13 17:00:00,2.159898114698308,1.7912912055748507,2.3781030225522386
154800,2026-01-13 18:00:00,1.807180011943899,1.424076820230539,2.017487750492535
158400,2026-01-13 19:00:00,1.5124136576679348,1.1166148754221012,1.71818545112842
162000,2026-01-13 20:00:00,1.2344922605427655,0.8212057225092622,1.4390311814341885
165600,2026-01-13 21:00:00,0.9692867166688188,0.5384207717586946,1.1742675241393385
169200,2026-01-13 22:00:00,0.712562357389686,0.26421045108435237,0.9190096088391329
172800,2026-01-13 23:00:00,0.4605187352302096,-0.005416497051612623,0.6692157408958224
