elapsed_seconds,timestamp,T_airlock_C,T_living_C,T_ansys_C,T_ansys_min_C,T_ansys_max_C,T_mean_C,Q_solar_W
3600,2026-01-21 00:00:00,-24.9997,-24.9998,-24.9997,-25.0013,-10.2794,-24.6635,0.0
7200,2026-01-21 01:00:00,-24.9986,-24.9988,-24.9987,-25.0011,-10.2769,-24.6565,0.0
10800,2026-01-21 02:00:00,-24.9966,-24.997,-24.9968,-25.0006,-10.2747,-24.6487,0.0
14400,2026-01-21 03:00:00,-24.9937,-24.9945,-24.9941,-25.0011,-10.2727,-24.6404,0.0
18000,2026-01-21 04:00:00,-24.9901,-24.9913,-24.9907,-25.0016,-10.2707,-24.6316,0.0
21600,2026-01-21 05:00:00,-24.9859,-24.9874,-24.9866,-25.0021,-10.2688,-24.6225,0.0
25200,2026-01-21 06:00:00,-24.981,-24.9829,-24.982,-25.0026,-10.2669,-24.613,0.0
28800,2026-01-21 07:00:00,-24.9757,-24.978,-24.9768,-25.0031,-10.2651,-24.6033,0.0
32400,2026-01-21 08:00:00,-24.9699,-24.9725,-24.9712,-25.0035,-10.2633,-24.5934,0.0
36000,2026-01-21 09:00:00,-24.9637,-24.9667,-24.9652,-25.0039,-10.2614,-24.5832,0.0
39600,2026-01-21 10:00:00,-24.9546,-24.9582,-24.9564,-25.0047,-10.2585,-24.559,247.97
43200,2026-01-21 11:00:00,-24.941,-24.9457,-24.9433,-25.0063,-10.2538,-24.5227,458.21
46800,2026-01-21 12:00:00,-24.9224,-24.9288,-24.9256,-25.0084,-10.2473,-24.4783,598.68
50400,2026-01-21 13:00:00,-24.8997,-24.908,-24.9038,-25.0108,-10.2395,-24.4305,648.0
54000,2026-01-21 14:00:00,-24.8743,-24.8845,-24.8794,-25.0131,-10.2312,-24.3847,598.68
57600,2026-01-21 15:00:00,-24.8484,-24.8602,-24.8543,-25.015,-10.2235,-24.346,458.21
61200,2026-01-21 16:00:00,-24.8241,-24.837,-24.8305,-25.0159,-10.2171,-24.3184,247.97
64800,2026-01-21 17:00:00,-24.8035,-24.8167,-24.8101,-25.0156,-10.2129,-24.3042,0.0
68400,2026-01-21 18:00:00,-24.7856,-24.7985,-24.792,-25.0145,-10.2101,-24.2898,0.0
72000,2026-01-21 19:00:00,-24.7694,-24.7817,-24.7755,-25.0134,-10.208,-24.2756,0.0
75600,2026-01-21 20:00:00,-24.7544,-24.766,-24.7602,-25.0119,-10.2063,-24.2617,0.0
79200,2026-01-21 21:00:00,-24.7404,-24.7513,-24.7458,-25.0102,-10.2047,-24.2481,0.0
82800,2026-01-21 22:00:00,-24.7272,-24.7373,-24.7323,-25.0083,-10.2032,-24.235,0.0
86400,2026-01-21 23:00:00,-24.7147,-24.7241,-24.7194,-25.0062,-10.2018,-24.2224,0.0
