elapsed_seconds,timestamp,T_airlock_C,T_living_C,T_ansys_C,T_ansys_min_C,T_ansys_max_C,T_mean_C,Q_solar_W
3600,2026-01-21 00:00:00,-24.2845,-24.2324,-24.2585,-25.0509,-18.2139,-24.276,0.0
7200,2026-01-21 01:00:00,-23.1022,-22.9668,-23.0345,-25.0686,-15.5597,-23.3115,0.0
10800,2026-01-21 02:00:00,-21.9713,-21.7533,-21.8623,-25.0982,-14.1453,-22.4134,0.0
14400,2026-01-21 03:00:00,-20.998,-20.7053,-20.8517,-25.1214,-13.2526,-21.6415,0.0
18000,2026-01-21 04:00:00,-20.1852,-19.8279,-20.0065,-25.1389,-12.6321,-20.9935,0.0
21600,2026-01-21 05:00:00,-19.5099,-19.0985,-19.3042,-25.1519,-12.18,-20.4514,0.0
25200,2026-01-21 06:00:00,-18.9464,-18.4908,-18.7186,-25.1614,-11.8426,-19.9963,0.0
28800,2026-01-21 07:00:00,-18.4722,-17.9818,-18.227,-25.1683,-11.587,-19.6118,0.0
32400,2026-01-21 08:00:00,-18.0691,-17.5524,-17.8108,-25.1732,-11.3913,-19.2844,0.0
36000,2026-01-21 09:00:00,-17.7232,-17.1877,-17.4555,-25.1767,-11.2398,-19.0035,0.0
39600,2026-01-21 10:00:00,-17.3458,-16.7924,-17.0691,-25.1824,-11.0844,-18.7009,247.97
43200,2026-01-21 11:00:00,-16.948,-16.3784,-16.6632,-25.1885,-10.912,-18.385,458.21
46800,2026-01-21 12:00:00,-16.5579,-15.9749,-16.2664,-25.1942,-10.7353,-18.0766,598.68
50400,2026-01-21 13:00:00,-16.2051,-15.6133,-15.9092,-25.1987,-10.5742,-17.7983,648.0
54000,2026-01-21 14:00:00,-15.9164,-15.3219,-15.6192,-25.2011,-10.4482,-17.5707,598.68
57600,2026-01-21 15:00:00,-15.7113,-15.1213,-15.4163,-25.2011,-10.3725,-17.409,458.21
61200,2026-01-21 16:00:00,-15.5984,-15.0208,-15.3096,-25.1987,-10.3549,-17.3201,247.97
64800,2026-01-21 17:00:00,-15.5745,-15.0169,-15.2957,-25.194,-10.3948,-17.3017,0.0
68400,2026-01-21 18:00:00,-15.5468,-15.0099,-15.2784,-25.1911,-10.4463,-17.2825,0.0
72000,2026-01-21 19:00:00,-15.5101,-14.9944,-15.2523,-25.1888,-10.4883,-17.2583,0.0
75600,2026-01-21 20:00:00,-15.4681,-14.9737,-15.2209,-25.187,-10.5187,-17.2313,0.0
79200,2026-01-21 21:00:00,-15.4234,-14.95,-15.1867,-25.1857,-10.5395,-17.2031,0.0
82800,2026-01-21 22:00:00,-15.3777,-14.9249,-15.1513,-25.1846,-10.5531,-17.1746,0.0
86400,2026-01-21 23:00:00,-15.3323,-14.8996,-15.1159,-25.1838,-10.5617,-17.1466,0.0
