elapsed_seconds,timestamp,T_airlock_C,T_living_C,T_ansys_C,T_ansys_min_C,T_ansys_max_C,T_mean_C,Q_solar_W
3600,2026-01-21 00:00:00,-24.2774,-24.264,-24.2707,-25.0171,-18.2143,-24.3189,0.0
7200,2026-01-21 01:00:00,-23.076,-23.0463,-23.0611,-25.0054,-15.5617,-23.4084,0.0
10800,2026-01-21 02:00:00,-21.9246,-21.8807,-21.9026,-25.0061,-14.1503,-22.5617,0.0
14400,2026-01-21 03:00:00,-20.9333,-20.8774,-20.9054,-25.0068,-13.2614,-21.837,0.0
18000,2026-01-21 04:00:00,-20.1067,-20.041,-20.0738,-25.007,-12.6454,-21.2318,0.0
21600,2026-01-21 05:00:00,-19.4226,-19.3488,-19.3857,-25.0067,-12.198,-20.7289,0.0
25200,2026-01-21 06:00:00,-18.8556,-18.7752,-18.8154,-25.006,-11.8652,-20.31,0.0
28800,2026-01-21 07:00:00,-18.3832,-18.2972,-18.3402,-25.005,-11.6143,-19.9591,0.0
32400,2026-01-21 08:00:00,-17.987,-17.8963,-17.9416,-25.0038,-11.4229,-19.6634,0.0
36000,2026-01-21 09:00:00,-17.6524,-17.5578,-17.6051,-25.0026,-11.2755,-19.4125,0.0
39600,2026-01-21 10:00:00,-17.2598,-17.1602,-17.21,-25.0016,-11.1103,-19.1206,247.97
43200,2026-01-21 11:00:00,-16.8272,-16.7219,-16.7745,-25.0007,-10.9123,-18.8006,458.21
46800,2026-01-21 12:00:00,-16.3952,-16.2846,-16.3399,-25.0,-10.7013,-18.4814,598.68
50400,2026-01-21 13:00:00,-16.0071,-15.8919,-15.9495,-25.0,-10.5062,-18.1939,648.0
54000,2026-01-21 14:00:00,-15.7017,-15.583,-15.6423,-25.0,-10.3553,-17.9659,598.68
57600,2026-01-21 15:00:00,-15.5069,-15.3863,-15.4466,-25.0,-10.2701,-17.8178,458.21
61200,2026-01-21 16:00:00,-15.4362,-15.3153,-15.3757,-25.0,-10.2619,-17.7594,247.97
64800,2026-01-21 17:00:00,-15.4854,-15.3658,-15.4256,-25.0,-10.3303,-17.7881,0.0
68400,2026-01-21 18:00:00,-15.5259,-15.4068,-15.4663,-25.0,-10.4127,-17.8115,0.0
72000,2026-01-21 19:00:00,-15.5499,-15.4311,-15.4905,-25.0,-10.4803,-17.8245,0.0
75600,2026-01-21 20:00:00,-15.5624,-15.4438,-15.5031,-25.0,-10.5307,-17.83,0.0
79200,2026-01-21 21:00:00,-15.567,-15.4485,-15.5078,-25.0,-10.5668,-17.8306,0.0
82800,2026-01-21 22:00:00,-15.5663,-15.4479,-15.5071,-25.0,-10.5922,-17.8278,0.0
86400,2026-01-21 23:00:00,-15.5622,-15.4437,-15.503,-25.0,-10.6099,-17.823,0.0
