elapsed_seconds,timestamp,T_airlock_C,T_living_C,T_ansys_C,T_ansys_min_C,T_ansys_max_C,T_mean_C,Q_solar_W
3600,2026-01-21 00:00:00,-24.2741,-24.2487,-24.2614,-25.0173,-18.2141,-24.2894,0.0
7200,2026-01-21 01:00:00,-23.0662,-23.008,-23.0371,-25.0055,-15.5607,-23.3387,0.0
10800,2026-01-21 02:00:00,-21.9074,-21.8197,-21.8636,-25.0062,-14.1478,-22.454,0.0
14400,2026-01-21 03:00:00,-20.9084,-20.7956,-20.852,-25.0069,-13.2571,-21.6955,0.0
18000,2026-01-21 04:00:00,-20.0742,-19.9402,-20.0072,-25.0071,-12.639,-21.061,0.0
21600,2026-01-21 05:00:00,-19.3827,-19.2311,-19.3069,-25.0068,-12.1893,-20.5327,0.0
25200,2026-01-21 06:00:00,-18.8086,-18.6422,-18.7254,-25.0061,-11.8544,-20.0918,0.0
28800,2026-01-21 07:00:00,-18.3292,-18.1504,-18.2398,-25.0051,-11.6012,-19.7216,0.0
32400,2026-01-21 08:00:00,-17.9263,-17.7372,-17.8317,-25.0039,-11.4078,-19.4088,0.0
36000,2026-01-21 09:00:00,-17.5852,-17.3875,-17.4864,-25.0027,-11.2586,-19.1428,0.0
39600,2026-01-21 10:00:00,-17.2156,-17.0079,-17.1118,-25.0016,-11.1054,-18.856,247.97
43200,2026-01-21 11:00:00,-16.8279,-16.6101,-16.719,-25.0006,-10.9352,-18.5564,458.21
46800,2026-01-21 12:00:00,-16.45,-16.2226,-16.3363,-25.0,-10.7606,-18.2645,598.68
50400,2026-01-21 13:00:00,-16.1118,-15.8762,-15.994,-25.0,-10.6015,-18.0027,648.0
54000,2026-01-21 14:00:00,-15.8406,-15.5987,-15.7196,-25.0,-10.4776,-17.7912,598.68
57600,2026-01-21 15:00:00,-15.6558,-15.4102,-15.533,-25.0,-10.4038,-17.6446,458.21
61200,2026-01-21 16:00:00,-15.5665,-15.3197,-15.4431,-25.0,-10.388,-17.5699,247.97
64800,2026-01-21 17:00:00,-15.5691,-15.3236,-15.4463,-25.0,-10.4296,-17.5647,0.0
68400,2026-01-21 18:00:00,-15.569,-15.3241,-15.4466,-25.0,-10.4825,-17.5583,0.0
72000,2026-01-21 19:00:00,-15.5601,-15.3158,-15.438,-25.0,-10.5259,-17.5464,0.0
75600,2026-01-21 20:00:00,-15.5457,-15.3019,-15.4238,-25.0,-10.5575,-17.5312,0.0
79200,2026-01-21 21:00:00,-15.5279,-15.2847,-15.4063,-25.0,-10.5794,-17.5142,0.0
82800,2026-01-21 22:00:00,-15.5083,-15.2657,-15.387,-25.0,-10.5941,-17.4964,0.0
86400,2026-01-21 23:00:00,-15.4881,-15.2461,-15.3671,-25.0,-10.6037,-17.4784,0.0
