elapsed_seconds,timestamp,T_ansys_C,T_ansys_min_C,T_ansys_max_C
3600,2019-12-15 10:00:00,16.11940542844178,15.891826878000984,16.348309424447564
7200,2019-12-15 11:00:00,17.42322611091356,16.94476296859733,17.89343186981614
10800,2019-12-15 12:00:00,18.208039836043554,17.59078414207778,18.804935288355978
14400,2019-12-15 13:00:00,18.590702946328065,17.91365065330433,19.239935134934
18000,2019-12-15 14:00:00,18.664521694235134,17.986202393283293,19.311217176776665
21600,2019-12-15 15:00:00,18.42341081877896,17.802972390121568,19.011170921030043
25200,2019-12-15 16:00:00,17.963388319161197,17.439326007001,18.45665264991311
28800,2019-12-15 17:00:00,17.61134020327694,17.156224131871625,18.03989976357616
32400,2019-12-15 18:00:00,17.37626133315922,16.96477765227496,17.76453894779837
36000,2019-12-15 19:00:00,17.210334172125783,16.828065684580054,17.571677639875816
39600,2019-12-15 20:00:00,17.082893037354836,16.721815231646247,17.424680027667762
43200,2019-12-15 21:00:00,16.976814716586205,16.632366661598894,17.303238255065253
46800,2019-12-15 22:00:00,16.882598508825254,16.552099420733327,17.19612943800695
50400,2019-12-15 23:00:00,16.79485783198112,16.476660196146156,17.09702338358079
54000,2019-12-16 00:00:00,16.71046179278568,16.403494030725994,17.002265759653767
57600,2019-12-16 01:00:00,16.627616365078495,16.331135082973447,16.909764998674746
61200,2019-12-16 02:00:00,16.545352134750544,16.258805713008826,16.818376557335057
64800,2019-12-16 03:00:00,16.463185610884125,16.186136966890615,16.727510376396765
68400,2019-12-16 04:00:00,16.380915444437164,16.112998150303383,16.636897385094528
72000,2019-12-16 05:00:00,16.29849354229998,16.039386430678462,16.546444499895756
75600,2019-12-16 06:00:00,16.215941601066334,15.965353703032406,16.456142417653894
79200,2019-12-16 07:00:00,16.35296015976195,16.066166157577527,16.630371500009176
82800,2019-12-16 08:00:00,16.905811172699316,16.501404206758536,17.300096841448124
86400,2019-12-16 09:00:00,17.773155316174552,17.194102079468394,18.33749499965063
