timestamp,temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent
2016-01-01 00:00:00,-22.98,0.0,2.31,71.0
2016-01-01 01:00:00,-22.89,0.0,2.39,67.9
2016-01-01 02:00:00,-22.46,0.0,2.32,65.05
2016-01-01 03:00:00,-22.08,0.0,2.19,64.88
2016-01-01 04:00:00,-21.78,0.0,2.08,64.09
2016-01-01 05:00:00,-21.45,0.0,2.0,64.17
2016-01-01 06:00:00,-21.06,0.0,1.99,62.82
2016-01-01 07:00:00,-20.5,51.45,1.99,59.54
2016-01-01 08:00:00,-18.56,196.5,1.85,64.63
2016-01-01 09:00:00,-14.71,377.27,2.02,57.35
2016-01-01 10:00:00,-11.24,514.6,1.93,51.56
2016-01-01 11:00:00,-8.58,555.62,2.93,49.64
2016-01-01 12:00:00,-7.48,487.95,3.72,49.96
2016-01-01 13:00:00,-7.16,489.23,3.97,50.24
2016-01-01 14:00:00,-7.36,326.98,3.73,51.97
2016-01-01 15:00:00,-8.59,146.8,2.29,71.28
2016-01-01 16:00:00,-11.31,23.42,2.3,59.46
2016-01-01 17:00:00,-13.16,0.0,2.15,48.17
2016-01-01 18:00:00,-14.31,0.0,1.95,48.72
2016-01-01 19:00:00,-15.32,0.0,1.82,51.16
2016-01-01 20:00:00,-16.2,0.0,1.77,54.26
2016-01-01 21:00:00,-17.05,0.0,1.78,58.07
2016-01-01 22:00:00,-17.99,0.0,1.87,62.68
2016-01-01 23:00:00,-18.85,0.0,1.94,66.35
2016-01-02 00:00:00,-19.6,0.0,1.97,69.48
2016-01-02 01:00:00,-20.25,0.0,1.96,72.06
2016-01-02 02:00:00,-20.91,0.0,2.02,74.77
2016-01-02 03:00:00,-21.41,0.0,2.07,76.37
2016-01-02 04:00:00,-21.49,0.0,2.04,75.91
2016-01-02 05:00:00,-21.38,0.0,2.06,76.18
2016-01-02 06:00:00,-21.06,0.0,2.03,75.92
2016-01-02 07:00:00,-20.42,48.88,1.89,75.22
2016-01-02 08:00:00,-18.93,192.55,1.69,77.64
2016-01-02 09:00:00,-15.67,371.17,1.93,71.78
2016-01-02 10:00:00,-12.26,512.25,2.13,65.88
2016-01-02 11:00:00,-10.2,569.05,2.77,62.87
2016-01-02 12:00:00,-9.17,573.2,2.97,61.37
2016-01-02 13:00:00,-8.8,476.92,3.0,60.33
2016-01-02 14:00:00,-8.86,350.25,2.68,59.33
