rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
1,49,90.9,5.46,4.49,2.61,24.5,1.217,1.195,18.9,puf (91 mm) + stone_masonry (466 mm),557,puf (58 mm) + wood_timber (151 mm),209,puf (52 mm) + stone_masonry (315 mm),367,7x double (9.8 m2),0.23,0.251,0.368,39.48,14.88,13.69,16.12,14.91,2.43,45.8
2,7,88.0,6.92,4.44,2.52,30.7,1.558,1.137,19.6,puf (110 mm) + straw_clay (327 mm),437,puf (120 mm) + reinforced_concrete (145 mm),265,puf (84 mm) + stone_masonry (284 mm),368,8x triple (11.2 m2),0.151,0.186,0.251,21.87,15.04,13.11,17.01,15.07,3.9,51.4
3,45,83.5,5.22,4.18,2.56,21.8,1.25,1.252,17.5,puf (117 mm) + reinforced_concrete (202 mm),319,puf (87 mm) + reinforced_concrete (165 mm),252,puf (72 mm) + reinforced_concrete (134 mm),206,6x triple (8.4 m2),0.19,0.247,0.291,19.35,14.57,12.8,16.43,14.62,3.63,40.3
4,28,82.9,5.64,4.16,2.76,23.5,1.355,1.197,18.1,puf (91 mm) + reinforced_concrete (230 mm),321,puf (59 mm) + concrete (127 mm),186,puf (86 mm) + reinforced_concrete (192 mm),278,7x double (9.8 m2),0.236,0.336,0.249,22.4,14.73,12.61,16.99,14.8,4.38,44.4
5,20,77.6,5.69,3.53,2.73,20.1,1.609,1.284,19.5,puf (91 mm) + stone_masonry (483 mm),574,puf (82 mm) + concrete (138 mm),220,stone_masonry (289 mm),289,7x double (9.8 m2),0.23,0.256,1.598,38.56,14.16,12.58,15.78,14.18,3.19,18.1
6,15,76.1,6.52,3.91,2.64,25.5,1.667,1.197,17.8,puf (62 mm) + stone_masonry (469 mm),531,puf (73 mm) + concrete (136 mm),209,puf (41 mm) + reinforced_concrete (133 mm),174,7x triple (9.8 m2),0.314,0.282,0.455,37.75,14.06,12.6,15.54,14.07,2.94,9.7
7,14,70.2,5.89,4.56,2.93,26.9,1.293,1.12,11.4,puf (53 mm) + stone_masonry (442 mm),495,puf (77 mm) + reinforced_concrete (180 mm),257,puf (69 mm) + reinforced_concrete (178 mm),247,5x double (7.0 m2),0.356,0.273,0.3,46.5,13.46,11.97,15.06,13.51,3.09,2.8
8,4,70.1,5.05,4.83,2.33,24.4,1.046,1.24,12.2,puf (51 mm) + stone_masonry (428 mm),479,puf (118 mm) + wood_timber (156 mm),274,puf (52 mm) + stone_masonry (195 mm),247,4x double (5.6 m2),0.367,0.156,0.375,32.4,13.44,11.89,15.15,13.52,3.26,5.6
9,27,67.0,4.45,4.18,2.7,18.6,1.063,1.298,12.0,puf (113 mm) + concrete (165 mm),278,puf (55 mm) + wood_timber (153 mm),208,puf (80 mm) + stone_masonry (225 mm),305,4x double (5.6 m2),0.194,0.258,0.263,13.67,13.68,11.07,16.35,13.7,5.28,18.1
10,9,66.1,6.94,3.93,2.3,27.3,1.766,1.231,14.0,puf (63 mm) + reinforced_concrete (217 mm),280,puf (90 mm) + reinforced_concrete (197 mm),287,puf (65 mm) + concrete (180 mm),245,5x double (7.0 m2),0.321,0.239,0.307,24.3,13.42,11.2,15.64,13.42,4.43,8.3
11,2,65.0,4.87,4.73,2.46,23.0,1.031,1.241,17.8,puf (56 mm) + reinforced_concrete (233 mm),289,straw_clay (331 mm),331,puf (57 mm) + stone_masonry (180 mm),237,6x double (8.4 m2),0.352,0.446,0.35,19.67,13.55,10.78,16.36,13.56,5.58,18.1
12,18,65.0,6.48,4.56,2.57,29.5,1.423,1.136,12.3,puf (108 mm) + stone_masonry (509 mm),617,puf (56 mm) + reinforced_concrete (154 mm),210,puf (50 mm) + concrete (128 mm),178,5x single (7.0 m2),0.198,0.356,0.383,44.94,13.08,11.25,15.08,13.16,3.83,2.8
13,42,64.4,5.98,4.21,2.89,25.2,1.423,1.156,11.9,puf (86 mm) + reinforced_concrete (239 mm),325,puf (109 mm) + concrete (160 mm),269,puf (62 mm) + concrete (162 mm),224,5x triple (7.0 m2),0.247,0.2,0.32,24.4,13.08,11.06,15.22,13.14,4.16,5.6
14,46,64.3,6.2,4.28,2.54,26.5,1.449,1.184,10.5,puf (115 mm) + reinforced_concrete (218 mm),333,puf (114 mm) + wood_timber (186 mm),300,puf (55 mm) + reinforced_concrete (183 mm),238,4x double (5.6 m2),0.193,0.154,0.36,21.04,13.22,10.98,15.42,13.2,4.45,6.9
15,22,57.5,5.73,4.47,2.72,25.6,1.281,1.163,12.6,puf (58 mm) + reinforced_concrete (232 mm),290,puf (55 mm) + concrete (164 mm),219,puf (43 mm) + reinforced_concrete (186 mm),229,5x double (7.0 m2),0.342,0.351,0.435,25.31,12.63,10.11,15.23,12.66,5.11,4.2
16,23,56.3,5.87,3.9,2.57,22.8,1.506,1.243,11.2,puf (91 mm) + rammed_earth (361 mm),452,puf (93 mm) + straw_clay (292 mm),385,puf (68 mm) + concrete (154 mm),222,4x triple (5.6 m2),0.218,0.174,0.298,13.96,12.67,9.87,15.38,12.62,5.51,5.6
17,5,53.2,5.55,3.89,2.87,21.6,1.429,1.224,12.9,puf (70 mm) + rammed_earth (464 mm),534,puf (117 mm) + straw_clay (255 mm),372,stone_masonry (320 mm),320,5x double (7.0 m2),0.258,0.153,1.565,22.56,12.24,9.55,15.11,12.31,5.55,2.8
18,16,52.6,6.0,4.29,2.75,25.7,1.397,1.163,12.4,puf (55 mm) + straw_clay (287 mm),342,puf (78 mm) + concrete (194 mm),272,puf (69 mm) + reinforced_concrete (176 mm),245,5x double (7.0 m2),0.238,0.264,0.3,14.3,12.77,9.23,16.24,12.72,7.01,9.7
19,8,50.8,6.12,4.65,2.47,28.5,1.315,1.161,10.5,puf (97 mm) + stone_masonry (342 mm),439,puf (114 mm) + concrete (165 mm),279,reinforced_concrete (162 mm),162,4x double (5.6 m2),0.221,0.192,1.753,34.39,11.66,9.44,14.77,11.83,5.33,0.0
20,48,50.7,5.83,4.31,2.69,25.2,1.352,1.178,15.4,puf (109 mm) + reinforced_concrete (189 mm),298,puf (58 mm) + straw_clay (278 mm),336,stone_masonry (273 mm),273,6x triple (8.4 m2),0.202,0.233,1.616,23.34,11.89,9.33,14.83,12.06,5.5,0.0
21,37,47.8,6.69,4.44,2.44,29.7,1.509,1.16,18.1,puf (92 mm) + adobe (447 mm),539,puf (64 mm) + straw_clay (292 mm),356,puf (46 mm) + stone_masonry (221 mm),267,7x single (9.8 m2),0.131,0.218,0.41,14.91,12.9,8.11,17.89,12.94,9.78,26.4
22,38,46.5,5.04,4.99,2.9,25.1,1.01,1.143,19.3,puf (64 mm) + concrete (226 mm),290,puf (77 mm) + concrete (146 mm),223,concrete (135 mm),135,8x double (11.2 m2),0.307,0.27,1.614,17.53,12.34,8.36,16.66,12.45,8.3,12.5
23,34,46.3,5.33,4.89,2.8,26.1,1.091,1.141,12.2,adobe (460 mm),460,puf (59 mm) + reinforced_concrete (169 mm),228,puf (59 mm) + reinforced_concrete (181 mm),240,5x triple (7.0 m2),0.248,0.341,0.34,15.55,11.82,8.51,15.16,11.82,6.66,4.2
24,21,42.7,5.36,4.6,2.64,24.7,1.164,1.186,13.3,puf (109 mm) + adobe (374 mm),483,puf (89 mm) + concrete (195 mm),284,puf (48 mm) + concrete (192 mm),240,5x single (7.0 m2),0.129,0.236,0.386,13.23,12.14,7.8,16.76,12.24,8.95,12.5
25,0,42.2,5.62,4.32,2.68,24.3,1.301,1.191,15.8,adobe (301 mm),301,puf (62 mm) + wood_timber (154 mm),216,puf (61 mm) + reinforced_concrete (122 mm),183,6x double (8.4 m2),0.355,0.24,0.334,9.08,12.69,7.3,18.39,12.76,11.09,27.8
26,19,41.6,6.01,4.95,2.7,29.7,1.213,1.107,16.5,rammed_earth (456 mm),456,puf (87 mm) + reinforced_concrete (182 mm),269,puf (69 mm) + stone_masonry (257 mm),326,7x triple (9.8 m2),0.935,0.246,0.297,29.98,11.05,8.08,14.66,11.28,6.58,0.0
27,47,41.3,6.3,4.1,2.54,25.8,1.534,1.198,15.9,puf (52 mm) + concrete (206 mm),258,puf (110 mm) + straw_clay (244 mm),354,puf (42 mm) + stone_masonry (163 mm),205,6x single (8.4 m2),0.362,0.162,0.444,17.09,12.05,7.65,16.41,12.0,8.76,8.3
