timestamp,temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent,earth_skin_temperature_C
2024-02-06 04:00:00,-31.76,0.0,2.79,100.0,-43.32
2024-02-06 05:00:00,-33.73,0.0,2.98,100.0,-44.46
2024-02-06 06:00:00,-35.34,0.0,3.1,100.0,-45.47
2024-02-06 07:00:00,-35.59,122.4,3.08,100.0,-41.87
2024-02-06 08:00:00,-32.09,328.58,3.21,94.45,-31.47
2024-02-06 09:00:00,-27.74,519.4,3.4,94.98,-22.65
2024-02-06 10:00:00,-23.1,668.65,2.75,94.95,-16.12
2024-02-06 11:00:00,-18.93,733.85,2.38,81.26,-11.45
2024-02-06 12:00:00,-15.73,697.12,3.76,61.92,-9.98
2024-02-06 13:00:00,-15.04,636.67,4.25,59.19,-10.54
2024-02-06 14:00:00,-14.99,499.38,4.08,57.23,-12.01
2024-02-06 15:00:00,-15.29,322.92,3.42,55.39,-14.44
2024-02-06 16:00:00,-16.8,128.4,1.84,69.08,-18.69
2024-02-06 17:00:00,-18.24,5.75,1.56,52.53,-24.06
2024-02-06 18:00:00,-18.8,0.0,1.31,49.83,-27.24
2024-02-06 19:00:00,-19.43,0.0,1.21,50.38,-29.81
2024-02-06 20:00:00,-20.58,0.0,1.37,53.41,-33.3
2024-02-06 21:00:00,-22.25,0.0,1.68,59.45,-37.37
2024-02-06 22:00:00,-23.97,0.0,1.91,67.76,-40.71
2024-02-06 23:00:00,-25.64,0.0,2.09,76.87,-43.11
2024-02-07 00:00:00,-27.3,0.0,2.24,89.01,-44.92
2024-02-07 01:00:00,-28.91,0.0,2.35,100.0,-46.36
2024-02-07 02:00:00,-30.46,0.0,2.35,100.0,-47.27
2024-02-07 03:00:00,-32.13,0.0,2.4,100.0,-47.66
2024-02-07 04:00:00,-33.98,0.0,2.53,100.0,-48.07
2024-02-07 05:00:00,-35.83,0.0,2.71,100.0,-48.8
2024-02-07 06:00:00,-37.43,0.0,2.93,100.0,-49.59
2024-02-07 07:00:00,-37.45,100.6,3.0,100.0,-45.51
2024-02-07 08:00:00,-33.47,291.83,2.77,95.49,-34.04
2024-02-07 09:00:00,-28.2,486.2,2.91,91.61,-23.17
2024-02-07 10:00:00,-23.3,628.3,2.4,93.29,-16.05
2024-02-07 11:00:00,-18.07,599.72,3.42,69.04,-11.69
2024-02-07 12:00:00,-15.71,660.85,4.7,60.72,-10.58
2024-02-07 13:00:00,-15.09,605.88,5.26,59.01,-11.11
2024-02-07 14:00:00,-15.19,457.25,5.13,58.43,-12.49
2024-02-07 15:00:00,-15.63,286.55,4.44,57.31,-14.58
2024-02-07 16:00:00,-16.67,108.07,2.5,71.07,-17.29
2024-02-07 17:00:00,-18.59,5.35,1.65,63.14,-22.7
2024-02-07 18:00:00,-19.72,0.0,1.35,57.21,-28.39
2024-02-07 19:00:00,-20.85,0.0,1.04,59.91,-32.43
2024-02-07 20:00:00,-22.09,0.0,0.88,65.4,-35.91
2024-02-07 21:00:00,-23.21,0.0,0.74,70.54,-39.36
2024-02-07 22:00:00,-24.15,0.0,0.6,77.43,-42.48
2024-02-07 23:00:00,-25.13,0.0,0.49,85.39,-44.94
2024-02-08 00:00:00,-26.41,0.0,0.68,95.44,-46.68
2024-02-08 01:00:00,-27.6,0.0,0.93,100.0,-47.93
2024-02-08 02:00:00,-28.57,0.0,1.2,100.0,-48.88
2024-02-08 03:00:00,-29.5,0.0,1.62,100.0,-49.53
2024-02-08 04:00:00,-30.89,0.0,2.07,100.0,-49.59
2024-02-08 05:00:00,-32.72,0.0,2.4,100.0,-48.88
2024-02-08 06:00:00,-34.89,0.0,2.63,100.0,-47.48
2024-02-08 07:00:00,-36.05,140.62,2.75,100.0,-42.01
2024-02-08 08:00:00,-32.59,354.08,3.04,97.59,-31.05
2024-02-08 09:00:00,-28.1,547.25,3.12,99.85,-22.48
2024-02-08 10:00:00,-23.37,695.78,2.55,100.0,-15.74
2024-02-08 11:00:00,-19.6,774.03,1.97,96.61,-10.78
2024-02-08 12:00:00,-16.19,748.05,1.51,76.32,-7.88
2024-02-08 13:00:00,-14.02,691.88,1.35,67.09,-6.88
2024-02-08 14:00:00,-12.69,549.42,1.55,58.48,-8.16
2024-02-08 15:00:00,-12.02,362.5,1.66,50.7,-11.13
2024-02-08 16:00:00,-13.66,151.18,1.34,62.84,-16.91
2024-02-08 17:00:00,-15.94,7.72,1.35,49.64,-26.69
2024-02-08 18:00:00,-18.03,0.0,1.08,54.38,-33.91
2024-02-08 19:00:00,-19.79,0.0,0.87,60.74,-38.5
2024-02-08 20:00:00,-21.21,0.0,1.23,67.61,-41.48
2024-02-08 21:00:00,-22.59,0.0,1.66,72.64,-43.32
2024-02-08 22:00:00,-23.98,0.0,1.93,75.22,-44.51
2024-02-08 23:00:00,-25.41,0.0,2.15,78.94,-45.34
2024-02-09 00:00:00,-26.75,0.0,2.33,81.45,-45.97
2024-02-09 01:00:00,-27.95,0.0,2.45,83.98,-46.51
2024-02-09 02:00:00,-29.16,0.0,2.58,86.01,-46.99
2024-02-09 03:00:00,-30.31,0.0,2.7,89.24,-47.46
