rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
1,33,8.5,6.6,3.69,2.86,24.3,1.79,1.195,14.3,puf (92 mm) + stone_masonry (516 mm),608,puf (103 mm) + wood_timber (107 mm),210,puf (81 mm) + concrete (156 mm),237,6x triple (8.4 m2),0.227,0.184,0.258,40.42,7.79,3.88,14.81,8.33,10.93,0.0
2,15,-15.5,4.84,4.58,2.94,22.1,1.056,1.19,10.1,puf (60 mm) + stone_masonry (548 mm),608,puf (100 mm) + reinforced_concrete (186 mm),286,stone_masonry (168 mm),168,4x triple (5.6 m2),0.319,0.218,1.745,48.38,5.74,0.64,14.8,6.33,14.16,0.0
3,6,-23.5,4.97,4.54,2.31,22.5,1.094,1.276,12.8,puf (106 mm) + reinforced_concrete (223 mm),329,puf (64 mm) + concrete (149 mm),213,puf (57 mm) + stone_masonry (265 mm),322,4x double (5.6 m2),0.207,0.313,0.345,23.47,4.34,-0.09,14.71,5.34,14.79,0.0
4,2,-26.0,6.58,3.77,2.89,24.8,1.744,1.179,18.7,puf (102 mm) + concrete (159 mm),261,puf (86 mm) + concrete (149 mm),235,puf (56 mm) + stone_masonry (313 mm),369,8x double (11.2 m2),0.212,0.246,0.348,22.86,3.63,-0.19,14.55,4.87,14.74,0.0
5,5,-31.3,5.0,3.81,2.91,19.0,1.312,1.269,10.9,puf (91 mm) + adobe (371 mm),462,puf (104 mm) + concrete (193 mm),297,puf (87 mm) + stone_masonry (301 mm),388,4x triple (5.6 m2),0.143,0.207,0.243,15.83,3.44,-1.02,14.66,4.62,15.68,0.0
6,7,-38.9,5.3,3.8,2.93,20.2,1.395,1.245,15.8,puf (91 mm) + concrete (238 mm),329,puf (115 mm) + straw_clay (210 mm),325,puf (66 mm) + concrete (140 mm),206,6x triple (8.4 m2),0.23,0.161,0.306,14.48,2.22,-1.77,14.53,3.71,16.3,0.0
7,14,-42.1,6.79,4.61,2.84,31.3,1.473,1.08,17.3,puf (95 mm) + reinforced_concrete (168 mm),263,puf (76 mm) + reinforced_concrete (154 mm),230,puf (82 mm) + concrete (151 mm),233,8x double (11.2 m2),0.229,0.277,0.256,23.26,1.88,-2.19,14.51,3.38,16.69,0.0
8,31,-43.5,5.43,4.62,2.36,25.0,1.175,1.226,14.8,puf (104 mm) + concrete (211 mm),315,puf (94 mm) + straw_clay (329 mm),423,puf (78 mm) + concrete (171 mm),249,5x triple (7.0 m2),0.206,0.167,0.265,14.34,1.78,-2.35,14.56,3.36,16.92,0.0
9,16,-43.6,4.59,4.3,2.62,19.7,1.068,1.283,18.0,puf (120 mm) + adobe (483 mm),603,puf (78 mm) + reinforced_concrete (138 mm),216,puf (42 mm) + reinforced_concrete (130 mm),172,6x double (8.4 m2),0.111,0.272,0.447,9.55,2.33,-2.76,14.23,2.88,16.99,0.0
10,34,-44.8,5.53,4.12,2.53,22.8,1.342,1.243,14.4,puf (103 mm) + concrete (230 mm),333,puf (64 mm) + concrete (167 mm),231,puf (48 mm) + concrete (185 mm),233,5x double (7.0 m2),0.207,0.312,0.387,17.35,1.56,-2.48,14.55,3.22,17.03,0.0
11,17,-46.2,5.31,4.07,2.68,21.6,1.303,1.242,14.0,puf (105 mm) + adobe (336 mm),441,puf (58 mm) + reinforced_concrete (198 mm),256,stone_masonry (344 mm),344,5x double (7.0 m2),0.137,0.344,1.539,20.27,1.13,-2.5,14.55,2.85,17.05,0.0
12,24,-48.6,4.8,3.95,2.96,19.0,1.214,1.26,13.5,puf (112 mm) + adobe (437 mm),549,puf (111 mm) + straw_clay (247 mm),358,puf (50 mm) + reinforced_concrete (186 mm),236,5x triple (7.0 m2),0.12,0.16,0.387,9.14,1.12,-2.97,14.39,2.43,17.36,0.0
13,27,-49.3,6.19,3.72,2.95,23.0,1.664,1.2,12.0,puf (93 mm) + concrete (225 mm),318,puf (68 mm) + reinforced_concrete (155 mm),223,puf (47 mm) + concrete (171 mm),218,5x double (7.0 m2),0.226,0.304,0.395,20.0,1.24,-3.12,14.57,2.84,17.68,0.0
14,20,-49.4,4.95,4.23,2.88,21.0,1.171,1.223,10.6,puf (97 mm) + rammed_earth (410 mm),507,puf (51 mm) + concrete (157 mm),208,puf (76 mm) + reinforced_concrete (162 mm),238,4x triple (5.6 m2),0.204,0.373,0.277,18.11,1.62,-3.34,14.64,2.98,17.97,0.0
15,13,-50.9,6.05,4.44,2.88,26.8,1.361,1.129,16.2,puf (76 mm) + concrete (202 mm),278,puf (88 mm) + wood_timber (190 mm),278,puf (49 mm) + reinforced_concrete (184 mm),233,7x triple (9.8 m2),0.269,0.182,0.394,17.58,0.82,-3.21,14.5,2.55,17.71,0.0
16,18,-55.5,5.24,4.79,2.33,25.1,1.095,1.229,18.0,puf (92 mm) + reinforced_concrete (174 mm),266,puf (112 mm) + wood_timber (176 mm),288,reinforced_concrete (177 mm),177,6x triple (8.4 m2),0.235,0.158,1.733,15.66,-0.28,-3.46,14.42,1.53,17.87,0.0
17,3,-56.7,5.56,4.01,2.75,22.3,1.387,1.222,10.6,puf (61 mm) + straw_clay (286 mm),347,puf (57 mm) + straw_clay (345 mm),402,puf (74 mm) + stone_masonry (325 mm),399,4x triple (5.6 m2),0.225,0.218,0.278,15.16,0.64,-4.15,14.58,2.21,18.73,0.0
18,22,-57.2,5.44,4.52,2.63,24.6,1.204,1.191,18.7,puf (107 mm) + concrete (218 mm),325,puf (78 mm) + wood_timber (140 mm),218,concrete (150 mm),150,7x double (9.8 m2),0.201,0.213,1.58,13.6,0.17,-4.09,14.19,1.14,18.28,0.0
19,30,-58.8,5.88,4.63,2.58,27.3,1.269,1.159,10.3,puf (105 mm) + rammed_earth (349 mm),454,puf (106 mm) + wood_timber (121 mm),227,puf (87 mm) + reinforced_concrete (141 mm),228,4x triple (5.6 m2),0.195,0.176,0.247,15.41,0.42,-4.4,14.58,2.01,18.97,0.0
