rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
1,12,36.5,6.75,4.21,2.48,28.4,1.604,1.174,12.9,puf (67 mm) + stone_masonry (523 mm),590,straw_clay (279 mm),279,puf (60 mm) + stone_masonry (298 mm),358,5x triple (7.0 m2),0.293,0.508,0.33,48.35,10.86,7.34,14.94,10.93,7.6,0.0
2,10,16.0,5.61,4.95,2.92,27.8,1.132,1.103,18.1,puf (93 mm) + stone_masonry (530 mm),623,puf (110 mm) + concrete (183 mm),293,puf (71 mm) + concrete (161 mm),232,8x single (11.2 m2),0.225,0.198,0.287,46.28,9.19,4.51,14.95,9.36,10.43,0.0
3,9,15.7,5.26,3.87,2.62,20.4,1.357,1.279,11.7,puf (84 mm) + concrete (242 mm),326,puf (101 mm) + straw_clay (229 mm),330,puf (45 mm) + stone_masonry (337 mm),382,4x double (5.6 m2),0.245,0.174,0.409,21.1,9.12,4.49,14.93,9.31,10.44,0.0
4,11,9.9,5.19,3.47,2.96,18.0,1.496,1.299,10.9,puf (112 mm) + concrete (192 mm),304,puf (75 mm) + reinforced_concrete (142 mm),217,puf (43 mm) + stone_masonry (258 mm),301,4x double (5.6 m2),0.194,0.281,0.429,18.99,8.63,3.71,14.93,8.85,11.22,0.0
5,1,7.8,5.88,4.68,2.46,27.5,1.257,1.175,18.9,puf (50 mm) + reinforced_concrete (200 mm),250,puf (64 mm) + concrete (184 mm),248,puf (47 mm) + stone_masonry (290 mm),337,7x double (9.8 m2),0.387,0.31,0.399,27.89,8.45,3.43,14.94,8.7,11.51,0.0
6,13,-2.5,5.26,3.89,2.72,20.5,1.351,1.261,19.7,puf (106 mm) + adobe (352 mm),458,puf (112 mm) + reinforced_concrete (197 mm),309,puf (79 mm) + concrete (158 mm),237,7x double (9.8 m2),0.134,0.197,0.263,12.07,7.73,1.85,15.11,7.91,13.26,4.2
7,15,-11.0,5.83,3.72,2.76,21.7,1.566,1.242,15.9,puf (71 mm) + reinforced_concrete (202 mm),273,puf (91 mm) + wood_timber (125 mm),216,stone_masonry (268 mm),268,6x double (8.4 m2),0.292,0.196,1.622,21.08,6.51,1.05,14.87,7.02,13.82,0.0
8,14,-20.6,6.76,4.54,2.31,30.7,1.488,1.169,16.1,stone_masonry (357 mm),357,puf (91 mm) + concrete (198 mm),289,puf (69 mm) + stone_masonry (264 mm),333,6x double (8.4 m2),1.526,0.232,0.296,40.45,5.98,-0.43,14.82,6.35,15.25,0.0
9,7,-22.8,5.35,3.69,2.88,19.8,1.45,1.262,16.1,puf (89 mm) + adobe (398 mm),487,puf (101 mm) + concrete (165 mm),266,puf (71 mm) + concrete (140 mm),211,6x double (8.4 m2),0.14,0.213,0.289,9.54,5.94,-0.75,14.99,6.22,15.75,0.0
10,3,-44.2,6.09,4.19,2.78,25.5,1.456,1.166,17.2,puf (66 mm) + adobe (428 mm),494,puf (98 mm) + reinforced_concrete (150 mm),248,concrete (136 mm),136,7x double (9.8 m2),0.155,0.223,1.612,12.15,3.3,-3.25,14.79,3.88,18.04,0.0
11,0,-49.0,6.32,4.52,2.66,28.6,1.398,1.135,19.4,puf (54 mm) + adobe (382 mm),436,puf (53 mm) + straw_clay (350 mm),403,reinforced_concrete (155 mm),155,8x triple (11.2 m2),0.179,0.224,1.762,11.61,2.65,-3.8,14.71,3.25,18.51,0.0
12,4,-51.6,6.0,4.03,2.96,24.2,1.487,1.168,18.9,rammed_earth (445 mm),445,puf (84 mm) + concrete (145 mm),229,puf (40 mm) + reinforced_concrete (154 mm),194,8x triple (11.2 m2),0.947,0.251,0.461,19.58,2.87,-4.37,14.77,3.66,19.15,0.0
13,2,-52.4,4.62,4.5,2.65,20.8,1.027,1.254,14.5,puf (67 mm) + adobe (303 mm),370,reinforced_concrete (188 mm),188,puf (88 mm) + stone_masonry (230 mm),318,5x triple (7.0 m2),0.181,1.719,0.243,16.22,2.91,-4.54,14.75,3.63,19.29,0.0
14,8,-59.7,6.97,4.37,2.97,30.4,1.596,1.082,12.5,puf (81 mm) + adobe (352 mm),433,puf (51 mm) + wood_timber (186 mm),237,puf (74 mm) + stone_masonry (200 mm),274,6x single (8.4 m2),0.155,0.252,0.282,15.33,1.99,-5.36,14.8,2.97,20.16,0.0
15,6,-81.3,4.96,4.2,2.85,20.8,1.18,1.23,16.1,straw_clay (306 mm),306,puf (74 mm) + wood_timber (123 mm),197,reinforced_concrete (160 mm),160,6x triple (8.4 m2),0.474,0.227,1.756,8.04,-0.89,-7.79,14.5,0.05,22.3,0.0
16,5,-84.8,5.18,3.64,2.77,18.8,1.425,1.297,11.5,straw_clay (339 mm),339,puf (85 mm) + straw_clay (304 mm),389,puf (51 mm) + stone_masonry (191 mm),242,4x single (5.6 m2),0.438,0.182,0.381,9.58,-0.77,-8.45,14.67,0.59,23.12,0.0
