timestamp,temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent
2019-12-15 10:00:00,-26.95,414.12,3.09,97.05
2019-12-15 11:00:00,-22.45,563.17,2.31,95.18
2019-12-15 12:00:00,-18.89,475.15,2.17,82.89
2019-12-15 13:00:00,-17.59,381.4,2.44,78.28
2019-12-15 14:00:00,-17.18,276.5,2.45,76.0
2019-12-15 15:00:00,-17.62,140.38,1.62,78.48
2019-12-15 16:00:00,-19.48,16.6,0.55,78.17
2019-12-15 17:00:00,-21.73,0.0,0.23,84.34
2019-12-15 18:00:00,-23.37,0.0,0.81,95.33
2019-12-15 19:00:00,-24.79,0.0,1.36,100.0
2019-12-15 20:00:00,-26.22,0.0,1.79,100.0
2019-12-15 21:00:00,-27.63,0.0,2.06,100.0
2019-12-15 22:00:00,-29.12,0.0,2.29,100.0
2019-12-15 23:00:00,-31.15,0.0,2.57,100.0
2019-12-16 00:00:00,-33.49,0.0,2.83,100.0
2019-12-16 01:00:00,-35.32,0.0,2.97,100.0
2019-12-16 02:00:00,-36.53,0.0,3.05,100.0
2019-12-16 03:00:00,-37.41,0.0,3.12,100.0
2019-12-16 04:00:00,-37.99,0.0,3.15,100.0
2019-12-16 05:00:00,-38.39,0.0,3.14,100.0
2019-12-16 06:00:00,-38.74,0.0,3.09,100.0
2019-12-16 07:00:00,-38.75,80.65,3.02,100.0
2019-12-16 08:00:00,-36.55,248.4,2.77,99.29
2019-12-16 09:00:00,-31.13,409.0,3.03,91.57
