timestamp,temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent
2016-01-18 03:00:00,-26.43,0.0,2.69,100.0
2016-01-18 04:00:00,-28.22,0.0,2.87,100.0
2016-01-18 05:00:00,-29.88,0.0,3.05,100.0
2016-01-18 06:00:00,-31.1,0.0,3.14,100.0
2016-01-18 07:00:00,-31.14,51.95,3.08,100.0
2016-01-18 08:00:00,-28.29,191.82,2.94,94.46
2016-01-18 09:00:00,-24.21,363.98,3.5,89.79
2016-01-18 10:00:00,-20.19,363.9,2.93,94.56
2016-01-18 11:00:00,-15.56,453.75,3.52,80.54
2016-01-18 12:00:00,-13.24,285.35,4.56,71.2
2016-01-18 13:00:00,-12.87,419.27,4.7,70.15
2016-01-18 14:00:00,-12.85,218.77,4.46,69.51
2016-01-18 15:00:00,-12.98,104.62,3.56,70.78
2016-01-18 16:00:00,-13.88,29.42,1.8,85.41
2016-01-18 17:00:00,-15.32,0.0,1.95,83.72
2016-01-18 18:00:00,-16.41,0.0,2.26,83.75
2016-01-18 19:00:00,-16.95,0.0,2.3,84.1
2016-01-18 20:00:00,-17.68,0.0,2.43,84.32
2016-01-18 21:00:00,-18.44,0.0,2.5,85.95
2016-01-18 22:00:00,-19.06,0.0,2.55,87.86
2016-01-18 23:00:00,-19.44,0.0,2.49,88.52
2016-01-19 00:00:00,-19.56,0.0,2.29,87.8
2016-01-19 01:00:00,-19.61,0.0,2.1,86.49
2016-01-19 02:00:00,-19.7,0.0,1.93,85.49
2016-01-19 03:00:00,-19.78,0.0,1.76,84.39
2016-01-19 04:00:00,-19.84,0.0,1.56,83.99
2016-01-19 05:00:00,-19.94,0.0,1.42,83.93
2016-01-19 06:00:00,-20.03,0.0,1.41,83.8
2016-01-19 07:00:00,-19.94,32.28,1.46,82.24
2016-01-19 08:00:00,-18.84,127.2,1.35,84.56
2016-01-19 09:00:00,-16.06,306.55,1.61,70.11
2016-01-19 10:00:00,-14.41,448.23,1.45,63.94
2016-01-19 11:00:00,-13.82,293.83,0.98,64.6
2016-01-19 12:00:00,-13.42,243.07,0.76,65.17
2016-01-19 13:00:00,-13.32,245.68,1.43,64.56
2016-01-19 14:00:00,-13.35,228.3,2.29,64.76
2016-01-19 15:00:00,-13.51,136.65,2.74,67.22
2016-01-19 16:00:00,-14.59,38.83,1.97,80.76
2016-01-19 17:00:00,-16.33,0.0,2.27,68.85
2016-01-19 18:00:00,-17.44,0.0,2.36,57.35
2016-01-19 19:00:00,-18.18,0.0,2.32,49.39
2016-01-19 20:00:00,-19.01,0.0,2.27,43.58
2016-01-19 21:00:00,-20.02,0.0,2.24,39.85
2016-01-19 22:00:00,-21.06,0.0,2.19,36.04
2016-01-19 23:00:00,-22.15,0.0,2.14,34.5
2016-01-20 00:00:00,-23.31,0.0,2.12,32.41
2016-01-20 01:00:00,-24.39,0.0,2.06,31.9
2016-01-20 02:00:00,-25.23,0.0,1.88,30.17
2016-01-20 03:00:00,-26.06,0.0,1.74,31.15
2016-01-20 04:00:00,-26.94,0.0,1.71,32.26
2016-01-20 05:00:00,-27.75,0.0,1.7,33.1
2016-01-20 06:00:00,-28.5,0.0,1.75,33.66
2016-01-20 07:00:00,-28.74,64.15,1.78,36.69
2016-01-20 08:00:00,-27.63,247.43,1.84,38.56
2016-01-20 09:00:00,-24.34,436.88,1.87,52.63
2016-01-20 10:00:00,-20.43,569.03,1.88,56.68
2016-01-20 11:00:00,-16.95,623.5,1.23,52.91
2016-01-20 12:00:00,-15.27,678.3,0.71,53.32
2016-01-20 13:00:00,-13.52,551.08,1.43,47.35
2016-01-20 14:00:00,-12.64,435.3,2.22,42.33
2016-01-20 15:00:00,-13.16,254.62,1.98,51.55
2016-01-20 16:00:00,-15.04,68.22,1.31,50.48
2016-01-20 17:00:00,-16.72,0.0,1.04,35.17
2016-01-20 18:00:00,-18.12,0.0,0.75,34.85
2016-01-20 19:00:00,-19.04,0.0,0.55,35.58
2016-01-20 20:00:00,-19.43,0.0,0.29,36.09
2016-01-20 21:00:00,-20.17,0.0,0.27,38.75
2016-01-20 22:00:00,-21.35,0.0,0.66,41.38
2016-01-20 23:00:00,-22.57,0.0,0.95,45.44
2016-01-21 00:00:00,-23.43,0.0,1.18,49.44
2016-01-21 01:00:00,-24.19,0.0,1.38,51.93
2016-01-21 02:00:00,-25.12,0.0,1.64,55.46
2016-01-21 03:00:00,-26.18,0.0,1.87,58.35
2016-01-21 04:00:00,-27.21,0.0,2.05,62.93
2016-01-21 05:00:00,-28.09,0.0,2.12,66.84
2016-01-21 06:00:00,-28.96,0.0,2.19,68.71
2016-01-21 07:00:00,-29.29,63.72,2.22,68.85
