timestamp,temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent
2024-06-01 06:00:00,-0.84,134.75,1.68,71.45
2024-06-01 07:00:00,0.59,243.43,2.3,57.24
2024-06-01 08:00:00,1.94,340.12,2.71,49.13
2024-06-01 09:00:00,3.44,520.8,3.32,43.44
2024-06-01 10:00:00,4.77,519.0,4.05,39.34
2024-06-01 11:00:00,5.71,538.17,4.85,36.42
2024-06-01 12:00:00,6.36,551.28,5.56,34.5
2024-06-01 13:00:00,6.58,399.95,6.09,33.87
2024-06-01 14:00:00,6.49,328.92,6.41,34.17
2024-06-01 15:00:00,5.69,295.9,6.32,36.11
2024-06-01 16:00:00,4.69,197.8,5.81,39.17
2024-06-01 17:00:00,3.43,126.95,4.99,43.07
2024-06-01 18:00:00,1.83,28.8,2.95,55.47
2024-06-01 19:00:00,0.04,0.0,1.89,70.39
2024-06-01 20:00:00,-0.64,0.0,1.71,69.24
2024-06-01 21:00:00,-1.37,0.0,1.84,71.82
2024-06-01 22:00:00,-1.81,0.0,1.99,76.97
2024-06-01 23:00:00,-1.8,0.0,1.98,81.35
2024-06-02 00:00:00,-1.87,0.0,1.98,84.3
2024-06-02 01:00:00,-2.14,0.0,1.92,87.28
2024-06-02 02:00:00,-2.4,0.0,1.9,89.35
2024-06-02 03:00:00,-2.88,0.0,1.9,90.68
2024-06-02 04:00:00,-3.45,0.0,1.89,93.12
2024-06-02 05:00:00,-2.34,91.05,2.22,85.41
2024-06-02 06:00:00,-0.4,158.77,3.58,67.94
2024-06-02 07:00:00,0.97,301.27,4.04,57.86
2024-06-02 08:00:00,2.19,578.53,4.17,51.31
2024-06-02 09:00:00,3.32,587.9,4.26,45.53
2024-06-02 10:00:00,4.23,899.03,4.45,41.79
2024-06-02 11:00:00,5.28,936.3,4.66,38.93
2024-06-02 12:00:00,6.1,964.92,4.9,37.17
2024-06-02 13:00:00,6.55,581.15,5.17,35.93
2024-06-02 14:00:00,6.93,544.72,5.41,34.53
2024-06-02 15:00:00,6.73,403.85,5.38,34.05
2024-06-02 16:00:00,6.11,260.7,5.05,34.24
2024-06-02 17:00:00,5.1,199.6,4.42,35.23
2024-06-02 18:00:00,2.81,39.15,2.51,53.42
2024-06-02 19:00:00,0.78,0.0,2.04,56.7
2024-06-02 20:00:00,0.64,0.0,1.63,48.73
2024-06-02 21:00:00,0.43,0.0,1.29,45.27
2024-06-02 22:00:00,0.03,0.0,1.03,44.89
2024-06-02 23:00:00,-0.57,0.0,0.81,45.66
2024-06-03 00:00:00,-1.21,0.0,0.58,47.78
2024-06-03 01:00:00,-1.76,0.0,0.38,49.81
2024-06-03 02:00:00,-2.15,0.0,0.14,51.63
2024-06-03 03:00:00,-2.46,0.0,0.16,53.17
2024-06-03 04:00:00,-2.8,0.0,0.46,55.12
2024-06-03 05:00:00,-1.94,127.1,0.78,56.57
2024-06-03 06:00:00,1.12,301.23,0.53,41.72
