rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
1,46,19.4,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (105 mm) + stone_masonry (379 mm),484,puf (92 mm) + reinforced_concrete (178 mm),270,puf (54 mm) + stone_masonry (264 mm),318,2x triple (3.6 m2),0.206,0.235,0.36,43.44,5.95,4.82,7.33,6.04,2.51,0.0
2,18,19.3,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (90 mm) + adobe (420 mm),510,puf (62 mm) + wood_timber (139 mm),201,puf (76 mm) + stone_masonry (229 mm),305,2x triple (3.6 m2),0.136,0.247,0.275,12.89,8.94,4.59,12.48,8.92,7.89,0.0
3,27,19.2,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (110 mm) + stone_masonry (441 mm),551,puf (113 mm) + reinforced_concrete (176 mm),289,puf (49 mm) + stone_masonry (285 mm),334,2x double (3.6 m2),0.196,0.196,0.387,48.15,5.91,4.81,7.36,6.02,2.55,0.0
4,23,19.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (78 mm) + adobe (449 mm),527,puf (107 mm) + wood_timber (184 mm),291,puf (89 mm) + reinforced_concrete (198 mm),287,2x double (3.6 m2),0.141,0.161,0.241,10.76,10.02,4.43,14.23,9.82,9.8,0.0
5,14,19.0,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (118 mm) + stone_masonry (494 mm),612,puf (69 mm) + concrete (191 mm),260,puf (57 mm) + reinforced_concrete (200 mm),257,2x double (3.6 m2),0.184,0.292,0.349,46.77,5.78,4.78,7.12,5.87,2.33,0.0
6,2,18.7,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (93 mm) + stone_masonry (396 mm),489,puf (98 mm) + reinforced_concrete (151 mm),249,puf (76 mm) + reinforced_concrete (145 mm),221,2x double (3.6 m2),0.228,0.223,0.278,39.07,5.92,4.74,7.44,6.0,2.7,0.0
7,7,18.5,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (87 mm) + reinforced_concrete (229 mm),316,puf (101 mm) + concrete (195 mm),296,puf (76 mm) + reinforced_concrete (194 mm),270,2x triple (3.6 m2),0.245,0.212,0.276,26.54,6.29,4.68,8.1,6.36,3.42,0.0
8,20,18.2,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (97 mm) + rammed_earth (442 mm),539,puf (86 mm) + straw_clay (318 mm),404,puf (69 mm) + stone_masonry (312 mm),381,2x double (3.6 m2),0.203,0.178,0.294,24.46,6.83,4.65,9.26,6.93,4.62,0.0
9,44,18.2,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (108 mm) + adobe (350 mm),458,puf (90 mm) + concrete (131 mm),221,puf (62 mm) + stone_masonry (273 mm),335,2x double (3.6 m2),0.133,0.237,0.323,17.44,7.93,4.58,11.16,8.0,6.58,0.0
10,31,18.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (68 mm) + adobe (304 mm),372,puf (63 mm) + wood_timber (198 mm),261,puf (63 mm) + concrete (139 mm),202,2x triple (3.6 m2),0.18,0.22,0.318,9.2,8.95,4.31,12.3,8.73,7.99,0.0
11,32,18.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (101 mm) + rammed_earth (317 mm),418,puf (86 mm) + reinforced_concrete (123 mm),209,puf (87 mm) + concrete (133 mm),220,2x triple (3.6 m2),0.203,0.25,0.244,16.7,7.32,4.56,9.94,7.34,5.37,0.0
12,49,18.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (115 mm) + reinforced_concrete (189 mm),304,puf (96 mm) + straw_clay (299 mm),395,puf (69 mm) + reinforced_concrete (184 mm),253,2x double (3.6 m2),0.193,0.169,0.299,20.61,7.27,4.6,10.05,7.35,5.44,0.0
13,47,17.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (78 mm) + concrete (181 mm),259,puf (96 mm) + concrete (189 mm),285,puf (74 mm) + stone_masonry (264 mm),338,2x triple (3.6 m2),0.265,0.222,0.28,23.31,6.13,4.6,7.9,6.19,3.31,0.0
