element,type,layer_role,dimension_parameter,min_value,max_value
wall,stone_masonry,structural,thickness,300,550
wall,adobe,structural,thickness,300,500
wall,rammed_earth,structural,thickness,300,500
wall,straw_clay,structural,thickness,250,400
wall,concrete,structural,thickness,150,250
wall,reinforced_concrete,structural,thickness,150,250
wall,puf,insulation,thickness,50,120
roof,wood_timber,structural,thickness,100,200
roof,straw_clay,structural,thickness,200,350
roof,concrete,structural,thickness,120,200
roof,reinforced_concrete,structural,thickness,120,200
roof,puf,insulation,thickness,50,120
floor,stone_masonry,structural,thickness,150,350
floor,concrete,structural,thickness,120,200
floor,reinforced_concrete,structural,thickness,120,200
floor,puf,insulation,thickness,40,90
window,single,glazing,width,1.0,1.4
window,double,glazing,width,1.0,1.4
window,triple,glazing,width,1.0,1.4
door,single_leaf,opening,width,0.9,2.0
vent,standard,opening,width,0.3,0.3
