rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
1,27,6.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (110 mm) + stone_masonry (441 mm),551,puf (113 mm) + reinforced_concrete (176 mm),289,puf (49 mm) + stone_masonry (285 mm),334,2x double (3.6 m2),0.196,0.196,0.387,70.76,3.7,3.01,4.95,3.83,1.93,0.0
2,23,3.5,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (78 mm) + adobe (449 mm),527,puf (107 mm) + wood_timber (184 mm),291,puf (89 mm) + reinforced_concrete (198 mm),287,2x double (3.6 m2),0.141,0.161,0.241,18.66,3.88,2.39,4.84,3.75,2.45,0.0
3,46,3.5,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (105 mm) + stone_masonry (379 mm),484,puf (92 mm) + reinforced_concrete (178 mm),270,puf (54 mm) + stone_masonry (264 mm),318,2x triple (3.6 m2),0.206,0.235,0.36,64.54,3.46,2.64,4.94,3.6,2.3,0.0
4,14,1.9,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (118 mm) + stone_masonry (494 mm),612,puf (69 mm) + concrete (191 mm),260,puf (57 mm) + reinforced_concrete (200 mm),257,2x double (3.6 m2),0.184,0.292,0.349,65.33,3.31,2.42,4.94,3.46,2.51,0.0
5,20,1.8,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (97 mm) + rammed_earth (442 mm),539,puf (86 mm) + straw_clay (318 mm),404,puf (69 mm) + stone_masonry (312 mm),381,2x double (3.6 m2),0.203,0.178,0.294,39.53,3.25,2.44,4.91,3.44,2.47,0.0
6,2,1.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (93 mm) + stone_masonry (396 mm),489,puf (98 mm) + reinforced_concrete (151 mm),249,puf (76 mm) + reinforced_concrete (145 mm),221,2x double (3.6 m2),0.228,0.223,0.278,54.92,3.23,2.34,4.93,3.41,2.58,0.0
7,44,1.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (108 mm) + adobe (350 mm),458,puf (90 mm) + concrete (131 mm),221,puf (62 mm) + stone_masonry (273 mm),335,2x double (3.6 m2),0.133,0.237,0.323,31.29,3.26,2.31,4.89,3.37,2.58,0.0
8,49,0.7,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (115 mm) + reinforced_concrete (189 mm),304,puf (96 mm) + straw_clay (299 mm),395,puf (69 mm) + reinforced_concrete (184 mm),253,2x double (3.6 m2),0.193,0.169,0.299,30.9,3.21,2.25,4.89,3.33,2.64,0.0
9,18,-2.0,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (90 mm) + adobe (420 mm),510,puf (62 mm) + wood_timber (139 mm),201,puf (76 mm) + stone_masonry (229 mm),305,2x triple (3.6 m2),0.136,0.247,0.275,22.7,3.0,1.88,4.86,3.12,2.99,0.0
10,48,-3.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (55 mm) + adobe (407 mm),462,puf (107 mm) + wood_timber (137 mm),244,puf (51 mm) + stone_masonry (221 mm),272,2x double (3.6 m2),0.172,0.171,0.379,22.3,2.99,1.65,4.84,3.02,3.2,0.0
11,7,-3.4,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (87 mm) + reinforced_concrete (229 mm),316,puf (101 mm) + concrete (195 mm),296,puf (76 mm) + reinforced_concrete (194 mm),270,2x triple (3.6 m2),0.245,0.212,0.276,40.7,2.78,1.74,4.91,3.01,3.17,0.0
12,47,-6.7,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (78 mm) + concrete (181 mm),259,puf (96 mm) + concrete (189 mm),285,puf (74 mm) + stone_masonry (264 mm),338,2x triple (3.6 m2),0.265,0.222,0.28,39.19,2.46,1.32,4.9,2.73,3.58,0.0
13,10,-7.4,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (51 mm) + stone_masonry (428 mm),479,puf (118 mm) + wood_timber (156 mm),274,puf (52 mm) + stone_masonry (195 mm),247,2x double (3.6 m2),0.367,0.156,0.375,54.11,2.45,1.21,4.91,2.69,3.7,0.0
14,32,-8.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (101 mm) + rammed_earth (317 mm),418,puf (86 mm) + reinforced_concrete (123 mm),209,puf (87 mm) + concrete (133 mm),220,2x triple (3.6 m2),0.203,0.25,0.244,25.98,2.25,1.18,4.86,2.58,3.68,0.0
15,8,-9.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (110 mm) + stone_masonry (539 mm),649,puf (118 mm) + reinforced_concrete (191 mm),309,stone_masonry (196 mm),196,2x triple (3.6 m2),0.195,0.189,1.709,73.21,2.25,0.96,4.93,2.49,3.97,0.0
16,31,-12.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (68 mm) + adobe (304 mm),372,puf (63 mm) + wood_timber (198 mm),261,puf (63 mm) + concrete (139 mm),202,2x triple (3.6 m2),0.18,0.22,0.318,14.5,2.22,0.4,4.77,2.25,4.37,0.0
17,39,-12.5,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (89 mm) + reinforced_concrete (244 mm),333,puf (62 mm) + concrete (192 mm),254,puf (50 mm) + reinforced_concrete (171 mm),221,2x triple (3.6 m2),0.24,0.317,0.388,40.36,1.91,0.56,4.89,2.23,4.33,0.0
18,19,-13.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (114 mm) + stone_masonry (491 mm),605,straw_clay (211 mm),211,puf (83 mm) + stone_masonry (277 mm),360,2x double (3.6 m2),0.19,0.621,0.254,65.9,1.98,0.42,4.91,2.23,4.49,0.0
19,4,-13.7,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (56 mm) + rammed_earth (457 mm),513,puf (111 mm) + reinforced_concrete (125 mm),236,puf (48 mm) + reinforced_concrete (184 mm),232,2x double (3.6 m2),0.302,0.2,0.4,34.65,1.72,0.45,4.87,2.11,4.42,0.0
20,5,-16.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (78 mm) + rammed_earth (340 mm),418,puf (91 mm) + reinforced_concrete (174 mm),265,puf (87 mm) + stone_masonry (223 mm),310,2x single (3.6 m2),0.247,0.237,0.245,39.18,1.51,0.08,4.86,1.91,4.78,0.0
21,16,-16.7,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (100 mm) + reinforced_concrete (167 mm),267,puf (114 mm) + concrete (166 mm),280,puf (66 mm) + concrete (162 mm),228,2x single (3.6 m2),0.219,0.192,0.305,30.02,1.4,0.06,4.83,1.82,4.77,0.0
22,38,-21.6,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (87 mm) + stone_masonry (422 mm),509,puf (68 mm) + reinforced_concrete (132 mm),200,reinforced_concrete (174 mm),174,2x double (3.6 m2),0.24,0.305,1.737,57.59,0.95,-0.57,4.88,1.38,5.45,0.0
23,3,-22.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,straw_clay (390 mm),390,puf (90 mm) + straw_clay (289 mm),379,puf (60 mm) + stone_masonry (328 mm),388,2x double (3.6 m2),0.392,0.178,0.329,30.19,0.86,-0.62,4.83,1.36,5.45,0.0
24,34,-23.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (116 mm) + stone_masonry (324 mm),440,puf (73 mm) + concrete (141 mm),214,reinforced_concrete (134 mm),134,2x double (3.6 m2),0.189,0.282,1.791,45.47,0.67,-0.7,4.86,1.18,5.56,0.0
